MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,95,0.99,0.5,4160,1,1,304,1,0.5,83,1,0.5,181,1,1,21,0.96,1,7,0.92,7.14,11.3,3,11,54,0.238711955574657,0.222375454593936,0.222375454593936,0.238711955574657,0.382552254908448,0.377959709956211,0.238711955574657,44208380.751549,72733431.3462612,71389478.1401512,39883475.0458854,263267444.020975,252281683.10293,39883475.0458854,0.000148781790546828,7.39835718892478e-05,0.00321883843632387,6.78555122057556e-05,5.31541372129903e-05,0.00235673727019281,6.78555122057556e-05,10.7606084378478,12.4096664461137,12.438199826892,11.1784041611997,7.53198499989167,6.96805630108247,10.479731866583,84.4396969975219,80.9899668443626,199.711148858441,4.85298091726012,93.8343680146979,263012.542544337,153.209611317306,0.000821183616370652,-34.7929461,128.610334294626,648556.1,0.000200461152966832,4.17986792752076e-05,51.32789,1.92272831168744e-06,9.26744190827555e-07,0.000121068842861505,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
3.37,5,0.919,1,109,1,1.5,186,0.765,0.5,200,0.942,0.961,1,1,0.616,14,0.993,1.24,108,0.998,7.14,11.3,5,38,8,0.264174466512288,0.728218780661158,0.728218780661158,0.264174466512288,0.23949405405172,0.554773357416335,0.264174466512288,126542720.812991,34121003.6041501,364343774.428579,113096345.715113,32928993.9443946,349898591.267044,113096345.715113,0.000205490889553983,2.2326340214091e-05,0.00176733467597145,9.27241430346201e-05,8.96645606977763e-05,0.00300804816249246,9.27241430346201e-05,7.52555205605696,-2.31722649418987,-11.9678669811432,7.60990273101877,10.1421657790409,2.31500463554479,6.80808865173411,79.7332261443889,50.182840740655,196.759103754345,4.78124622123058,81.0276625613336,352529.175739806,144.714953940496,0.0009505725708006,905.399999999998,136.108110022415,1382212,0.000433635479970403,3.52376167393464e-05,57.09526,1.24852411725309e-06,3.8187024276326e-07,7.43944223351445e-05,"Leung_NMCF_Pin_3",180,1.8,0.9,100,1
4.95,2,1.27,1.98,182,1,1.91,125,1.21,0.5,200,1,1.75,1,1,1.93,1,0.989,1,83,0.993,7.14,11.3,5,29,13,0.634040859431007,1.03896249419107,1.03896249419107,0.634040859431007,0.450489156063426,0.772709124761239,0.634040859431007,214789636.016767,31914024.2414015,184480709.619088,184088377.672206,74810417.0821372,514562487.707928,184088377.672206,0.000130530028555115,1.65323359230894e-05,0.00284779293948836,5.83224271091572e-05,0.000126241735690837,0.00617005760116685,5.83224271091572e-05,1.24682568572906,-3.35767058736773,-3.31728061400742,3.78165050035039,15,-0.611715592652475,4.07671161180059,79.030076318596,11.5581867281697,80.0781390154673,1.94589877807585,78.0381367679784,171007.837438168,145.379434205805,0.00130156356466963,849.599999999999,139.429178645341,1184787,0.000913295449908917,3.13438856820918e-05,63.84761,2.18819694795003e-06,3.21047755129644e-07,8.41347930905512e-05,"Leung_NMCF_Pin_3",180,1.8,0.9,100,1
0.5,9,1.01,0.5,200,1,0.597,38,1.27,0.5,25,1.04,1.4,1,0.928,1.69,1,0.299,0.453,1,1.13,7.14,11.3,4,63,35,0.57420205333881,0.365793041818429,0.365793041818429,0.57420205333881,0.482960851540856,0.447446516816568,0.57420205333881,320343290.13941,416063246.475655,415802661.107112,270442585.804686,2243662803.78647,1071107755.37217,270442585.804682,5.58922246845944e-05,5.62792111562046e-05,0.00123821628752526,2.44184072639298e-05,4.61596533105562e-05,0.00113248990838384,2.44184072639295e-05,0.233932638564446,9.24165408003649,9.18616591800392,-1.20113858846863,5.33256372839005,-0.440453816949196,-0.153817268888595,91.5006694398631,67.1662197556788,577.338063541219,14.0293149440516,104.31767929374,143845.829092784,142.321715735864,0.00036570106449067,467.199999999999,140.58334432296,1236450,0.000132199968950471,4.54591799455669e-05,50.38324,2.18654858006719e-06,1.38811142953998e-07,2.49003198968811e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,11,0.986,0.5,200,1,0.608,69,1.16,0.5,24,1.04,1.57,1,1.02,1.69,1,0.461,0.365,1,1.08,7.14,11.3,7,60,33,0.61961924095201,0.395453209825051,0.395453209825051,0.61961924095201,0.52006341210772,0.438228056687036,0.61961924095201,337081841.293069,500245264.463927,500530727.791077,280184709.442866,4175423621.91539,970273582.203835,280184709.442866,8.97706222644237e-05,8.78691082484817e-05,0.00162012619103654,3.87109993739269e-05,7.1378826244511e-05,0.00170268599361947,3.87109993739269e-05,-0.260682315249142,0.90190256469975,0.84904785624151,-1.46901847354385,-0.245000872579876,5.37268828482313,-0.319540038027491,86.912329425665,75.3993691902337,545.882568745987,13.2649464205275,90.3378981160197,250114.55860062,142.405268687644,0.000519228675326957,465.899999999998,138.141738950239,1810800,0.000204765244720226,5.02225173506411e-05,46.1277,1.28951665708759e-06,2.32586602358364e-07,3.47342677289308e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,8,1,0.5,200,1,0.597,38,1.22,0.5,25,1.04,1.43,1,0.974,1.69,1,0.461,0.453,1,1.13,7.14,11.3,4,62,44,0.540663328972531,0.374940944039431,0.374940944039431,0.540663328972531,0.482726307090061,0.460889573979322,0.540663328972531,256507671.62109,442986777.384685,442258665.329284,210073104.273364,2240321028.9062,1174720365.77347,210073104.273364,6.54815300281177e-05,5.41634758408954e-05,0.00135229514876183,2.79066797575027e-05,4.60755636754869e-05,0.00122247342720226,2.79066797575027e-05,0.284513247383561,0.164158435131341,0.826744913299006,-0.0538095214876728,5.39099656071548,6.65121104444137,1.1436287185636,91.2402666786502,70.7804609972228,541.900632803473,13.1681853771244,104.912286796371,165366.683531154,142.325180098252,0.000328468116780371,460.399999999999,139.494014145324,1266060,0.000144218048699335,4.43667416234059e-05,52.71329,1.98377452497652e-06,1.62610516930006e-07,2.77683014812125e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,8,0.998,0.5,200,1,1.2,75,1.33,0.674,46,0.901,1.63,1,1.11,1.26,4,0.461,0.685,1,1.54,7.14,11.3,7,69,51,0.422913304563072,0.421205109991834,0.421205109991834,0.422913304563072,0.542750702995192,0.490583695870787,0.422913304563072,253581028.04397,570036830.265449,572077467.080637,207005300.258178,1435181617.42417,395691177.757502,207005300.258178,0.000170567175734452,7.86544215585285e-05,0.00197574901584697,7.21352667826312e-05,6.25825971825044e-05,0.00179735472370537,7.21352667826312e-05,3.7591933606304,6.69064139152378,6.7881019383082,-0.18198760113262,1.88493861443774,2.84180945436262,-1.28705008587383,88.6877182704959,91.4346244157756,488.92332733726,11.8808368542954,94.4433647287055,373572.941677663,142.806055501859,0.000432879282497341,448.799999999998,140.430330210261,1997586,0.000252202688812841,4.32026616214742e-05,50.86013,1.00533719173807e-06,3.54481055455103e-07,4.35320293692421e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,9,0.994,0.5,200,1,0.5,198,1,0.5,14,0.97,1.38,1,0.981,1.91,1,0.875,0.458,2,1.48,7.14,11.3,8,49,56,0.575981241800272,0.423387560844865,0.423387560844865,0.575981241800272,0.462329166729847,0.382504907499578,0.575981241800272,225143877.154441,580237133.710822,578101461.971276,187898322.251603,1920321748.79693,858907071.128001,187898322.251603,0.000123257757398174,9.0045390234497e-05,0.0020067567468938,5.34223231697367e-05,0.000100551814403481,0.0027766521224561,5.34223231697367e-05,-4.9939419601452,0.334387041620039,0.397200779801102,-1.33748912520916,7.85916179272364,7.3889842058223,-0.0366091699174147,76.2307677540735,72.5000874371023,385.176965587837,9.35980026378445,77.740731526136,312342.542109529,142.560349852264,0.000703455926401185,443.799999999999,135.996416534057,1659407,0.000265936283878944,5.08034329601095e-05,49.41808,1.26319953122095e-06,3.93515038050185e-07,5.22931682905847e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,9,0.889,0.5,200,1,0.517,21,1.25,0.246,10,0.958,1.76,1,0.928,1.28,1,0.225,0.633,8,0.51,7.14,11.3,5,73,59,0.582931100545929,0.387713540854566,0.387713540854566,0.582931100545929,0.396392230012828,0.51665591050259,0.582931100545929,620551143.443826,488807987.158059,478711811.522043,538696619.163466,722374905.698033,2131448160.94373,538696619.163466,6.46866951211444e-05,6.20464737270302e-05,0.00151727880035607,2.88215131117658e-05,6.40159694478667e-05,0.00119396918761717,2.88215131117658e-05,-4.9437927562247,-0.938824225905922,-1.06352429392237,-2.45114765501771,1.69306744144957,-0.305051194705289,-10.0503879580573,89.6716725439202,60.2864840086063,480.333801883612,11.6721113857718,92.3519768968832,170575.14778665,142.210029990855,0.000365340447214257,436.399999999998,140.08040470701,1359061,0.000174654904551805,5.24777722084352e-05,54.64473,1.9043592215503e-06,2.18119104585801e-07,2.97159695729077e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
1,13,0.925,0.5,200,1,0.609,200,1.09,0.5,66,0.969,0.5,1,1.01,1.09,1,0.886,2.04,3,1.01,7.14,11.3,3,100,30,0.428584464766844,0.378574817235741,0.378574817235741,0.428584464766844,0.489817557771447,0.353360916630603,0.428584464766844,315042772.960551,115139519.072403,452689012.44429,258759348.214268,140066006.423967,440655730.216061,258759348.214268,8.54477839718511e-05,4.11366260357287e-05,0.00139859402891495,3.62469787688349e-05,3.2432170463466e-05,0.0017258419872949,3.62469787688349e-05,4.59247634473502,5.72943958132949,-0.11361376946809,6.3804411414175,3.14217595865378,8.57721709381732,6.5319189551382,82.5638493742376,89.9928238706812,508.399917035364,12.3541179839593,99.6458480204933,194678.548010483,142.874292929134,0.000560108433191564,257.9,135.812612657147,1099805,0.000133535028736328,4.14828897902346e-05,50.83069,1.93306568756493e-06,8.6298106499183e-08,2.44405866326458e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
