RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
16,22,1,7,2,0.15,28,0.313,0.756,1,1.94,0.15,3,2,0.969,1,2,1,50,34,0.3,4.26,51,55,0.725853732260438,0.725853732260438,0.517829397575123,0.44529509654785,0.517829397575123,0.39477584512076,7508070907.58626,7508070907.58626,788150887.806059,9173238768.9074,788150887.806059,271225819.329648,0.000305329489762923,0.000305329489762923,3.12377136810551e-05,0.000270315871175493,3.12377136810551e-05,6.24107033119717e-05,-15,-11,-15,-1,10,0,88.2052067960387,219.071222847006,784.265495658188,1999.87701392838,62.7517308042577,32935565.7992383,26.8257197480329,0.00462229044649923,314.300000000001,58.9340647654823,117907900,8.84363632204505e-05,0.000187214465318471,48.11993,6.78003873006711e-09,2.85104884531873e-06,0.000385259817640149,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.367,0.658,1,1.1,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.02,27,48,0.541489419096598,0.541489419096598,0.535936550692216,0.904956323283328,0.535936550692216,0.437736960797224,17022294818.7619,17022294818.7619,1114223105.28274,16079100269.8027,1114223105.28274,346776686.260033,0.000271767099634252,0.000271767099634252,2.30041570638987e-05,0.000347680618685321,2.30041570638987e-05,9.67374464859128e-05,-15,-1,-15,-14,-4,0,72.1532376700859,25.9155437516722,485.709396363988,1238.55896072817,62.303685048675,6862353.38186228,28.6310609303952,0.00842793873956769,297.1,58.690171019956,128614300,0.000155762830932634,0.0002605126132708,45.39759,3.45072952796002e-09,2.49858438810258e-06,0.000396726721494156,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,0.982,41,0.571,0.15,7,1.73,0.669,1,0.961,0.474,4,1.07,0.744,1,2,0.327,29,30,1.05,7.46,14,36,0.631803484236262,0.631803484236262,0.545555273991413,0.778331430406619,0.545555273991413,0.325273910004683,7528823582.94971,7528823582.94971,1117858536.22036,2618822124.02244,1117858536.22036,852795376.602632,0.000397501917216253,0.000397501917216253,2.08216933796336e-05,0.00016753977543135,2.08216933796336e-05,0.000160931130744139,-15,15,-15,-7,-15,-2,94.1123069899689,133.579919832275,595.380277357717,1518.21970726218,63.2825628095839,24630135.2143056,23.5091520689284,0.00784859634083391,-0.150414000000004,58.5342144070553,109779200,0.000108461772174562,0.000168814311003649,44.93163,4.44395151937899e-09,3.06025256119002e-06,0.000391494403676584,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,0.982,41,0.571,0.15,7,1.73,0.669,1,0.961,0.474,4,1.07,0.744,1,2,0.327,29,30,1.05,7.46,16,63,0.631803484236262,0.631803484236262,0.545555273991413,0.778331430406619,0.545555273991413,0.325273910004683,7528823582.94971,7528823582.94971,1117858536.22036,2618822124.02244,1117858536.22036,852795376.602632,0.000397501917216253,0.000397501917216253,2.08216933796336e-05,0.00016753977543135,2.08216933796336e-05,0.000160931130744139,-15,15,-15,-15,-15,-2,94.1123069899689,133.579918026747,595.380277357717,1518.21970726218,63.2825628095839,24630134.8813932,23.5091520689284,0.00810710987773878,-0.150414000000004,58.5342144070553,109779200,0.000108461772174562,0.000168814311003649,44.93163,4.44395161213313e-09,3.06025256119002e-06,0.000391494403676584,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,41,0.456,0.15,7,1.73,0.669,1,0.961,0.474,4,1.07,0.744,1,2,0.327,29,30,1.05,7.46,12,32,0.631845640519413,0.631845640519413,0.565032834976897,0.76843677668525,0.565032834976897,0.325273910004683,7528510721.6622,7528510721.6622,1192033963.7791,2616864621.08196,1192033963.7791,852795376.602632,0.00039747566488906,0.00039747566488906,2.27095732527418e-05,0.000167509281213787,2.27095732527418e-05,0.000160931130744139,-15,15,-15,-7,-15,-2,94.7579581992442,134.399333235978,660.159776098052,1683.40742905003,63.138123868904,24969179.7960711,23.4176563515652,0.0082244959276054,-7.26950399999999,58.535294014561,122646800,0.00010928441732244,0.000184055135751546,41.69568,4.46988050099598e-09,2.91172427689612e-06,0.000381280096196424,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.3,0.15,7,1.73,0.669,1,1.1,0.474,4,1.07,0.739,1,2,0.327,29,34,1.05,7.91,12,44,0.659700916546117,0.659700916546117,0.553351151573038,0.726728797152935,0.553351151573038,0.322249930151948,7312661195.30238,7312661195.30238,1146016052.84062,2551404055.51272,1146016052.84062,815054170.658877,0.000379796398591036,0.000379796398591036,2.45425818359622e-05,0.000162549635999302,2.45425818359622e-05,0.000172248579605101,-15,10,-15,-7,-15,-4,92.9154486891645,139.712854123497,680.353298958589,1734.9009123444,62.6691495420746,24792540.2703103,24.1785487571111,0.00893209482005422,-10.160678,58.0467275091602,120731100,0.000104384434126143,0.000200704273504245,40.38151,4.11234917579015e-09,2.76551283028226e-06,0.000411569437396064,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
80,22,1,41,0.912,0.15,7,0.313,0.488,1,1.1,0.15,3,0.632,0.736,1,2,1,50,34,1.05,6.62,10,30,0.659317085532893,0.659317085532893,0.484696434770585,0.846422942593195,0.484696434770585,0.366511584727447,17455523729.5077,17455523729.5077,1599635843.41234,19429081024.8588,1599635843.41234,196234372.377153,0.000234857423914751,0.000234857423914751,2.35759492061211e-05,0.000216399870956092,2.35759492061211e-05,0.000119028022070537,-15,-15,-15,-7,-5,5,77.9025449607045,11.5962101821998,533.14679362458,1359.52432374268,63.0334336935241,2562574.49567678,48.3219810231327,0.011833109322661,-14.71184,59.596182924576,117816800,0.00012999046571928,0.000292088913664922,38.3128,2.8640062209821e-09,2.54997438763782e-06,0.000396588379805718,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,35,1,41,0.912,0.156,18,0.313,0.736,1,0.997,0.665,3,1.57,0.736,1,1.82,1,50,34,0.83,5.69,10,50,0.323000029569802,0.323000029569802,0.508943710730475,1.20568134106296,0.508943710730475,0.368432592006456,9338530340.94897,9338530340.94897,812075894.791882,1555692652.89057,812075894.791882,203075702.896215,0.000306892466930774,0.000306892466930774,1.62108337720291e-05,0.000150340556528559,1.62108337720291e-05,9.99737751367139e-05,-15,-10,-15,-7,-5,-4,63.3740994941828,54.0352208022188,410.353692860917,1046.40191679534,61.705998530388,10106458.6998987,41.7669290946797,0.00922525597446116,-23.2493316,58.2021634685123,76750360,0.000110020383327066,0.000183781769924145,44.89446,6.04663189800896e-09,3.73047203922616e-06,0.000408961137780883,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
41,53,0.86,39,1.6,0.15,50,1.58,0.89,1,0.917,0.568,1,2,0.827,1,1.7,0.758,45,50,2,4.05,6,53,0.425716699784853,0.425716699784853,0.416313764110963,0.97612325702712,0.416313764110963,0.287119073269119,989964682.841241,989964682.841241,355396995.757779,2028204734.25382,355396995.757779,113334859.162663,0.000277281210770298,0.000277281210770298,6.24028795551397e-06,7.15777261980254e-05,6.24028795551397e-06,9.60052582315818e-05,-2,4,-4,-2,9,-5,83.7973129268018,320.980175951736,295.906266597073,754.560979822536,65.0368599027234,27774936.1133993,62.8480073669802,0.0108912149150977,-73.6508025,60.1795789951838,25605250,5.09009556908615e-05,8.29829235116636e-05,45.58352,1.30373860557191e-08,3.04424242145052e-06,0.000354131101289568,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
41,43,0.86,39,1.6,1,50,1.58,0.89,1,1.18,0.568,1,0.806,0.827,1,2,0.648,45,50,2,7.77,2,8,0.236133095107188,0.236133095107188,0.432716592906519,1.55152449895175,0.432716592906519,0.308624254606903,235757687.715634,235757687.715634,387564191.882213,3243817405.06854,387564191.882213,213339240.398342,0.000359222487184619,0.000359222487184619,9.11726007572178e-06,5.20781880484049e-05,9.11726007572178e-06,0.000175954384551271,-2,4,-4,-2,9,13,65.6011331335914,315.767416601799,119.979954676418,305.948884424865,67.9430495730976,46356084.9314992,58.9222030138046,0.0169986352120797,-81.562536,60.5380161778055,17613600,8.63556016870797e-05,0.000106578239298462,45.26658,2.17926135123725e-08,4.39156598589563e-06,0.000325560365514788,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
