MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS2,VDS3,VDS5,VDS7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,gmid_offset0,gmid_offset2,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.14,23,1,0.541,1,1,0.184,30,0.352,0.273,7,0.52,0.639,28,0.217,7,20,13,0.157813531531398,0.68873135131617,0.227457144921739,0.290540129022513,0.300972369116601,1489496675.4638,2005040916.93096,2525931108.93779,2888976785.15456,804493813.253523,0.000167548699843613,7.28599219775567e-05,0.000185418523066881,0.000146325082391541,0.0001588081946154,-15,-11,-15,1,12,70.774442560977,205.234569721273,705.055468294967,8566.42393978385,46.8316435879789,69792835.515107,3.74941115376802,0.292724087711613,379.600000000001,43.715657813413,239763800,4.19831778730618e-05,0.000653819869108319,45.66884,0.292724087711613,3.6943680716478e-06,0.00062374367769602,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.389,17,0.275,0.415,1,0.71,0.195,30,0.1,0.273,7,0.209,0.614,14,0.52,10,29,36,0.32289395715487,0.688401037759379,0.262826187592893,0.317660214423052,0.301144145063581,1614883722.3743,3746266477.23673,5334596359.41881,5671233005.13033,785856074.12489,0.000152035776712689,7.59351582361896e-05,0.000179631649597876,0.000142165444773092,0.000170764723301003,0,-15,-15,-2,15,45.5320852619376,268.822527430644,612.178725388787,7437.97151347376,44.3297606742218,114936558.460149,2.97432227574619,0.282523790335437,350.300000000001,42.2570581510635,261740400,5.27846334566881e-05,0.000724543974904439,47.53341,0.282523790335437,4.75604664090357e-06,0.000896186258872111,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.29,1,0.435,0.533,8,0.1,0.16,7,0.83,0.501,15,0.129,0.435,18,0.1,7,19,26,0.466842554621802,0.688516201578467,0.229271108450259,0.298583032621046,0.30105571793565,6874394650.19525,2196288364.59859,3940737110.81717,1634332803.30687,2471515752.4082,5.92536700081646e-05,7.55914671749643e-05,0.000149199753601001,0.000102295094153927,0.000143477317152777,5,-2,-15,-1,-15,50.8169770799705,293.85681234586,815.948648490387,9913.7760791582,45.3038754402576,98367015.6941572,2.35796946545115,0.309548728420872,341.900000000001,41.7934402566338,273134500,4.13265083585375e-05,0.000636300883912718,58.50841,0.309548728420872,4.41311178683984e-06,0.000718384202273326,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.14,19,0.674,0.541,1,1,0.31,30,0.22,0.292,6,0.52,0.611,16,0.52,8,34,41,0.189542482408173,0.688630505919574,0.267227492214753,0.308868303908867,0.301058839588,2722961278.41118,2061577068.87384,1801279662.40272,3064003170.79609,732220184.720764,0.000185019764948404,7.55293528762056e-05,0.000165578342491965,0.000148537558059193,0.000174696736875013,-15,-12,-15,-2,12,55.3684675668938,279.560005431245,653.168452325138,7935.99669575042,45.4849353426392,97949725.5925342,3.72457245868569,0.258303568134521,334.600000000001,42.8307512826613,228851300,4.32556820725264e-05,0.000686744437393941,46.4107,0.258303568134521,3.09084579369207e-06,0.000773251948970322,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.311,1,0.824,0.533,1,0.784,0.16,7,0.446,0.501,15,0.1,0.619,28,0.1,7,24,38,0.413492435538339,0.688876145581232,0.257300448342697,0.300278738121984,0.300692431872938,4611145550.09724,2312886708.94436,5854138255.83284,1805236234.25745,1175446421.44986,7.34281742451363e-05,6.70901154835247e-05,0.000136412964823402,9.913548863783e-05,0.000147485398104517,8,-2,-15,-1,3,48.3439202481962,363.608084773422,776.618347394934,9435.91292084844,46.8048506346376,120607815.781859,2.30808318740898,0.310705247723803,331.200000000001,43.0921916280598,257602200,4.09502825260554e-05,0.000717405680470849,50.05977,0.310705247723803,3.04150826456379e-06,0.000598806582013667,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.301,4,0.31,0.522,1,0.953,0.285,30,0.189,0.334,4,0.172,0.708,13,0.203,9,46,57,0.389151553124508,0.688792182692497,0.199906059743108,0.376566184438277,0.300594528041783,4438768974.36881,2435073867.72331,2161590666.87213,6103380568.9745,1247690735.17864,0.000102804800119169,8.41280726586169e-05,0.000163307436252639,0.000100047359009888,0.000149663975130575,-14,-12,-1,-3,-8,44.948952037721,291.929989149062,700.746844611908,8514.07416203468,46.7499997833071,123154641.770874,2.63212233758235,0.275582396966262,306.700000000001,41.8749456787876,295619600,5.20819282943654e-05,0.000747291667892337,48.99567,0.275582396966262,6.44677565510649e-06,0.000674572601516987,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.12,1,1,0.45,4,0.53,0.25,21,1,0.5,10,1,0.52,6,1,26,10,25,0.385786815353372,0.688072702831777,0.203984648173617,0.362377969752783,0.301639405442759,32149233884.0254,2375789963.16615,2365375340.7797,1439578541.87367,1349234844.93213,0.000276157587207556,0.00014304673407108,0.000511381135231545,0.000375805509742071,0.00022103748519188,-6,1,-3,-3,15,56.5575782506648,178.457561118579,381.719027553004,4637.88618476899,44.9550041841292,151286646.800038,5.06438545136525,0.285228140616468,-45.6058845,42.0806555305523,323600700,0.000104659974536261,0.000500306366084687,52.74945,0.285228140616468,5.21526078274159e-06,0.00115235798309732,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,1
0.12,1,1,0.45,7,0.53,0.25,21,1,0.5,10,1,0.52,6,1,26,12,50,0.385786815352035,0.687708252045506,0.204512966114161,0.362066611532194,0.302096127413396,32149233883.7991,1847384532.53001,2359781906.76046,1436144002.08797,1352263580.18311,0.000276157587205074,0.000177552548450755,0.000509548919599213,0.000374548057677644,0.000221727996492113,-14,1,-3,-2,15,58.4567859430545,168.04452973592,374.478934187137,4549.91905037372,44.5864053626429,142507488.876916,5.20374864881078,0.285006623085637,-46.6008015,41.7800762046356,317570900,0.000104695565948777,0.000513115963142395,51.50115,0.285006623085637,6.49873013062713e-06,0.00147674359592503,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,1
0.54,10,0.1,0.265,10,0.6,0.118,11,0.876,0.25,11,0.1,0.362,23,0.13,29,22,15,0.63956307542758,0.685786374763813,0.187762140239124,0.359477856548292,0.303625243483875,3002697569.12837,5351928953.03394,9376191441.82023,11869290209.6823,5206407189.91226,0.000142631008660732,0.000493115758305526,0.000539757242478772,0.000284262818726508,0.000431981613329281,-14,-5,-12,-1,-15,51.2429918525428,233.53855377271,689.457471595133,8376.90827988087,40.168222595599,305751817.381223,2.76160750288668,0.119128325938123,377.900000000001,35.8454518484929,902647000,0.000161631291016028,0.000747005400684588,48.99474,3.16066717936936e-10,1.53255531121915e-05,0.0026070937177996,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.344,30,0.1,0.298,1,0.984,0.121,14,0.173,0.333,15,0.1,0.382,29,0.154,17,100,17,0.359894189794921,0.687612329810303,0.266710060744994,0.323082751369915,0.301433790221535,3070288278.61976,8487219456.88125,15726358902.6905,5279801018.26926,3362594323.14805,0.000216168910080728,0.000179475377880322,0.000281197969993923,0.000210075269453585,0.000379553822074555,-10,-5,5,-11,-15,39.5283668467012,246.820394086404,696.14972862212,8458.21920275876,40.0044743854168,223318705.196518,2.21576172004121,0.118952762430479,363.200000000002,37.1392637828762,629863900,0.000111701509189055,0.000931353912056664,52.473,3.64489657179263e-10,1.01726395846036e-05,0.00117965088875238,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
