MOSFET_11_1_L_gmf1_PMOS,MOSFET_11_1_M_gmf1_PMOS,MOSFET_11_1_W_gmf1_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,90,1.09,0.5,6,1.32,0.296,95,1.04,0.5,67,0.981,0.5,1,0.955,0.5,1,0.987,0.757,1,1.1,20,5,9,100,14,0.463845257766532,0.457398259431729,0.457398259431729,0.463845257766532,0.641375154664967,0.374851126493436,0.463845257766532,1554714008.2909,655552551.084418,668826097.114722,1291956600.35388,1696061138.06052,1952440893.89946,1291956600.35388,0.000240227162313335,9.64213738278232e-05,0.00122083892421911,0.000101830600351853,6.1911162099057e-05,0.00202818552949221,0.000101830600351853,7.65796971907054,0.630637861134568,0.732462383109123,4.94853341374213,-5.98966061135745,4.92630160256284,5.79764020237738,78.4026332964965,76.584750261855,713.709845362559,17.3431492423102,90.4085365174433,277118.798877262,165.474837059899,0.000469989105211984,288.500000000001,124.352405429039,2582530,0.000223361682810728,8.15370857488515e-05,58.00782,1.07683693489386e-06,2.76333176466026e-07,6.58498595610402e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,90,1.09,0.5,6,1.32,0.296,95,1.04,0.5,67,0.981,0.5,1,0.955,0.5,1,0.987,0.757,1,1.1,20,5,9,100,16,0.463845257766532,0.457398259431729,0.457398259431729,0.463845257766532,0.641375154664967,0.374851126493436,0.463845257766532,1554714008.2909,655552551.084418,668826097.114722,1291956600.35388,1696061138.06052,1952440893.89946,1291956600.35388,0.000240227162313335,9.64213738278232e-05,0.00122083892421911,0.000101830600351853,6.1911162099057e-05,0.00202818552949221,0.000101830600351853,7.85522604574595,4.62743733012871,-1.8143325082483,-0.463960292007384,0.558923849854713,10.9294415752496,5.84647023472601,78.4026332964965,76.5845820636199,713.709845362559,17.3431492423102,90.4085365174433,277118.1902588,165.474837059899,0.000521755089503593,287.500000000001,124.352405429039,2582530,0.000223361682810728,8.15370857488515e-05,58.00782,1.03507919336705e-06,2.76333176466026e-07,6.58498595610402e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,74,0.903,0.5,4,1.16,0.5,27,1.02,0.5,43,1.04,0.5,1,0.976,1.14,1,0.962,0.939,1,0.935,20,5,13,100,26,0.568272084192497,0.562225851044552,0.562225851044552,0.568272084192497,0.76904971690408,0.564972787559112,0.568272084192497,597022660.085556,964110548.008926,996205332.512574,493591685.928385,1542916984.37566,2823917139.89832,493591685.928385,0.000216995408366973,9.53393424454831e-05,0.00141559437502339,9.26719332946514e-05,6.08056980767635e-05,0.00169596804401995,9.26719332946514e-05,3.5170662187081,0.211392031513859,0.473795619997991,-6.4891132915941,-6.47070465062786,0.377448553708815,1.9176888858351,81.1623606952641,46.8724164574002,536.058967599343,13.026232912664,91.2368649808941,261678.45183201,165.325611113342,0.000414345987184106,274.1,124.677084972486,2992700,0.000344616131931417,7.21359201091582e-05,47.49365,1.13977168553344e-06,1.30759582274709e-07,1.76303599169758e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,74,0.903,0.5,4,1.16,0.5,27,1.02,0.5,34,0.991,0.5,1,0.939,1.14,1,1.16,0.939,1,0.935,20,5,13,100,29,0.547983300059111,0.562081919237076,0.562081919237076,0.547983300059111,0.768830757569087,0.56485238111696,0.547983300059111,548646774.889606,963668112.338051,995734541.885355,453256324.910238,1542239256.40566,2822560797.73642,453256324.910238,0.000235887937727917,9.52843784818565e-05,0.0014147679232493,0.00010068579111253,6.07766269402181e-05,0.00169498752954581,0.00010068579111253,5.66427442466558,-5.7351563755202,0.476561602602769,1.2083052478811,-8.60509614090357,-0.162484912775765,-5.23496162071021,79.7088332325318,50.2533493274598,502.330328858501,12.2066269912616,88.2679989980062,280460.584703094,165.296593219582,0.000390497730897019,272.8,123.611650236783,2803472,0.000344502048191561,7.30041775951828e-05,52.31989,1.10824473516498e-06,9.94229509787559e-08,1.19413108655153e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,159,1.09,0.5,10,1.32,0.296,95,1.06,0.5,67,1.01,0.5,1,0.955,0.5,1,0.987,1.06,1,0.888,20,5,9,100,45,0.463845257766532,0.411065529198941,0.411065529198941,0.463845257766532,0.732577421960783,0.379117621207514,0.463845257766532,1555011619.33877,522391816.979729,540382548.625714,1291956600.35388,1136680221.84952,2039677761.97183,1291956600.35388,0.000240265916728715,0.000115922231400939,0.00157546460676094,0.000101830600351853,4.73439072964552e-05,0.00217776268346719,0.000101830600351853,7.25483677724092,2.715682284465,2.68471582424901,0.647838948104921,-6.40111527706635,11.3986986388092,0.14316880497748,76.7129428843112,73.1941860276068,676.832714406213,16.447034960071,87.9630054875938,276450.205527245,165.604617266548,0.000640809009245156,248.1,123.000521810089,2556358,0.000233144576472856,7.19188834926574e-05,63.68444,1.10151354738555e-06,4.7042272190212e-07,0.000106943148266869,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1.52,0.5,17,1.12,1,35,1.07,0.5,43,1,0.5,1,0.955,0.5,1,0.965,1.62,1,0.824,20,5,10,32,55,0.473958316594153,0.385706044109354,0.385706044109354,0.473958316594153,0.868517258524267,0.574840734150153,0.473958316594153,1664885364.2582,450710719.15804,456724877.217518,1384244160.27281,637595710.699875,800128543.949508,1384244160.27281,0.00025561475790461,0.000136112596007129,0.00215814245511037,0.000108410498218717,3.77651244567429e-05,0.00124540241988234,0.000108410498218717,8.61610377216271,0.383802372546462,0.598318650855136,6.27612497724021,-2.08296336478685,-6.16945039955331,6.07852985776389,74.0442209474484,68.9495536032073,588.17863517849,14.2927408348373,83.5331338017823,304280.907515267,165.761386516885,0.00106551380115203,219.000000000001,127.179528032338,2595688,0.000272413251243586,7.0334883587974e-05,58.40313,1.0699186265057e-06,7.14507316620372e-07,0.000163378022821625,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,109,0.703,0.5,5,0.877,0.5,21,1.04,0.5,51,0.974,0.5,1,0.978,1.42,1,0.85,0.778,1,0.987,20,5,16,100,51,0.64297847692123,0.595582108054139,0.595582108054139,0.64297847692123,0.761373489262736,0.651248491765793,0.64297847692123,500362557.089332,1084736836.90915,1121525797.61186,419230827.331941,2168269325.1973,3768514368.18999,419230827.331941,0.000206529867256176,0.00010411617862777,0.00187823178644057,8.93840680764208e-05,7.55806812701489e-05,0.00188900293030364,8.93840680764208e-05,-6.8836247851325,1.13268999552931,1.1563503320344,-1.31367840314,-6.23591437170086,3.53927774533682,-7.41589369320958,81.8961647182742,33.4107903424092,434.382412522133,10.5554926242878,90.580293489282,255737.266248892,165.348107857332,0.000431210145468334,238.8,122.968729812204,3324907,0.000472489601150803,7.10093061695061e-05,49.51895,1.10628010001001e-06,2.16855926214732e-07,3.23363458050729e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,109,0.703,0.5,5,0.877,0.5,21,1.04,0.5,65,0.974,0.5,1,0.978,1.42,1,0.839,0.778,1,0.987,20,5,16,100,53,0.644913601579951,0.595582118969533,0.595582118969533,0.644913601579951,0.761373491553825,0.651248421042679,0.644913601579951,503329346.417341,1084736872.45295,1121525662.96884,421646808.833896,2168269335.36347,3768515188.01541,421646808.833896,0.000205244634751429,0.000104116182717368,0.00187823164423319,8.88153545706859e-05,7.55806816573626e-05,0.00188900319919736,8.88153545706859e-05,-6.92024579519184,0.331619599458072,-0.0986331460232899,-1.34762140186125,-6.04035584871771,-1.21128779448685,-7.44983669193083,82.8966096007163,32.3398134795305,458.171039599785,11.1335562622748,92.5389532262692,247533.157770612,165.389006381924,0.000332265456111157,236.8,123.717436525099,3506901,0.000472477201002191,6.99210931965048e-05,45.9314,1.14582029529328e-06,2.09897618634047e-07,3.10798577585758e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1.14,0.5,8,0.92,1,73,1.19,0.5,63,0.952,0.5,1,1,1.07,1,0.929,0.5,1,0.96,20,5,22,24,34,0.63741750980612,0.564271630547099,0.564271630547099,0.63741750980612,0.740914599686564,0.667573136951985,0.63741750980612,849857675.454967,982536314.610131,993202022.544709,713974898.86574,4861635246.96684,1061364853.49231,713974898.86574,0.000291659415373472,0.000154772148246361,0.00480621970232049,0.000126082799185148,0.000109773393635176,0.00401845182255368,0.000126082799185148,-6.30711720997813,0.551969185787926,0.544102256600847,-5.53361000464051,-6.03340275029116,-2.24203268517975,-6.84111179754823,73.5593374273639,25.7578074882067,265.574614268591,6.45346312672677,78.1750340269608,384851.444978007,165.835593917591,0.00110347264149302,231.6,122.758987813855,3967992,0.000922293640347935,7.11027178439586e-05,69.2561,7.0125946222306e-07,8.57651348895594e-08,3.70873107976566e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1,0.5,10,0.934,1.1,64,1,0.5,73,1.01,0.5,1,0.964,0.5,1,0.952,0.5,14,0.96,20,5,16,27,43,0.517307853729261,0.485609615378055,0.485609615378055,0.517307853729261,0.399553133316072,0.61072077219784,0.517307853729261,2143148285.22177,762433809.865824,753370171.197911,1787285024.44559,999420544.847447,756590979.847551,1787285024.44559,0.000343333028870472,0.000138964831597709,0.00294198809212761,0.000146035445059316,0.000229763599032324,0.00225549844454686,0.000146035445059316,-3.05745601973702,1.64405753621707,1.53598395757539,3.76991645906484,6.02956715641462,0.84496395482525,4.5157493791393,75.5496763718812,57.0376844569288,453.299298264786,11.0151729478343,82.7778095766938,469660.949344744,165.814438454557,0.000566816553391683,228.6,123.82054025072,3732567,0.000508285301239941,7.63746446114558e-05,57.19686,7.63277078484054e-07,3.70661189985633e-07,0.000101032088706932,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
