MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_15_2_L_gmc_NMOS,MOSFET_15_2_M_gmc_NMOS,MOSFET_15_2_W_gmc_NMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_7_1_L_gmf1_PMOS,MOSFET_7_1_M_gmf1_PMOS,MOSFET_7_1_W_gmf1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS23,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft23,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm23,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
4.4,31,0.906,2.79,41,0.495,0.657,69,1.06,0.188,2,3.7,3.2,1,0.877,4.3,1,1.47,2.46,14,1.1,3.22,88,1.04,4.13,1,0.984,1.15,0.1,88,26,0.260342546229395,0.208747750302928,0.208747750302928,0.14850091679747,0.260342546229395,0.364998121307033,0.32337450509299,0.260342546229395,0.260342546229395,7703185.92418831,3584431.89331992,33795313.7963893,62185909.2926121,6834114.06884471,13746622.5933681,26155836.9232487,6834114.06884471,6834114.06884471,3.78347544997987e-06,3.39681606951569e-06,3.25599148411466e-05,2.7330139797365e-06,1.72666083121091e-06,2.59735198988242e-06,2.57800697877222e-05,1.72666083121091e-06,1.72666083121091e-06,6.53119130595935,8.60086151512242,9.87519272846925,13.7074148410606,9.21117290274259,7.23790433937146,8.09268090523985,6.11334689871427,6.11334689871427,111.068790593946,15283.4753979817,21512.9117591555,65.3454694684347,108.115930911493,104280.433598337,52.1673141919344,0.000994184838750967,959.6,131.717883030366,146784.4,3.36942410531394e-06,0.000444173205880684,52.43293,2.51506036728425e-05,2.29620373006778e-07,3.87802952631633e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
5.67,16,0.741,2.58,58,0.921,0.669,96,0.982,0.18,26,0.266,10.9,1,1.21,7.06,1,1.15,1.67,27,1.14,2.45,94,1.13,4.88,1,0.977,1.15,0.1,65,59,0.308891825237905,0.245944216508253,0.245944216508253,0.094453367271018,0.308891825237905,0.561142680878897,0.321518545528727,0.308891825237905,0.308891825237905,1284705.99105512,5493380.69247783,62458897.3221703,71241486.2824948,1086801.47909362,16892481.3003323,53648314.7538837,1086801.47909362,1086801.47909362,3.50506209452346e-06,1.34710152732555e-05,8.26270121381864e-05,2.98658404429417e-06,1.56402589667385e-06,5.41602943255027e-06,7.0633380850632e-05,1.56402589667385e-06,1.56402589667385e-06,5.47907003909845,8.16807437226117,11.0586047806399,15,7.86714173764716,0.290836205014606,8.81441826154834,4.76931573361884,4.76931573361884,104.495701492856,5564.14002982844,9389.31247228282,28.5200366345591,106.060204887893,86359.2876629139,49.2265421089071,0.00126726913868734,909.6,132.179289883102,145728.6,7.66453784056928e-06,0.00185771024034871,71.63721,1.76080901194918e-05,4.14119877031327e-07,5.70983719788698e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.01,65,0.995,0.18,27,0.854,0.18,33,1.02,0.255,137,0.22,0.587,1,1.01,5.6,10,0.959,5.19,7,1.1,3.17,200,0.961,1.24,153,0.981,1.15,2.9,58,6,0.385228441772322,0.27738151383155,0.27738151383155,0.207886367083261,0.385228441772322,0.589875501873439,0.642294574567232,0.385228441772322,0.385228441772322,639057817.127394,1140814293.60491,924758747.537783,368837073.546386,519780608.205834,29384129.1654079,39955315.2253394,519780608.205834,519780608.205834,9.87525183564725e-05,0.00016836634917206,0.000201973656499694,8.06360686165071e-05,4.12151153430027e-05,6.36509005096884e-05,6.57794485644078e-05,4.12151153430027e-05,4.12151153430027e-05,6.27343713071358,7.54473345180034,7.66341866035247,12.5114545937928,7.10768259635539,-1.63266163451265,-1.67834856903294,5.79835308662029,5.79835308662029,105.446328824489,18550.5203902909,10801.5761853404,32.8097876629714,85.0962861128235,2739730.15734772,80.9649947199405,0.00112273821907319,1060.8,125.377386679223,1595287,7.29334345159638e-05,0.000187090605421683,49.39831,1.47875320614949e-06,1.26642036043068e-06,0.000128648813220944,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.01,40,0.976,0.18,27,0.911,0.18,33,1.02,0.269,85,0.22,0.587,14,1.01,5.6,10,0.959,5.19,7,1.11,3.18,200,0.999,1.24,153,0.981,1.15,1.84,55,11,0.208381338760833,0.27594859132718,0.27594859132718,0.171418640180254,0.208381338760833,0.592883168181614,0.636507939387046,0.208381338760833,0.208381338760833,54553380.5874108,1093395005.45038,903529811.848773,335567741.18077,49530017.1419008,29666726.1430925,39323171.8814563,49530017.1419008,49530017.1419008,7.83291731203554e-05,0.000172005720464326,0.00019711856409577,4.75273206701887e-05,3.57550765058108e-05,6.43664612787347e-05,6.51725697070493e-05,3.57550765058108e-05,3.57550765058108e-05,10.0738127044595,10.0095307498198,15,10.4335156890876,11.7386526984894,-0.902519863056877,-1.38093978634304,6.97804974743962,8.78015374371647,103.775070399134,13794.0049399933,8448.80568654798,25.6632472728895,85.4412570678861,1835665.26177012,70.6258469683727,0.000830493826861978,1050.6,125.132488313611,1124342,6.57170537331658e-05,0.00015949337810305,47.92406,1.54973282705939e-06,1.65218330153205e-06,0.000137390454022945,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.01,40,0.932,0.314,27,0.877,0.18,33,1.02,0.269,99,0.22,0.587,14,1.01,3.27,10,0.887,4.98,13,1.11,3.38,200,0.993,1.24,84,0.997,1.15,1.4,54,19,0.194380539351138,0.306090067062505,0.306090067062505,0.152819614096302,0.194380539351138,0.501192545771433,0.616395199135067,0.194380539351138,0.194380539351138,42909373.3915954,573428946.616158,1447636968.3879,228582502.157106,38854143.0258559,59661718.3937314,40275780.4209675,38854143.0258559,38854143.0258559,6.05566291851793e-05,0.000121912417791725,0.000324355548314544,3.72795761120952e-05,2.75643931209739e-05,6.55669511239809e-05,0.000117967226811828,2.75643931209739e-05,2.75643931209739e-05,10.6732265518681,5.09384394275155,6.63508829673981,12.8885930968235,12.1705744172059,0.464627389030777,-0.870930600773709,10.4177243615114,9.16319059381117,107.354944973244,11622.3079323156,10498.252908271,31.8884432088731,101.232097526979,1425413.27573611,68.7997060022788,0.00167767618490478,1005.2,125.929302710993,1287554,6.05652332209996e-05,0.000205324767856552,53.24999,1.39160746907419e-06,1.18355385757329e-06,9.0301064289755e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.01,27,0.747,0.314,42,0.92,0.18,33,0.925,0.18,58,1.57,1.63,8,0.981,3.28,9,1.06,2.8,13,1.29,1.78,181,1,0.518,84,0.979,1.15,1.4,54,21,0.256778764672589,0.345794332405711,0.345794332405711,0.145068666237487,0.256778764672589,0.643377471750821,0.602446444702959,0.256778764672589,0.256778764672589,24682029.6035817,873651120.403743,2575915121.88309,70638440.3393271,21849995.7216403,97978832.0197721,119340617.281554,21849995.7216403,21849995.7216403,5.38300216274742e-05,0.000330256711333118,0.000546768256887161,3.796343746667e-05,2.43495793395196e-05,0.000127446642077863,0.000228324225897527,2.43495793395196e-05,2.43495793395196e-05,5.19712546185038,8.2441243007,13.2567383137515,15,9.26909351753271,-1.72398021113388,-0.906647093138078,8.96121502327001,6.71930981086767,113.609592628073,5795.34224251856,6153.84879979917,18.69231572939,101.19581834125,1499086.7633068,56.5831172347371,0.00113111242000048,1003,125.100808412247,1591822,0.000127738747545643,0.000222625589287138,53.07531,1.94862840820228e-06,8.94986837267076e-07,9.89936820611215e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.01,27,0.747,0.314,41,0.92,0.18,33,0.925,0.36,58,1.81,1.63,8,0.981,3.28,9,1.06,3.01,13,1.29,1.78,172,0.965,0.744,84,0.979,1.15,1.4,55,21,0.256778764672589,0.341048053592846,0.341048053592846,0.191653762697429,0.256778764672589,0.627686518438395,0.601117471205556,0.256778764672589,0.256778764672589,24410115.7927653,834743217.762398,2423741327.96127,40851739.4732392,21849995.7216403,93719535.8384215,103108085.923535,21849995.7216403,21849995.7216403,5.34025233452281e-05,0.000304646975109039,0.000511518542149922,3.48409906639696e-05,2.43495793395196e-05,0.000121116281766615,0.000211685489373736,2.43495793395196e-05,2.43495793395195e-05,7.08873189589864,8.52733115993654,13.6257752157057,13.5606674953535,9.81713581489599,-1.20566497156261,-1.49788462752089,6.71930981086767,6.71930981086767,109.81780524724,6558.74844420466,6514.10863670109,19.7866049839796,98.6867627814717,1559519.31807443,57.079953118411,0.00109560573296569,994.2,126.67556717602,1548905,0.000117420724873273,0.000228439714366058,51.9867,3.2479658132471e-06,6.98126238213304e-07,7.90391220087949e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.38,26,0.627,0.18,24,1.15,0.18,37,1.09,0.406,16,1.22,14.9,1,0.692,3.56,3,1.81,3.67,19,1.04,3.57,149,1.03,4.43,135,0.884,1.15,1.8,100,7,0.68120681788871,0.254999829472572,0.254999829472572,0.410635143617479,0.68120681788871,0.570510659985508,0.454152063685757,0.68120681788871,0.68120681788871,5572456.38486146,740346008.468024,628136279.503192,220330520.566076,4746114.40280828,66387253.1946387,37421437.1741807,4746114.40280828,4746114.40280829,1.91072074465612e-05,0.000128732385081582,0.000161848874383204,3.88807053402026e-05,8.55330402929674e-06,5.14826942575454e-05,9.60811149183732e-05,8.55330402929674e-06,8.55330402929675e-06,-3.43759419523286,9.55114470991225,7.15220247864218,13.1610975502958,-2.59079401814034,-0.255659286149351,3.22699184981703,-3.83317082249215,-3.83362858616402,97.5161126043347,19240.9690496571,12775.7552670374,38.806356623626,81.431417198742,2168771.04540977,60.334454667296,0.000507567461936789,974,125.041061862649,1440036,5.56623756502026e-05,0.000169489497815538,46.13018,1.28943196012723e-06,1.94588991801303e-06,0.000182069006284036,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.37,28,0.575,0.18,24,0.982,0.18,37,1.05,0.406,17,1.29,14.9,1,0.692,3.56,3,1.88,3.77,19,1.04,4.56,149,1.03,4.43,135,0.884,1.15,1.8,100,10,0.681218456241568,0.246794258307022,0.246794258307022,0.406397631952473,0.681218456241568,0.532924901153382,0.440202353742568,0.681218456241568,0.681218456241568,5573256.83380314,684847520.148424,551650017.323027,200093464.580965,4746193.47832075,57611631.3406981,32595928.4305883,4746193.47832075,4746193.47832075,1.91087704338367e-05,0.000101047713982347,0.000136271561981245,3.92066482493443e-05,8.55349132874817e-06,4.52065778982712e-05,8.41241189334874e-05,8.55349132874817e-06,8.55349132874817e-06,-3.44801353428543,11.6978520750895,10.850254228484,12.2144041741791,-2.49171096765745,0.859543706610747,4.25381949786614,-3.84409839594114,-3.83286792719114,96.953682615063,20795.3400946406,14039.7524105748,42.6457479471209,80.7995127653869,2053933.01162899,61.5487741551365,0.0005419788351355,969.6,125.34854028435,1386691,4.8774768883856e-05,0.000172909142784412,49.31923,2.22470651831386e-06,2.15170643327267e-06,0.00019087107768323,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.38,26,0.627,0.18,24,1.14,0.18,37,1.09,0.406,16,1.22,14.9,1,0.692,3.56,3,1.81,3.67,19,1.04,3.57,148,1.03,5.45,135,0.884,1.15,1.8,100,13,0.68120681788871,0.254991530730604,0.254991530730604,0.410645118423675,0.68120681788871,0.569623394013079,0.454137472694807,0.68120681788871,0.68120681788871,5572454.90214512,742191083.146744,628043566.999109,220375143.482313,4746114.40280828,66179694.8424884,37418195.4725597,4746114.40280828,4746114.40280829,1.91072052270841e-05,0.000127925397406706,0.000161824267663625,3.88895066075194e-05,8.55330402929674e-06,5.12935750722823e-05,9.60706893102328e-05,8.55330402929674e-06,8.55330402929675e-06,-3.43713649862274,9.30411373339284,8.25915711650972,8.45642672881349,-2.59079401814034,0.223205495761746,3.12294929474429,-3.83317082249215,-3.83317082249215,97.2910495992018,19329.3161841007,12489.9205068078,37.9381335394286,81.1265292217034,2172054.80981079,62.2894832214877,0.00052336399427896,967,124.767123165312,1403505,5.54918574950988e-05,0.00017144489839449,45.9022,1.22336403215391e-06,2.00348717412702e-06,0.000188884266461464,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
