CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
9,1,2,1.47,1,1,0.3,0.97,1,1.49,0.457,50,1.92,33,38,0.627312238557928,0.205140739595908,0.762732458218021,0.984560399600937,647685641.430901,1336484094.19697,912383212.189342,362997722.549716,5.73613833672786e-05,6.37720951930175e-05,4.28250308526505e-05,0.000213721916036826,1,12,12,7,62.8770635251313,56.6229304946851,123.17889677275,3141.06186770513,45.4792860258039,62543202.4404213,10.7821426442057,0.147050281255649,345.100000000001,45.1713090600016,136058000,6.49738873653918e-05,0.000355373335367653,57.39309,0.147050281255649,3.64830696328922e-06,0.00104232262622239,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
7,0.858,1,1.35,1,1,0.3,1,1,2,0.23,50,1.86,32,47,0.689499883759012,0.182720161283123,0.664596770012968,0.955635455703245,1009699467.10013,1164429177.57545,708149608.178643,479144167.39823,3.70740669341224e-05,5.47207111877864e-05,4.35183143859675e-05,0.000174132428890311,3,-15,0,15,68.3758485183452,59.1347953738215,139.821483473742,3565.44782858043,46.240543233801,50923433.9985888,7.62537867912145,0.152102376160706,337.200000000001,44.6963164321576,120406100,5.06553899210773e-05,0.000371104286858018,58.16145,0.152102376160706,5.91061235885482e-06,0.0014973961442013,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,1,2,0.93,1,0.3,1,1,2,0.365,49,1.89,30,55,0.663542944548413,0.19863733179036,0.711136926199512,0.981297368849783,990139652.212644,1474765965.98903,781654305.293814,450478393.402558,5.16968019904186e-05,6.54784266411684e-05,4.92965773131574e-05,0.000218123918306452,-9,-11,12,3,62.9838783992638,53.5837840265829,131.036084186623,3341.42014675888,45.4365943143274,59340948.0213466,9.32814558205435,0.152333087148203,335.500000000001,44.8928641820304,145114900,6.51436636039734e-05,0.000368138632504145,56.60092,0.152333087148203,4.74732481087314e-06,0.00128073742709023,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.738,1,2,0.977,1,0.3,0.971,2,1.55,0.423,50,2,33,50,0.640992081768356,0.20338737817649,0.628501150588466,0.980627048085827,1209975446.09154,1383237386.40664,688004137.292644,378600341.398387,5.51308168350405e-05,6.45701793709816e-05,6.24728619037216e-05,0.000218449605127518,-9,-11,15,14,70.9294136158112,53.5091180006479,122.19729763667,3116.03108973508,46.515824996609,59531655.2835083,10.2215409797153,0.143849906083317,334.300000000001,44.7888927376514,135950800,6.54442122454361e-05,0.000376096737507456,55.38156,0.143849906083317,6.49987171832067e-06,0.00165133529086825,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.758,1,2,0.978,1,0.3,0.982,2,1.64,0.526,50,2,34,46,0.645511993455907,0.203401629864078,0.62175966012148,0.988977742596639,1161489533.29327,1380567221.46429,661255236.154011,312125537.982358,5.44167238644603e-05,6.44998271609935e-05,6.38000442881336e-05,0.00021230747123504,-3,-11,15,14,71.1208851840574,55.7657959160807,114.014543547392,2907.37086045851,46.3441605395234,61975041.9356937,11.2171172767338,0.139067575391705,331.000000000001,44.6653555384769,126709500,6.53732389579037e-05,0.000374262734135781,56.22662,0.139067575391705,6.59594933993535e-06,0.00170896611590654,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.798,3,1.44,1,1,0.3,0.991,1,1.57,0.314,50,2,63,49,0.543533815512079,0.206212470039631,0.761526909368729,0.964386197279562,783286152.424907,1346054791.9074,873147523.295768,473520040.11827,7.59380703185261e-05,6.43630297747464e-05,4.40007382010085e-05,0.000221846078355215,-15,15,-15,15,70.1708330275219,54.1622326794926,131.111195386782,3343.33548236295,46.4878972182403,60634791.6507347,9.7770455660184,0.143173090996447,326.800000000001,45.2323459759989,146779400,6.58531281594249e-05,0.000366738425335004,55.4291,0.143173090996447,3.70073775245006e-06,0.00103288258012102,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.648,1,2,0.977,1,0.3,0.971,2,1.55,0.423,50,2,35,62,0.620145284984817,0.20380197492082,0.630200318797901,0.980748756092831,1475168609.57864,1387260916.92266,690988804.358239,379341553.520919,5.88044363134454e-05,6.48211689172364e-05,6.28240905678319e-05,0.000218955556361517,-9,-11,15,14,71.3542787592785,53.0576304234737,121.727891207551,3104.06122579255,46.4751292231503,59366384.2832069,10.1508571066684,0.143681678012936,320.900000000001,44.7037993868117,136201800,6.58178705698165e-05,0.000377883154714659,55.5224,0.143681678012936,6.46612662253965e-06,0.00166186575698346,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.634,1,2,1,1,0.3,1,1,1.97,0.302,50,2,41,58,0.616814708923001,0.206000103721676,0.717730003357086,0.961845205375688,1524871490.46473,1344879258.59494,791831391.48196,484898021.517962,5.94536826596136e-05,6.43318225341394e-05,4.93591138244839e-05,0.000221677461824845,-15,11,-15,15,65.5582845302698,52.1959034666359,131.010121176374,3340.75808999753,46.1018793982698,58430552.6793414,8.75122848518995,0.145406071574602,318.600000000001,45.1717879512292,146658900,6.58498293122932e-05,0.000369934034142358,55.21003,0.145406071574602,4.51111745785049e-06,0.00121399325303684,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.969,3,1.7,1,1,0.3,0.991,2,0.651,0.318,50,2,52,62,0.549149134910558,0.205731526191718,0.792344619313982,0.965393913668794,545871680.852467,1341496458.44335,918502956.352266,467864168.752529,7.51658733363331e-05,6.40662838210686e-05,3.98039908941239e-05,0.000220885083072723,-12,15,0,15,69.3787794610119,54.6505759117342,131.469169323366,3352.46381774584,46.1212070324547,60757798.9720948,10.3834370032278,0.144721271228716,317.400000000001,45.1382977839191,146160900,6.53970816446918e-05,0.000361193369931851,55.53271,0.144721271228716,3.03488677478703e-06,0.000924152617655882,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,6,1.72,0.989,1,0.3,0.982,2,0.986,0.326,47,1.94,30,42,0.464055767974708,0.20598828541724,0.709815959041948,0.970256621941155,505595948.280702,1373200033.0532,808448476.782977,502889483.726095,0.000106094074034655,6.50100049320509e-05,5.01513307380024e-05,0.000222404126081018,-9,11,15,7,76.6240418197397,55.2242624114865,133.356227694879,3400.58380621943,46.5858822549838,62395822.851851,11.6117280367739,0.146347986631876,343.200000000001,44.9362720166914,150674200,6.64624996409856e-05,0.000378504196739566,55.27224,0.146347986631876,4.98432715512198e-06,0.00128258484451316,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.818,1,2,1,1,0.3,1,1,1.66,0.241,50,2,37,43,0.6586556925128,0.205221735244255,0.747804838866186,0.946158261897331,1033333452.65723,1337649143.89914,837487009.83426,549370418.925518,5.2413907828086e-05,6.38689726919024e-05,4.47114088541375e-05,0.000221156866029797,-15,11,-15,15,63.6091212891626,56.1976871798277,135.086895875157,3444.71584481651,45.7914748763229,62239547.1007166,8.1674965564731,0.149340837311777,335.500000000001,45.2004732138861,149610200,6.51476958070989e-05,0.000363353799836398,55.29963,0.149340837311777,4.06338299723974e-06,0.00108439218128786,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.818,1,2,1,1,0.3,1,1,1.66,0.241,50,1.91,39,62,0.6586556925128,0.205221735244255,0.747819974664113,0.947784427854769,1033333452.65723,1337649143.89914,837509614.146713,572300156.804618,5.2413907828086e-05,6.38689726919024e-05,4.47128977068693e-05,0.000220628762636195,-15,-6,-15,15,63.4710787403949,57.2045809767812,137.287737842305,3500.83731497878,45.7441279808786,63354294.4118798,8.03361686913186,0.150088207633118,319.700000000001,45.1799250649782,152046700,6.51472860575878e-05,0.000363121449100569,55.48541,0.150088207633118,4.06466800098648e-06,0.00108736944928722,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,0.816,5,2,1,1,0.3,1,2,0.965,0.331,50,2,34,15,0.474260199708101,0.217388509273495,0.738859034004773,0.960926998533997,561863645.230516,1432376627.35557,824132952.625241,501256702.217852,0.000113333011895366,6.89436813030085e-05,5.16090152081932e-05,0.000246004215126896,-3,15,-12,15,74.7306873845166,53.6448027192917,128.112997864666,3266.88144554898,46.7276396944877,67211918.7692367,11.7234807118023,0.139580046943183,371.100000000001,45.266992002219,160513600,7.37003787903115e-05,0.000376563945008599,53.51365,0.139580046943183,4.1702226234025e-06,0.00111707114724047,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,0.948,5,2,1,1,0.3,0.979,2,0.965,0.331,50,2,35,26,0.488313666169477,0.216791695376711,0.731194477225751,0.960707488643115,447709589.78574,1426893734.61619,847225621.507298,499818562.977596,0.000107050533669276,6.85911414262532e-05,5.18293329828879e-05,0.000245207651005485,2,15,5,15,76.0204836184177,54.6886891072217,129.076650600375,3291.45459030956,46.8169324605766,67990337.4894841,12.1621930588196,0.141804025562003,350.200000000001,45.3002736682779,160471300,7.31308737202908e-05,0.000374121553934772,53.52741,0.141804025562003,4.31213076085846e-06,0.00114421012709021,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,1,2,2,1,1,0.3,1,2,1.24,0.306,50,2,79,39,0.599530464104104,0.215711564816397,0.684935505953317,0.955614302512066,600260370.100022,1417628161.62315,741210609.981848,524903789.384626,7.02444841929369e-05,6.80352899944502e-05,5.77124997712576e-05,0.000244313876699959,3,3,-15,15,72.0296032228102,59.9974094809142,130.361473528192,3324.2175749689,47.2960169902368,73720500.3415608,10.0129915609672,0.141499102082739,333.000000000001,45.4571064919454,160178800,7.22781209657278e-05,0.000375075929821585,52.71666,0.141499102082739,5.09025372042338e-06,0.00129599371465394,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,1,2,2,1,1,0.3,1,2,1.24,0.306,50,2,78,31,0.599530464104104,0.215711564816397,0.684935505953317,0.955614302512066,600260370.100022,1417628161.62315,741210609.981848,524903789.384626,7.02444841929369e-05,6.80352899944502e-05,5.77124997712576e-05,0.000244313876699959,-3,3,-15,15,72.0296032228102,59.9974104257473,130.361473528192,3324.2175749689,47.2960169902368,73720501.5025039,10.0129915609672,0.141499320630798,329.800000000001,45.4571064919454,160178800,7.22781209657278e-05,0.000375075929821585,52.71666,0.141499320630798,5.09025372042338e-06,0.00129599371465394,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,1,5,2,1,1,0.3,0.979,2,0.965,0.331,50,2,37,54,0.493441395919464,0.216603282020663,0.730243240835037,0.9606588311847,412776906.174721,1425158712.2848,845732349.325014,499314147.217036,0.000104836053399047,6.84795695111568e-05,5.17163602582836e-05,0.000244927899744236,3,15,5,15,76.3942129951702,55.0276462628111,129.212606192936,3294.92145791988,46.8622508128315,68243722.1669724,12.3320290301313,0.141989525156195,328.300000000001,45.329714116776,160245800,7.29512685111916e-05,0.000373609247451217,53.45412,0.141989525156195,4.41075154274995e-06,0.00114293274353783,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
10,1,2,2,1,1,0.3,1,2,1.63,0.29,50,2,80,44,0.599530464104104,0.215711564816397,0.639964488262731,0.951735118931153,600260370.100022,1417628161.62315,668370245.241839,544738351.167307,7.02444841929369e-05,6.80352899944502e-05,6.61024073529831e-05,0.0002452254301556,8,3,-15,-15,76.695885326997,60.3722935593456,130.253819980296,3321.47240949754,47.4910344922515,74194422.6083574,9.93076029314977,0.1410060376433,319.800000000001,45.3759106522137,160075200,7.22910716685205e-05,0.000384087367715634,51.77622,0.1410060376433,6.08711317118038e-06,0.00148141399558621,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
