RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,av0,av10,av14,av2,av4,av6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2.81,0.1,1.6,3,10,0.8,21,10,1.6,12,10,0.8,1,5,0.8,8,9,1.2,29,1,10,9.31,12,52,84.2081391388324,322.800879780276,109.385149986699,4.39821664897769,55.2493039999986,305.505085673689,1249705476.3718,969827250.881521,652410953.379725,2949521407.62252,4708940079.01753,283101530.395079,0.00148215179824199,0.00369699144713025,0.00310859403299016,0.00030909842021165,0.00696558816188823,7.06005091942203e-05,72.6759129194512,1.23053432972617,0.735951955442371,499001.822323769,28.6743620769433,364600191.693818,28.8470102436977,0.0706748285107551,-46.6994844885847,23.1918250640652,218058300,0.00925919392510344,0.00158126882405008,37.76136,1.66232338283003e-09,0.000200578546057559,0.0234435534734832,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
0.1,0.1,0.8,18,10,0.4,9,9,0.4,5,9,0.4,8,9,0.4,2,9,0.4,50,1,2,100,9,59,47.604165036411,37.8589159595125,23.0884034768971,5.67299912681492,30.8193681609307,22.6545113392805,5359640952.04798,9509434927.11268,7622208786.55439,9326142485.82254,19842347300.5885,7703947294.76897,0.0200433065178453,0.0079241795768674,0.00377909254543041,0.00757198596851247,0.00376736228463359,0.000170886608634623,33.7225290999996,0.863554952760482,0.717004290261016,12283118.4104287,21.4033584941059,1107059383.40579,16.4742222881689,0.107555703582199,-147.999849202365,15.6669642624885,919184500,0.0400618462332257,0.000525188120266619,73.67177,1.68745416486981e-10,0.000245647577213705,0.036854071205622,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,1
27.7,13.5,1.2,2,5,1.06,2,8,0.4,28,6,0.8,1,2,0.4,50,5,0.8,1,1,3,4.2,19,37,137.565503956609,662.450714501302,42.4771572168718,36.5467441214572,69.6538271966283,195.969406981718,561734322.551113,355117400.329027,4234140612.78526,1116363679.06164,6833964279.9159,660246739.984451,0.000135867247812138,0.000117411343795337,0.00737605313631225,4.46500734156504e-05,0.0149843046122532,3.39010425757282e-05,72.0034116661955,1.28538904605552,1.18839689746473,2874.41826000872,38.6360600528131,133105498.261085,20.153411621857,0.0364730321938341,270,37.2500932874746,123061700,0.00323602168030241,0.00077262213086051,62.36216,5.06408570971897e-09,5.30697013077908e-05,0.0103226866286139,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
3.03,8.83,3.48,4,8,1.2,3,7,0.8,2,7,0.8,1,2,0.4,1,3,1.2,10,1,6,7.24,17,19,232.615473663025,71.9287237231942,128.086858971611,142.902297740287,66.0826079086572,276.309550494436,115541961.940881,716145812.528084,936399402.862366,1987426927.19079,11427505497.445,311921173.172504,0.000285531195863997,0.000450826320211454,0.000251179050868826,7.84520425557006e-05,0.000326412496697767,4.8236683391369e-05,34.0408524837978,0.282778516161629,9.17949808636441,7654.18439856984,33.4560510198629,5867485.23349524,16.7886866669195,0.0870756200021052,176,31.9381847132525,190469100,0.000648418826280009,0.000551711989384617,59.08005,1.51315489000883e-09,0.000102770543325035,0.0152056557502929,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
3.5,58.4,2,1,2,0.8,1,3,0.4,50,10,0.8,1,2,0.4,50,10,0.8,19,1,8,8.47,5,27,183.032193011092,0.299244565933218,46.5838273426818,671.828004777327,69.6885375622528,217.184496191018,225535961.054324,538020576.46598,3893297654.23666,9861656.28369685,7423450326.36314,581531027.412073,1.85922296207173e-05,3.89206904204262e-05,0.0198218060136149,1.98500193805841e-07,0.0329175139554444,7.71329614043877e-05,0.284117123486543,4.0849252050794,0.563821935658978,196054543349914,1.49637877428438,849532128.853076,28.967222856187,0.475735812614294,-270.425669181782,25.5917420633089,117256700,0.006498987788968,0.000548399781728284,59.2721,5.57999985512991e-05,0.000557258203448421,0.5061553920712,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
44.1,0.1,0.8,7,10,0.4,7,9,0.4,4,10,0.4,2,9,0.4,15,10,0.4,9,1,2,58.7,9,60,64.9653220722319,66.7183829072695,15.3891481284413,2.35099320381167,12.0953057134145,27.2925604576117,3870429593.56582,6524897631.05699,11257686063.114,6935528755.65839,13414660975.8847,6417635005.26376,0.00547679302145619,0.00409020260099029,0.00503859875390742,0.00140896203805459,0.0228365662567098,0.000140844940526266,36.0853270345358,5.35712662069352,0.988417034121649,51347630.4289087,20.4710286624728,3784276451.28216,19.8141363677552,0.107586130443277,-150.175658290552,22.1243620716631,698218200,0.0220750128708472,0.00139072006829181,54.09699,2.37346781536934e-10,0.000935529962097744,0.0504730710918921,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,1
2.81,2.75,2.8,1,2,0.8,12,10,0.4,43,10,0.8,1,4,0.8,7,9,1.2,29,2,5,20,8,54,115.647646490894,0.83116638997961,47.0454739782773,248.728801186349,298.206725326641,225.347090619681,445873398.185461,632506669.684615,3857819052.73712,1106909067.45806,5426223707.6588,373280126.45366,6.20567281951261e-05,0.00164100011541978,0.0168560378516349,8.28422543947585e-05,0.00670918651760922,0.000101922074846304,6.5602053425606,5.68359353452499,1.21307264660916,419739735.515956,22.3375985035431,1402975466.30643,26.5141471671257,0.211837697461746,-188.45351669048,21.5365212431709,299442800,0.00771395474636805,0.000779119095786902,19.43843,3.80880598046217e-08,0.000652324274565774,0.0738093658229999,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
10.1,49,1.6,1,2,0.8,1,5,0.4,1,4,1.2,1,3,1.2,1,2,0.8,1,2,9,30,10,15,97.9117345447188,6.28222651507905,48.7193763888798,338.581427010563,522.968799090673,182.737798832966,907477569.416869,1140089221.85488,3724882956.1074,600480625.09842,1703833491.80411,687910281.529355,7.10219476381734e-05,0.000116413596272626,0.00015014373533016,5.13686794405216e-05,9.69244662432319e-05,0.000217106993747949,21.4624238284006,5.07599360691254,26.4215757263218,2756.78452269362,40.9292226957329,34669965.7493936,18.0194339533738,0.147919855742374,-38.5396308,37.8594020724451,180464200,0.00021344322187347,0.000761732785234315,30.53554,2.92222239222913e-09,0.000124131077967166,0.00811829501632699,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
3.5,58.4,2,1,2,0.8,1,3,1.2,25,10,0.8,1,2,0.4,50,10,1.2,15,3,9,8.47,2,11,212.04552165963,0.312472777733515,154.84563357496,679.503694476838,68.5879207236423,433.306837207871,128599405.847396,548812159.905028,537687400.929444,16288188.8093652,4115006105.85879,180089566.800354,9.28237350942778e-06,3.96152199855554e-05,0.00392328667674756,3.33130098762649e-07,0.0168735414089215,0.00010457060756808,0.267673090897512,8.2011425132872,0.424524292997725,413321931813882,1.58590092220685,619850927.28561,36.1040163970714,0.76298585242626,-391.012488604047,21.4942813922395,32085990,0.00236190767887427,0.000655193947972961,68.74049,0.0172989999985514,0.00108405974330589,0.464758715457761,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
11.6,58.4,2.4,1,2,0.8,1,3,0.4,42,10,0.8,1,2,0.4,36,10,1.2,19,1,2,8.47,6,53,232.013100835258,0.307166750983169,63.4403297121047,677.535232779958,71.2683608414079,168.454894538686,104556936.138884,544516489.692118,2771807349.95895,13418018.5544293,4859170739.35031,511458626.129883,9.31731704803807e-06,3.93395616731689e-05,0.0109459304499619,2.72532768348524e-07,0.0145319778956154,2.95616541202188e-05,0.182527552114367,12.9519704784949,0.745665208880259,401829369801027,1.5418491338168,909264323.426303,26.7656496278346,0.468763920508193,-319.305733857709,25.2912567238123,52347770,0.00219383684932348,0.000608461194973225,57.73529,3.06999985514063e-05,0.000931194908319705,0.473973865837854,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
