MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS11,VDS12,VDS17,VDS18,VDS22,VDS24,VDS25,VDS9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset17,gmid_offset18,gmid_offset22,gmid_offset24,gmid_offset25,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,19,1.01,0.5,14,0.973,0.5,200,1,0.5,13,0.98,2.54,1,0.99,1.3,9,0.91,0.5,1,0.942,0.5,16,0.962,0.5,9,0.99,3.85,0.5,5,100,28,0.552228712701229,0.359202978458787,0.359202978458787,0.367060186097478,0.552228712701229,0.410318260178859,0.526273829568392,0.526273829568392,0.552228712701229,119219753.529332,401263276.235459,396587747.671722,224032941.384573,96876788.6381613,207317149.45905,2578280710.85329,2385915339.41493,96876788.6381613,9.55251313322065e-05,7.97614239645824e-05,0.00115841722814241,0.000125127034957154,4.07215788983223e-05,7.33863888985892e-05,5.02163281368686e-05,0.000773318365556154,4.07215788983223e-05,-4.69229894374019,1.5226524505906,1.52840909517558,7.70221697388041,-4.1954503647013,6.66879706037049,-3.83135677055434,0.971781235912328,-5.44601303254798,80.016553697997,751.247052116974,983.053492473279,23.8881998671007,80.9215114121216,1770693.06034694,70.8610203144155,0.000486219697207017,332.4,106.056747157289,2317062,0.000145494135989153,0.000111366706969715,51.58133,6.51385992375701e-07,3.72605462552189e-07,8.70666803620135e-05,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,46,1,0.5,15,0.99,0.5,200,1,0.5,56,0.99,0.5,31,1,1,2,0.921,0.5,2,0.55,0.5,19,0.99,0.5,18,0.96,3.85,0.5,5,100,29,0.224374968130379,0.356722389123007,0.356722389123007,0.211022473240239,0.224374968130379,0.533625233721786,0.502684127768196,0.502684127768196,0.224374968130379,86186387.8855686,388442646.411595,389359066.165738,63360728.5868294,79893547.3108107,684476170.56817,2313149985.09846,2115679239.07964,79893547.3108107,0.000247811031954976,8.37125017440161e-05,0.001129011244898,0.000145328544488403,0.000115245580960766,5.07685672847883e-05,5.21901725591217e-05,0.000814549470763385,0.000115245580960766,6.63316960035741,1.69580666413029,1.69911879517604,8.64928750769928,7.80664562537308,-0.359737208917913,-1.11650575876804,0.513628782458424,6.49914383246536,85.532003153739,751.05072966985,1088.13717749228,26.4417334130623,79.0732185181612,1774259.97177697,73.225910714719,0.00305860773299605,318.3,104.999955492332,2570583,0.000145825329972323,0.000125401264431219,45.65212,8.95644708527475e-07,2.84660520130459e-06,0.00064637341444429,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,45,1,0.5,14,0.99,0.5,240,1,0.5,49,0.99,1,8,0.99,1,5,0.88,0.5,1,0.913,0.5,18,0.99,0.5,17,0.99,3.85,0.5,5,100,37,0.319562788776451,0.360091294039435,0.360091294039435,0.241248430171945,0.319562788776451,0.445166173321254,0.53193471751497,0.53193471751497,0.319562788776451,129688521.872524,401765840.031311,399217220.986449,74742641.0123162,111102930.347371,428375860.635835,2639149163.66499,2448912509.87538,111102930.347371,0.000216350776437627,8.14790402002542e-05,0.00140295318260626,0.000148529167218048,9.48607773153671e-05,6.76776045430209e-05,5.0197060069269e-05,0.000923853955436678,9.48607773153665e-05,4.02188907619143,1.50186045889119,1.5234944871359,8.66115428389829,4.61979073564755,0.444413966710329,0.363172050295045,-1.15074083852527,3.31228894273979,88.4831317646601,739.325355292707,1043.45717070331,25.3560092480905,82.1479796582479,1993837.20574946,72.830635724261,0.00284822503749614,298.8,104.932680634559,2814030,0.000166471188691409,0.000122364184890026,48.45134,5.63028509984544e-07,2.70393948570286e-06,0.000592699519566975,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,46,1,0.5,15,0.99,0.5,255,1,0.5,52,0.99,0.5,32,0.97,1.5,3,0.92,0.5,2,0.55,0.5,22,0.97,0.5,18,0.96,3.85,0.5,5,100,45,0.223484475216747,0.356500196514964,0.356500196514964,0.213419045539589,0.223484475216747,0.529396001939977,0.513704133085637,0.513704133085637,0.223484475216747,85688641.4684162,387959016.899493,388708529.985713,67203838.8968089,79893504.6453295,308748355.479471,2301329511.06813,2242131051.62171,79893504.6453295,0.000246582173861568,8.35465326310584e-05,0.00143614344378725,0.000143672957392571,0.000115296219840801,5.04271877324568e-05,5.3369721116008e-05,0.000993184375858854,0.000115296219840801,6.63001321125845,1.70649967816815,1.71071174875802,8.59357645282781,7.81321138852593,1.80228612806882,-0.0313982248104789,0.60084559962535,6.50570959561821,84.8151821328432,656.216983059577,979.418699599054,23.799874400257,78.5456662686464,1781105.31834926,73.3599004906632,0.00310353316572952,251.9,105.61348092636,2658340,0.00016754332115118,0.000127496398206558,49.81629,5.39192139699249e-07,2.89217318247492e-06,0.000659782028364586,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,46,0.99,0.5,15,0.99,0.5,292,1,0.5,47,1,0.5,32,0.97,1,4,0.93,0.5,2,0.56,0.5,29,0.98,0.5,18,0.96,3.85,0.5,5,100,61,0.223468068619132,0.355875762554311,0.355875762554311,0.216797115275922,0.223468068619132,0.461753098797234,0.498019425991863,0.498019425991863,0.223468068619132,85070140.1862293,388747126.18126,386878128.165687,72182031.8616264,79871587.7101918,473501021.934625,2285834796.29791,2063410863.83569,79871587.7101918,0.00024489332795829,8.34540104706564e-05,0.00163377203013583,0.000141567241724058,0.000115261862334099,6.48647784867932e-05,5.20470568676307e-05,0.00119334735231696,0.000115261862334099,6.6181049096925,1.72478900742896,1.7433072007281,8.52267466334755,7.81352636993069,0.576169634447421,0.384793713158134,1.22082633481418,6.50602457702297,84.3438565128585,588.3165725013,909.561006305416,22.1023324532216,77.9705573477627,1723170.06420645,73.385046160645,0.0031268167491616,220.9,104.924259484262,2664090,0.000180801506287067,0.000130845912721347,54.83703,5.4833609995107e-07,2.89639851374729e-06,0.000669181502737315,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,34,0.98,0.5,16,0.94,0.5,545,1,0.5,42,0.98,1,5,0.99,0.5,32,0.98,2,1,0.639,0.5,19,0.95,0.5,14,1,3.85,0.5,5,10,3,0.348075180738912,0.348046509546386,0.348046509546386,0.254661149467829,0.348075180738912,0.284451570985781,0.610093350811525,0.610093350811525,0.348075180738912,179209080.345184,374333977.956912,363849708.425974,86422853.1368679,150229545.856904,244972402.800004,244027358.39639,3328469010.62538,150229545.856904,0.000203234906692851,7.94180001113186e-05,0.00280237847635387,0.000146317521006267,8.76096537220778e-05,9.87127579879063e-05,1.290278001624e-05,0.00135339147737617,8.76096537220778e-05,3.14316561119686,3.10242341983665,3.95393793125158,8.56750647793381,3.58008985325928,6.86646456351293,0.859095953414821,1.80510082614351,2.27258806035156,87.2229098058039,542.477784886815,1132.61190398451,27.5224692668236,81.6704149992328,2240551.47684676,73.3813532172854,0.00186980671822434,449.600000000001,100.13684868903,4677934,0.00025495172442461,0.000266934645304063,48.15793,1.37542538479281e-06,1.14146503864793e-06,0.000297235541977581,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,32,0.97,0.5,14,1,0.5,565,1,0.5,49,0.99,1,7,0.95,0.5,33,0.98,2,1,0.72,0.5,38,0.98,0.5,16,0.97,3.85,0.5,5,10,4,0.328535243507086,0.355117049116002,0.355117049116002,0.243125474107918,0.328535243507086,0.283642880433204,0.537135264308959,0.537135264308959,0.328535243507086,145835729.393408,392665474.560534,384631524.906112,74065179.3288237,123928363.2723,242063304.424162,189281984.510359,2508726176.20003,123928363.2723,0.00021034341065075,7.90345914948101e-05,0.00313589191343252,0.00014679356457255,9.16422048238685e-05,0.000100402773477622,1.07292859202386e-05,0.00198871974832049,9.16422048238684e-05,3.72086344158275,1.73773745351037,1.78304198224552,8.68622576782015,4.25872764039778,6.88363513961836,1.57770296004747,1.88217530326218,2.95122584749005,89.1572155501364,543.274348135445,1011.76946930178,24.5859981040334,81.8205354920333,2494519.06481546,73.7228933235803,0.00186713559602277,446.700000000001,102.409307657275,4645679,0.000283434435751331,0.000274330824532117,47.47704,1.83556761595213e-06,1.22006905763528e-06,0.000305266591480002,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,37,0.99,0.5,14,0.99,0.5,565,1,0.5,49,0.99,1,7,0.95,0.5,33,0.98,2,1,0.656,0.5,26,0.97,0.5,16,0.98,3.85,0.5,5,10,5,0.328828797970046,0.355144277342,0.355144277342,0.243457032276423,0.328828797970046,0.283233615215063,0.583769941551326,0.583769941551326,0.328828797970046,146323757.14183,393200262.567325,384718013.933735,74502292.0225008,124309714.566369,240601778.085332,224337488.786603,3036076145.32576,124309714.566369,0.000211233733168936,7.83792118747086e-05,0.00313683846861253,0.000147710403115978,9.20099054312183e-05,9.97034689484163e-05,1.20010173199186e-05,0.00169548729508495,9.20099054312183e-05,3.71199291346414,1.72556893810433,1.7815836856676,8.68096160250145,4.24782385731151,6.89229548922297,0.13220569785268,0.546300031715997,2.94032206440379,100.477055392934,542.744009255971,1016.24077780431,24.6946509006448,82.1201283710784,2499507.18165737,73.8334409329539,0.00190809876765165,445.100000000001,100.937782333472,4680109,0.000284278709921617,0.000282303447179591,48.10924,1.58552664136878e-06,1.76657955873211e-06,0.000415735522247274,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,37,0.98,0.5,14,0.99,0.5,565,1,0.5,48,1,1,7,0.95,0.5,33,0.98,1.5,2,0.51,0.5,26,0.97,0.5,16,0.98,3.85,0.5,5,100,62,0.328809193464885,0.355124854968629,0.355124854968629,0.24406745855904,0.328809193464885,0.283218597842607,0.583733743587189,0.583733743587189,0.328809193464885,146262028.851949,393143048.631486,384660705.087138,75140763.6025012,124284251.771388,240548286.186415,398240828.316648,3035676026.35844,124284251.771388,0.000211142729307044,7.83632947586384e-05,0.00313619212389013,0.000147527739311953,9.19853333054586e-05,9.96778924503611e-05,2.51917468417974e-05,0.00169522040598934,9.19853333054587e-05,3.71235124250504,1.7265768275172,1.78259982572553,8.66955055712064,4.24855367569026,6.89261289429139,-1.60808172258687,0.547223753607653,2.94105188278255,99.4076174826503,500.238273664226,959.209497785967,23.308790796199,82.1093693951344,2320161.61858667,73.8128037673682,0.00187916898024287,202.6,100.958653090429,4448922,0.000286303268940414,0.000205231705788954,53.29605,6.69433280929445e-07,1.73281346144943e-06,0.000410686274332717,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,33,1,0.5,15,0.97,0.5,593,1,0.5,50,0.99,1,6,0.93,0.5,33,0.98,1,3,0.87,0.5,27,0.98,0.5,16,1,3.85,0.5,5,10,62,0.33898723545726,0.351361247885128,0.351361247885128,0.245257028978619,0.33898723545726,0.283183131059614,0.576982966932578,0.576982966932578,0.33898723545726,165114480.865651,382842522.43405,373600774.204138,73169063.7332968,139040899.90443,240421991.807937,235747169.292973,2959904473.50633,139040899.90443,0.000206319211349236,7.92711412911659e-05,0.0031616834460027,0.000147515268188991,8.92498538230795e-05,9.96175114027142e-05,3.05229297603574e-05,0.00172537436795221,8.92498538230795e-05,3.369975253104,1.90022044374381,1.9792753677227,8.71662723542712,3.84493121130208,6.89336241052172,-1.75552112606252,0.484968103802386,2.53742941839436,89.0426606442869,442.66900049963,994.446461031582,24.1650490030675,81.9150499876673,2055790.28711884,73.8201530748887,0.00185321152341559,197,101.343129422424,4618289,0.000286671609857718,0.000231625450203937,47.44535,1.37618739884642e-06,1.22752943825688e-06,0.000306503072373621,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
