MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,4,1.7,1,18,1.06,1,5,1.54,0.25,1,1,0.959,3.9,5,100,26,0.4648138225285,0.679939267781713,0.506097511287698,0.799886482268913,361870287.430739,235958950.013117,1485370235.98528,1535091273.03376,5.89896449191586e-05,8.35466796666887e-05,4.47692674455663e-05,0.00036552196296712,7,8,-4,8,77.2544373030971,256.599018559774,395.340921136819,1008.11934889889,86.0549073547139,24717189.7941352,18.6098898438438,0.000218457079727707,359.850000000002,66.9445310614501,38081660,5.66624279777902e-05,0.000269184670084002,48.50573,3.6981298085535e-08,3.80784315472393e-07,2.64817274744367e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.972,4,1.6,1,18,1.05,1,5,1.54,0.25,1,1,0.959,3.53,5,76,55,0.466970568326139,0.680377360454713,0.506124804755725,0.799887684116388,387132599.212855,236921299.222847,1485552780.93193,1535711562.47039,5.82397735033341e-05,8.33346698598603e-05,4.47759302972984e-05,0.000365703744645353,11,-7,-15,15,77.219113732927,258.703916128647,394.015603283816,1004.73978837373,85.5769666182001,24935384.4871412,18.5347997021818,0.000245151568875981,323.300000000001,66.8656504355935,37977510,5.6697530703154e-05,0.000272563638142222,47.31289,3.6859168074124e-08,3.79630826143895e-07,2.79580681330494e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,3,1.33,0.68,11,1.03,0.947,4,1,0.25,1,1,0.495,5.26,5,29,14,0.51259621209708,0.615890872340708,0.574683272454631,0.799890580967637,449646327.144674,530136333.99291,2046167368.28399,2253038953.30643,4.76790544788388e-05,7.95513829628149e-05,3.45112821149136e-05,0.000283251779458815,9,8,5,-1,75.0784524629007,257.42811810177,368.11355864378,938.689574541638,79.0538794718284,24673328.0327208,17.9645985204234,0.000423175161222367,401.100000000002,65.6095641410225,35282030,5.63797089424822e-05,0.000266744842799818,50.89691,3.9376808857416e-08,5.5456546523891e-07,0.000125587584227316,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,3,1.76,1,13,0.919,1,5,1.51,0.25,0.905,1,0.864,7.02,5,47,44,0.487439801340261,0.707750714246837,0.506782128849655,0.79990303969268,402623320.943446,287273084.108393,1797169426.57492,1547014277.40841,5.352980663716e-05,7.22953768179571e-05,4.45713774230826e-05,0.000361951769880714,6,13,15,9,76.0979549354342,255.567013468732,368.551832337098,939.807172459599,80.8858506267412,24546273.0811832,18.5913377678961,0.000322545880947494,336.700000000001,65.5455355468077,35398050,5.64978397228423e-05,0.000272514877444197,61.15995,2.7139298997506e-08,3.03054972054517e-07,4.60024643871293e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,6,2,1,18,1.89,0.949,4,2,0.25,1,1,1.05,7.46,5,42,34,0.42272541976464,0.661912063871955,0.497873788045714,0.799910753978901,284732729.235282,182920452.346654,1426043651.99617,1634424377.32962,7.19483395269047e-05,9.71399119412421e-05,4.65502056488211e-05,0.000379965085941754,-4,-10,2,-2,78.0945899876912,247.45938186549,452.253301759979,1153.24591948795,90.2873599258762,23979664.9844527,19.9820419377,0.000292001212180247,364.000000000001,67.6789629294468,43824900,5.70020226294736e-05,0.000251284549448139,55.29381,2.61080525996801e-08,2.57963227079383e-07,3.84948845851829e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.826,6,0.819,1,25,1.44,0.949,4,2,0.25,1,1,1.05,4.75,5,69,51,0.468150701614935,0.656604704903602,0.497792901908502,0.799914114929769,543059292.894539,177467288.734482,1425506530.94572,1635292479.83609,5.56272146999594e-05,9.81484150271381e-05,4.65288640948116e-05,0.00038021561985553,4,-2,-11,0,77.2949292591178,257.62492305068,444.993370173956,1134.73309394359,87.2720075139722,24974150.0221533,19.5384483519035,0.000235526098879962,335.400000000001,67.5145522107514,43137640,5.70235065367864e-05,0.000268839138812501,46.10004,3.4113406840947e-08,2.73955745228593e-07,4.2461696520113e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.897,6,0.473,1,19,1.44,0.949,4,2,0.25,1,1,1.05,4.42,5,65,56,0.522841799329193,0.671701186103422,0.496903885505511,0.799909042741622,594619818.014795,201401175.853623,1419604700.22036,1626118919.02957,4.34145310431654e-05,9.16985127326628e-05,4.6294418738132e-05,0.000377568391621606,10,-12,8,0,78.0988457761426,266.395283323675,433.459655316293,1105.32212105655,82.2804680031297,25573863.0568123,19.0080952754346,0.000267550341881416,329.800000000001,67.5710829233404,41611990,5.64704024382832e-05,0.000268260639868796,47.44663,3.52362202876651e-08,2.67046291275719e-07,3.73489189019471e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.897,6,0.473,1,19,1.44,0.949,4,2,0.25,1,1,1.05,4.59,5,67,55,0.522841799329193,0.671701186103422,0.496903885505511,0.799909042741622,594619818.014795,201401175.853624,1419604700.22036,1626118919.02957,4.34145310431654e-05,9.16985127326632e-05,4.6294418738132e-05,0.000377568391621607,-12,4,-3,-10,78.0988457761426,266.141317149343,434.086949046854,1106.92172006948,82.2804680031297,25549482.3842929,19.0304410353518,0.000266076816178643,322.700000000001,67.5710829233404,41672210,5.64704024382832e-05,0.000267516379965339,48.00179,3.5241424567266e-08,2.67046291275719e-07,3.73489189019471e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,7,2,1,18,2,0.933,5,1.95,0.25,0.942,1,1.25,7.91,5,100,57,0.412329568931328,0.680511475789389,0.476745346474455,0.799905186664446,266237288.490184,178398041.62126,1428841876.43561,1524019208.10758,7.55089872629662e-05,9.84818392319041e-05,5.09620120270975e-05,0.000414271263112915,11,14,15,-10,77.8714221041318,246.070983575359,471.447161269216,1202.1902612365,90.880731182833,23885595.7637823,20.2299715768461,0.000207134000226068,325.150000000001,67.1590397973075,45762390,5.70987698148522e-05,0.000253096270166996,57.96232,2.5681200268397e-08,3.49842100732523e-07,3.04897969959361e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.364,1,1.16,0.248,11,1.56,0.499,11,0.591,0.25,0.958,4,0.3,3.34,5,32,21,0.531967624640034,0.663302243670432,0.454980497005666,0.799881040268623,3372072336.7249,1380962743.23729,1421242257.49459,4469636596.84071,4.41751077612727e-05,0.000112679033161855,5.25455260389657e-05,0.000461484610926632,8,-5,-15,-14,66.6183134675777,273.196721466602,518.799748921649,1322.93935975021,70.2128133951545,27190643.5622087,17.4191503524139,0.000470429754310875,378.900000000001,58.5427858775175,51634950,5.85457106776416e-05,0.000261886796668611,53.04542,2.71704693115129e-08,1.70054956661503e-06,0.000150605307895124,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
