RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
46,5,0.557,37,1.54,0.266,7,0.564,1,50,1.66,0.15,32,0.3,0.617,1,0.62,0.356,50,11,1.29,9.92,17,62,0.955901052029994,0.955901052029994,0.277943136662194,0.78325701501183,0.277943136662194,0.387154284622096,11574513395.6948,11574513395.6948,58425796.0122002,18722910205.4316,58425796.0122002,1487563867.60966,0.000476618274272045,0.000476618274272045,4.96239763077227e-05,0.00110155662772497,4.96239763077227e-05,0.000169407503153725,15,8,-15,9,-15,-7,53.4816859363215,11.3513153707657,19.2237214829495,490.204897815212,58.7595727228839,108095683.087971,25.0038510633862,0.0135462883308027,-80.8768026,54.7328851670545,183062600,0.000560161477830666,0.000321858595610761,47.2322,5.75651661997309e-09,5.77197639016869e-06,0.000921688385129405,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
46,5,0.557,37,1.54,0.266,7,0.564,1,50,1.66,0.15,32,0.3,0.617,1,0.62,0.217,50,11,1.29,9.92,11,9,0.958729871137989,0.958729871137989,0.281110040324738,0.783921722489475,0.281110040324738,0.35438730172233,11556356686.8637,11556356686.8637,62019704.23602,19364354127.8395,62019704.23602,2539586572.76654,0.000475400464439916,0.000475400464439916,5.32894268207042e-05,0.00115104218474126,5.32894268207042e-05,0.000188814070915011,15,0,-15,9,-15,6,53.3302484324218,13.0064647112096,18.4201632152688,469.714161989353,59.191592857476,127720092.228668,22.9471581682787,0.0109442847693844,-81.0927612,54.5577840764357,180881200,0.000577631721493954,0.000326695612587949,47.93802,5.60292353627997e-09,5.75630710782538e-06,0.000944957231199695,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
46,5,0.557,37,1.54,0.266,7,0.564,1,50,1.66,0.15,32,0.3,0.617,1,0.62,0.217,50,11,1.29,9.92,14,24,0.958729871137989,0.958729871137989,0.281110040324738,0.783921722489475,0.281110040324738,0.35438730172233,11556356686.8637,11556356686.8637,62019704.23602,19364354127.8395,62019704.23602,2539586572.76654,0.000475400464439916,0.000475400464439916,5.32894268207042e-05,0.00115104218474126,5.32894268207042e-05,0.000188814070915011,8,12,-15,9,-15,6,53.3302484324218,13.0064653233443,18.4201632152688,469.714161989353,59.191592857476,127720098.239671,22.9471581682787,0.0112564016123286,-81.0927612,54.5577840764357,180881200,0.000577631721493954,0.000326695612587949,47.93802,5.602923536421e-09,5.75630710782538e-06,0.000944957231199695,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
46,5,0.557,37,1.54,0.266,7,0.564,1,50,1.66,0.15,32,0.3,0.617,1,0.495,0.217,50,11,1.29,9.92,15,57,0.958711222751105,0.958711222751105,0.273483450392931,0.784190624103737,0.273483450392931,0.35438730172233,11556477733.423,11556477733.423,53589420.5292583,19364194615.7401,53589420.5292583,2539586572.76654,0.000475408546415152,0.000475408546415152,4.48337238126479e-05,0.00115096924305779,4.48337238126479e-05,0.000188814070915011,8,12,-15,9,-15,6,53.0578901904439,12.9678307105105,15.1803847612538,387.099811411971,59.0258048814347,127179843.956321,22.9454776154257,0.0183321435909994,-84.2609691,54.4039801702991,148879100,0.000576901986041872,0.000300946432572603,53.13306,3.38427932724703e-09,5.93269439235433e-06,0.000971972985885805,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,8,1.05,1,50,0.823,0.15,31,0.327,0.279,1,1.38,0.217,47,3,2,3.26,100,14,0.561445000599936,0.561445000599936,0.449526193906805,0.841580075101842,0.449526193906805,0.344536421772262,19780129637.4512,19780129637.4512,341249825.730981,19629767683.7949,341249825.730981,2179704773.90564,0.00102906676000133,0.00102906676000133,0.000334083376077984,0.00121624751799669,0.000334083376077984,6.52885565579646e-05,15,0,15,15,-6,13,67.0447535402646,13.1578167942966,131.511560105443,3353.54478268878,60.7181654573926,157425892.538938,17.4917028902277,0.0106351325544205,371.700000000002,57.4431954081578,1573462000,0.000703790512112279,0.00149053375625393,46.69535,1.70529524867592e-09,3.31157175305463e-06,0.000522537821481484,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,9,1.05,1,50,0.797,0.15,31,0.305,0.269,1,1.38,0.217,48,5,1.95,5.42,85,13,0.528945959190025,0.528945959190025,0.454171001006975,0.868584489455268,0.454171001006975,0.345522604101189,18985977345.4731,18985977345.4731,349663677.560233,20272406072.8146,349663677.560233,2211963550.10545,0.00110489670628132,0.00110489670628132,0.000336056001445648,0.00118384123765182,0.000336056001445648,0.000108092306885172,7,0,12,-3,-11,13,65.7666724654007,16.1864331913817,125.545885680196,3201.42008484501,60.6166039088225,197205049.631086,18.5758733307481,0.0123196225466069,343.700000000001,57.592283983073,1529570000,0.000716667897118874,0.00122476690244885,45.22444,1.67199813473815e-09,3.48727639544466e-06,0.000508263955206756,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,10,1.05,0.998,50,0.797,0.15,31,0.305,0.269,1,1.38,0.217,47,5,1.97,4.03,88,26,0.673636774595625,0.673636774595625,0.437624898708478,0.668597539792138,0.437624898708478,0.330987003415911,17513441251.1036,17513441251.1036,322000849.47128,17924537422.7363,322000849.47128,1793307430.61568,0.0010531400075387,0.0010531400075387,0.000295324939760383,0.00104912051292129,0.000295324939760383,8.44792167895683e-05,1,0,12,-3,-11,15,75.6679212815366,24.9250269716749,160.888231139186,4102.64989404925,62.7096478541489,239961135.464416,18.5484506091479,0.0135015693355153,325.850000000001,57.748204595488,1548922000,0.000566312763701817,0.00571887384573229,46.17109,1.60517953442819e-09,3.14837740632068e-06,0.000526584186714807,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,8,1.05,1,49,0.823,0.15,31,0.327,0.318,1,1.38,0.217,47,3,2,3.26,100,37,0.561480291527317,0.561480291527317,0.444136019083495,0.84116450546326,0.444136019083495,0.344536421772262,19780088942.0513,19780088942.0513,331810222.38325,19629779611.099,331810222.38325,2179704773.90564,0.00102905162095205,0.00102905162095205,0.000313751376744264,0.00121633747886312,0.000313751376744264,6.52885565579646e-05,15,0,15,15,-6,15,67.3876801070244,13.40505546894,116.368688806884,2967.40156457555,61.1410184089257,159384990.995144,17.4697020581348,0.0128401489984013,310.650000000001,57.8722728809661,1383614000,0.000699406856414752,0.00177738988483148,46.06921,1.58076197889321e-09,3.21557043674148e-06,0.000500737299211185,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,9,1.05,1,50,0.797,0.15,31,0.305,0.269,1,1.38,0.217,48,5,1.95,5.42,100,45,0.528945959190025,0.528945959190025,0.454171001006975,0.868584489455268,0.454171001006975,0.345522604101189,18985977345.4731,18985977345.4731,349663677.560233,20272406072.8146,349663677.560233,2211963550.10545,0.00110489670628132,0.00110489670628132,0.000336056001445648,0.00118384123765182,0.000336056001445648,0.000108092306885172,7,0,12,-3,-11,13,65.7666724654007,16.1864362554037,125.545885680196,3201.42008484501,60.6166039088225,197205086.96115,18.5758733307481,0.0115835973923584,296.800000000001,57.592283983073,1529570000,0.000716667897118874,0.00122476690244885,45.22444,1.671998137192e-09,3.48727639544466e-06,0.000508263955206756,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,11,1.05,0.999,49,0.891,0.15,31,0.306,0.314,1,1.38,0.217,45,4,1.87,4.99,100,46,0.449622701458446,0.449622701458446,0.442587600822618,0.932273271395541,0.442587600822618,0.354360075148683,17617338866.4395,17617338866.4395,329042430.617446,20773524812.3393,329042430.617446,2488502160.23672,0.0012513602389438,0.0012513602389438,0.000333734143311779,0.00121359326285091,0.000333734143311779,9.61612015093342e-05,15,0,1,0,-10,10,60.4101979864905,24.3516339789089,107.531014758562,2742.04087634333,60.2373057867441,310880447.458075,17.9079971241901,0.0130452307353003,294.650000000001,58.5625891583371,1372774000,0.000750959264599297,0.00098777646899103,45.15062,1.65338607208125e-09,3.37395202617052e-06,0.000448925160912661,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
