MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_10_1_L_gm4_PMOS,MOSFET_10_1_M_gm4_PMOS,MOSFET_10_1_W_gm4_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_23_2_L_LOAD2_NMOS,MOSFET_23_2_M_LOAD2_NMOS,MOSFET_23_2_W_LOAD2_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS12,VDS18,VDS23,VDS25,VDS8,ft0,ft10,ft11,ft12,ft18,ft23,ft25,ft8,gm0,gm10,gm11,gm12,gm18,gm23,gm25,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset12,gmid_offset18,gmid_offset23,gmid_offset25,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,22,0.978,0.5,13,1,0.5,11,0.999,0.5,13,0.98,0.5,9,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.955,3.85,0.5,5,100,10,0.289823489091968,0.378334991643896,0.378334991643896,0.378334991643896,0.289823489091968,0.404460288501356,0.328691870316301,0.289823489091968,226461410.00483,453922483.620554,456060617.427038,452925229.003239,221873486.438034,315944514.942321,473176166.639877,221873486.438034,0.000210314498168165,9.10195908195431e-05,7.7237456522409e-05,8.91200603920777e-05,0.00010314288935377,7.94197581875465e-05,0.000115528669518512,0.00010314288935377,5.08037315370955,0.576953699534632,0.566210444782872,0.567087484208901,6.31362148651366,2.24172319122563,5.73470808101904,5.00611969360594,95.5565477497193,644.293642367529,1999.56484336418,48.5894256937497,76.1360601963074,750142.920534484,70.1221256095393,0.00226320808379193,416.400000000001,107.628550888511,2328068,7.18695878813239e-05,0.000199235549129156,60.64653,1.63408259830672e-06,1.99436752824106e-06,0.00044358889805618,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.97,0.5,13,1,0.5,11,0.883,0.5,13,0.98,0.5,23,0.99,1,8,0.989,0.5,18,0.955,0.5,25,0.955,3.85,0.5,5,100,11,0.238937763063398,0.385922611136977,0.385922611136977,0.385922611136977,0.238937763063398,0.402409878613283,0.33449441849377,0.238937763063398,104221721.923156,457426342.014897,483783592.576273,474568807.264835,102145455.240991,309093742.412094,508408752.861199,102145455.240991,0.000225846338137418,9.45279180094927e-05,7.42031462831411e-05,9.53854342210156e-05,0.00011076160465759,8.01068608802399e-05,0.000126070929822802,0.00011076160465759,6.25233763152737,0.271930436248672,0.0754921584972514,0.188812181838111,7.51770483356765,2.38027613922179,5.56527630791252,6.21020304065993,89.6873970652106,660.22469254363,2144.56782031453,52.112998033643,75.8840072975355,782526.696171735,70.4856403815699,0.00248537710254995,415.400000000001,107.55242904137,2541834,7.3163148232972e-05,0.000220867636848683,58.90949,1.51622034864218e-06,2.32745141743762e-06,0.000537955968133386,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.97,0.5,13,1,0.5,11,0.999,0.5,13,0.98,0.5,2,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.947,3.85,0.5,5,100,12,0.37897505755969,0.378314212318775,0.378314212318775,0.378314212318775,0.37897505755969,0.404440335953992,0.328675963875029,0.37897505755969,658035654.088666,450728774.533129,456001589.363887,452866095.682199,643507147.997377,315893185.591525,473081111.260653,643507147.997377,0.000171442806414305,9.0496527333266e-05,7.72228768869484e-05,8.91031615650725e-05,8.39703909460817e-05,7.94032750741318e-05,0.000115500621532624,8.39703909460817e-05,2.00510140609565,0.506999069663157,0.567254119266853,0.568132174316041,3.19488103931435,2.24254469997921,10.0901843962106,1.88737924640663,95.7745448393474,637.410030557637,1917.39078766984,46.5925961403772,76.2689526774234,737120.338083996,69.9454751931817,0.00239727210792883,413.800000000001,107.759895057216,2217329,7.13845927361342e-05,0.000207719807794827,61.83176,1.64245072395326e-06,2.05287767132051e-06,0.000431211226010975,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.97,0.5,13,1,0.5,11,0.903,0.5,13,0.98,0.5,28,0.99,1,8,0.96,0.5,18,0.955,0.5,22,0.955,3.85,0.5,5,100,13,0.228694917594948,0.384548616974996,0.384548616974996,0.384548616974996,0.228694917594948,0.403982238246868,0.333452139337827,0.228694917594948,88069732.0325539,458340344.781629,478655559.214658,470665042.365691,86320256.3549482,314400994.361326,501947090.210989,86320256.3549482,0.000228528378669703,9.41086433721655e-05,7.47532913746179e-05,9.42407850170425e-05,0.000112076423562093,7.94963941966477e-05,0.000124122245600714,0.000112076423562093,6.44997526116489,0.322186948589511,0.163823014816522,0.859557829809555,7.72095163968347,2.27225456147249,5.65336528347455,6.41344984677575,90.4128709523394,661.70590057908,2101.27191783583,51.0609076034106,75.7162674631939,782827.782821087,70.5856323907352,0.00250762989578255,406.600000000001,107.316873443861,2485899,7.30274622018456e-05,0.000219716338837971,59.76269,1.57342781968471e-06,2.27483672409295e-06,0.000538698033498319,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.97,0.5,13,1,0.5,11,0.903,0.5,13,0.98,0.5,28,0.99,1,8,0.953,0.5,18,0.955,0.5,22,0.955,3.85,0.5,5,100,14,0.228694917594948,0.384554032639255,0.384554032639255,0.384554032639255,0.228694917594948,0.404365506561008,0.333456255733642,0.228694917594948,88069740.4500081,458339870.291503,478654782.246461,470680445.358408,86320256.3549482,315700709.612569,501972488.857056,86320256.3549482,0.000228528399671854,9.41107426313001e-05,7.4754761819749e-05,9.42452886068638e-05,0.000112076423562093,7.93414727640925e-05,0.000124129892790075,0.000112076423562093,6.44997544054637,0.321978726402802,0.163630378988612,0.256433037378502,7.72095163968347,2.24562553913277,11.9457412145705,6.41344984677575,90.4105093179472,657.684829407055,2100.81544871868,51.0498154038639,75.7155248936433,778079.135136621,70.5848390236884,0.00253961806934869,402.800000000001,107.31668639898,2485386,7.30282562337694e-05,0.000219752984410143,59.79392,1.56447093492272e-06,2.27524838279203e-06,0.00053875348117971,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,78,0.99,0.5,20,0.97,0.5,16,0.98,0.5,205,1,0.5,37,0.99,1,6,0.98,0.5,74,0.99,0.5,30,0.98,3.85,0.5,3,10,12,0.19095659373723,0.320789223607182,0.320789223607182,0.320789223607182,0.19095659373723,0.38962490920513,0.359371137998943,0.19095659373723,45756386.1077305,285747945.034835,288705623.326691,284515570.906941,44741399.6900877,277457422.483737,672922237.284514,44741399.6900877,0.000149927896711044,7.24976937352797e-05,5.90578952454389e-05,0.000761985019977513,7.33455884462141e-05,5.18713093200639e-05,0.000759037939498635,7.33455884462141e-05,7.09809054864207,3.53589751092389,3.52528790681099,3.57434475032378,8.38290216448036,2.88759363555923,11.0227470992028,7.07540037157264,73.2953766825714,460.82778191952,1521.94818697082,36.9833409433909,74.0030139734362,662467.635935884,73.2943722259765,0.00473958939256188,380.000000000001,107.586044594682,2187892,8.87382782703001e-05,0.000401161361787177,74.40458,4.339999e-06,5.11795990830288e-06,0.000971203082886174,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,21,0.97,0.5,13,1,0.5,11,0.94,0.5,13,0.98,0.5,28,0.99,1,8,0.96,0.5,18,0.97,0.5,22,0.97,3.85,0.5,5.3,1,2,0.231547058918431,0.386419025458252,0.386419025458252,0.386419025458252,0.231547058918431,0.40810505271241,0.334349802791351,0.231547058918431,92326617.1877809,470101688.88288,481867630.118101,475973058.183989,90505060.0276852,325063173.911477,504853215.901073,90505060.0276852,0.000240635548768999,9.67131388288254e-05,7.86698731217731e-05,9.57993264570412e-05,0.000118031706294337,8.2955586891212e-05,0.000127057334970075,0.000118031706294337,6.39569909164194,0.20525889924304,2.92640729132563,2.22043892516132,7.66545498045414,2.10229596053705,7.6374990743572,6.35795318754642,94.8953220113287,617.503009195188,2110.18517127852,51.277499662068,75.9251492272527,768186.515829924,70.5628797598284,0.00214326960691345,283.400000000001,107.392816260849,2625114,7.67914002428019e-05,0.000224609741834679,59.61718,1.54439376637577e-06,1.96454488103487e-06,0.000473730981919218,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,61,0.99,0.5,23,0.99,0.5,19,0.99,0.5,230,1,0.5,29,0.98,1,6,0.9,0.5,42,0.99,0.5,30,0.98,3.85,0.5,3,100,35,0.203194499765852,0.309053465231619,0.309053465231619,0.309053465231619,0.203194499765852,0.392912134404004,0.391252787332759,0.203194499765852,57202183.1534215,254436879.155472,254622014.107734,251238745.26279,55986509.9017663,289367968.353286,938255602.475037,55986509.9017663,0.00014722083134181,7.31858995263907e-05,6.04944700873225e-05,0.00073113029518218,7.20921491756933e-05,5.0311256772719e-05,0.000650902399908866,7.20921491756933e-05,6.89990938104362,4.10975271095144,4.10834206527093,4.14412342646188,8.18069961891124,2.62686940517588,10.432176316687,6.87319782600352,79.0609707895447,451.170089838102,1500.60369593038,36.4646698111083,75.3234832797832,620863.354797191,72.6289198597914,0.0031220221942819,272.4,107.608428879212,2065008,8.49455655582655e-05,0.000399324128864037,77.3623,1.57083040049619e-06,3.2500729221055e-06,0.000644931833701623,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,56,0.98,0.5,24,1,0.5,20,0.99,0.5,111,1,0.5,26,1,0.5,33,0.99,0.5,54,1,0.5,27,1,3.85,0.5,6.6,10,10,0.247877656589741,0.354165126442384,0.354165126442384,0.354165126442384,0.247877656589741,0.301835928833937,0.372158703868064,0.247877656589741,119678899.031205,386704428.619808,389619052.684627,381859523.509214,117307674.637736,313362913.028658,771533265.798316,117307674.637736,0.000300831206800747,0.000133238395632821,0.000110661540050018,0.000609916749711432,0.000147559990366462,0.000137073649076694,0.000662829642537006,0.000147559990366462,6.07561991209932,1.80539418822238,1.78042079488851,1.83264510563196,7.33634804464382,6.48658928284637,8.43334956223994,6.0288462517361,82.2990887347814,389.013022545411,2052.41857072535,49.873771268626,75.2602912227023,821250.538887419,72.1923818695574,0.0031638065277888,383.4,104.13209340331,4332888,0.000130315631536942,0.000286953163704741,56.37467,1.17689253505675e-06,3.05768288195507e-06,0.000679162616438911,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,43,0.99,0.5,18,0.97,0.5,14,0.95,0.5,41,1,0.5,21,0.99,1,5,0.81,0.5,57,0.99,0.5,22,0.97,3.85,0.5,9.1,100,21,0.275881024871852,0.412392343401288,0.412392343401288,0.412392343401288,0.275881024871852,0.511244562084565,0.353380100227112,0.275881024871852,184219514.520633,523150624.440877,549548524.978053,547797033.539792,180521883.75622,620081093.878591,628778978.226592,180521883.75622,0.00039247958879204,0.000156421705241031,0.000123713528968377,0.000379677374889453,0.000192499390039078,9.92612186667755e-05,0.000537777163654694,0.000192499390039078,5.44540082796238,-0.982098825586059,-1.07532729560287,-1.04004373271381,6.68818975882496,-2.01794883486902,11.6248511403411,5.38068796591724,77.548802002566,576.803293204274,2023.28584593195,49.1658460561464,73.2906413268449,1426107.29880391,71.2301200335925,0.00501058908530783,328.8,105.062348955461,5002438,0.000152619299817011,0.000346628091182275,52.70832,3.23152425877974e-06,4.73622456925893e-06,0.00107692641149809,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
