RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
80,23,2,1,8,2,18,2,10,20,6,2,1,5,4,5,2,2,20,1,10,0.5,21,27,0.406044818107248,0.406044818107248,0.195819337543994,1.11668958076507,0.195819337543994,0.0573463364271296,278093450.398904,278093450.398904,3792414.30851269,651500919.939168,3792414.30851269,28713249.4057984,0.000242897339097418,0.000242897339097418,5.08793007400422e-05,8.25551649978651e-05,5.08793007400422e-05,6.62993341929758e-06,6,3,-15,-4,-12,15,89.9638123639482,18.6044342459717,29.6865137118546,200.383967555019,64.4773422244659,13588296.7295839,47.4657771452233,0.0101781095242316,341.900000000001,77.9676904332588,21682420,0.000162306547758468,0.000145997076178646,49.06743,7.32062967250201e-08,5.23852752349452e-06,0.000644007966164928,"HSOTA_COMP_Pin_2",180,5,2,1,0
43,5,2,1,10,2,20,2,10,1,2,2,1,10,10,1,2,2,9,1,3,8.3,93,15,0.853767403194704,0.853767403194704,1.82497592044793,1.80051114002381,1.82497592044793,0.572735207980458,527698327.796299,527698327.796299,31637668.9836636,832571021.315257,31637668.9836636,335058761.590319,0.000527429384331843,0.000527429384331843,7.90399324917778e-06,0.00022353519139612,7.90399324917778e-06,2.66533579466072e-05,-6,10,-15,-3,15,-4,99.4985546651057,5.09867667795271,4.97232852810698,33.5632175647221,75.3763191038606,22523679.7803681,21.3072757526625,0.00408265958300931,336.500000000001,77.5026612162432,21965530,0.000981678676559053,0.000114640448629111,48.58663,3.61896345246878e-08,3.72747651402383e-06,0.000227608883998975,"HSOTA_COMP_Pin_2",180,5,2,1,0
42,5,2,14,10,4,16,6,9,1,2,2,1,10,10,13,2,3,8,1,5,10,75,23,0.856083207998482,0.856083207998482,1.76085553692023,1.84505983769988,1.76085553692023,0.631251440770324,120752390.633692,120752390.633692,38098920.6274303,851603264.591355,38098920.6274303,157041522.947388,0.000563006947950797,0.000563006947950797,8.57860767278406e-06,0.000227879495094451,8.57860767278406e-06,3.00588353429562e-05,-6,-6,-15,15,9,-13,105.023530137161,4.45809861933819,4.42305853012748,29.8556450783605,74.9039647123208,20573172.5243618,36.2904946232481,0.00370975021918519,328.700000000001,77.4567906040414,20411470,0.00102550807124216,0.00010674850120216,47.78604,3.58406585012076e-08,3.78666102502034e-06,0.000223887678481915,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,4,11,10,9,1,2,2,1,10,10,1,2,4,8,1,10,9.15,82,37,0.773169198919854,0.773169198919854,1.58781045611438,1.65114803266515,1.58781045611438,0.557943088926578,131024278.471921,131024278.471921,45871161.1634409,879010076.170929,45871161.1634409,86645498.4981021,0.000672586403015658,0.000672586403015658,9.88151769096168e-06,0.000237163920529172,9.88151769096168e-06,4.12805694030791e-05,15,-15,15,-15,4,15,103.258779377246,4.6315233908116,4.65932339450285,31.4504329128943,74.3561255198496,19469974.4858049,38.4447655734822,0.00375906298369889,313.900000000001,77.833937482806,19586840,0.000934176648104405,0.000105277041096138,46.74642,3.83370455925823e-08,4.23450644610135e-06,0.00025440029432211,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,4,18,8,7,1,2,2,1,9,10,7,2,2,8,1,10,9.34,78,60,0.694149225201303,0.694149225201303,1.50809655927636,1.94160429422231,1.50809655927636,0.321861949811818,101110669.586686,101110669.586686,56314782.6845875,879380391.583039,56314782.6845875,198231020.644126,0.000701956504398331,0.000701956504398331,9.89329234022782e-06,0.000211916333828653,9.89329234022782e-06,5.17337514908407e-05,11,-15,-2,-15,-2,15,94.5018865996471,4.33594775443513,5.08020481032103,34.291382469667,73.377530243067,19676958.1460782,39.5979797464467,0.00375046857028203,303.600000000001,77.7620615667295,23054470,0.00100846634079538,0.000102081640817134,45.34652,3.20496017306977e-08,4.54502301806547e-06,0.000277912641807987,"HSOTA_COMP_Pin_2",180,5,2,1,0
42,5,2,20,10,4,18,10,7,1,2,2,1,9,10,2,2,2,8,1,10,9.11,61,60,0.613978288232865,0.613978288232865,1.48915106176748,1.91699380886335,1.48915106176748,0.317726237448094,90727673.1956284,90727673.1956284,55764342.482749,869582463.331647,55764342.482749,195576870.52972,0.000783351320496663,0.000783351320496663,9.79420417387421e-06,0.000209883386397306,9.79420417387421e-06,5.1020172549885e-05,11,-10,0,-15,13,10,94.447999058886,4.16105502161072,4.92519884243345,33.2450921864258,73.4452627686538,18455540.4951773,39.8371685740842,0.00391162143936073,299.7,78.1145687620428,21844750,0.000985622924919398,9.2053815653498e-05,47.3348,3.34251950096041e-08,4.37862328892535e-06,0.000275243693318217,"HSOTA_COMP_Pin_2",180,5,2,1,0
45,5,2,20,10,4,13,8,8,1,2,2,1,10,10,2,2,4,8,1,10,10,85,61,0.820920117761886,0.820920117761886,1.64092614338344,1.84055223308741,1.64092614338344,0.533995626652575,116361965.123846,116361965.123846,45830034.7996293,849784086.79965,45830034.7996293,73300284.3696628,0.000587510201233715,0.000587510201233715,9.18480455149651e-06,0.000227457681315981,9.18480455149651e-06,3.65458129470672e-05,15,-15,15,-15,4,15,106.63408985967,4.66745905977985,4.81728932425792,32.516702938741,73.8231647747737,21404571.1231266,38.2361085886103,0.00380809966618164,295.4,77.4163269532326,22091680,0.00101909225121712,0.000108484405195174,45.678,3.22522130907061e-08,4.40871500711371e-06,0.000254503108370052,"HSOTA_COMP_Pin_2",180,5,2,1,0
36,5,2,5,10,4,16,8,10,1,2,2,1,10,9,7,2,3,8,1,2,9.63,66,63,0.721795668496618,0.721795668496618,1.93711778286195,1.79682716699184,1.93711778286195,1.00023031612007,104687602.031226,104687602.031226,33077662.644892,831003927.26681,33077662.644892,228371658.657687,0.000646625292239204,0.000646625292239204,8.27293343907752e-06,0.000223172344303794,8.27293343907752e-06,1.77485433974968e-05,-4,-7,15,-12,12,-15,108.441092212901,4.18786535017937,4.48180296355756,30.2521700040135,76.8325692039458,18496723.2261003,32.1091887160046,0.00399978693552857,291.7,77.8700754219629,19794970,0.000981498351888831,9.41712948292742e-05,49.83659,3.28889163035941e-08,2.90018742795439e-06,0.000186403706945004,"HSOTA_COMP_Pin_2",180,5,2,1,0
48,5,2,1,10,2,20,2,8,1,2,2,1,10,10,3,2,2,8,1,2,9.16,70,1,0.857263010724502,0.857263010724502,1.50479262081607,1.6644629837559,1.50479262081607,0.787334594682464,620777713.829425,620777713.829425,55675806.484929,891741394.851236,55675806.484929,518636089.083598,0.000596670689048279,0.000596670689048279,1.06763506018971e-05,0.000239936134645854,1.06763506018971e-05,2.6373344184436e-05,-2,15,-15,-5,15,-7,95.3539049440083,5.88650969779496,5.61405206480027,37.8948514374018,72.1468697800032,25344534.0473388,22.2036033111745,0.00388339788329953,377.800000000001,76.0872054642751,24171460,0.000956784064977611,0.00012198773980943,45.58808,3.551277710418e-08,5.73940754694302e-06,0.000336039556219969,"HSOTA_COMP_Pin_2",180,5,2,1,0
48,5,2,1,10,2,20,2,8,1,2,2,1,10,10,3,2,2,8,1,2,9.16,71,1,0.857263010724502,0.857263010724502,1.50479262081607,1.6644629837559,1.50479262081607,0.787334594682464,620777713.829425,620777713.829425,55675806.484929,891741394.851236,55675806.484929,518636089.083598,0.000596670689048279,0.000596670689048279,1.06763506018971e-05,0.000239936134645854,1.06763506018971e-05,2.6373344184436e-05,-2,15,-15,-5,15,-7,95.3539049440083,5.88650969773164,5.61405206480027,37.8948514374018,72.1468697800032,25344534.0470662,22.2036033111745,0.0038833978829702,377.500000000001,76.0872054642751,24171460,0.000956784064977611,0.00012198773980943,45.58808,3.55127771039902e-08,5.73940754694302e-06,0.000336039556219969,"HSOTA_COMP_Pin_2",180,5,2,1,0
