MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
10,1,3,6,20,10,2,14,10,2.5,7,20,5,13.6,10,48,43,1.66737815800482,0.135827824368336,0.768904289808452,0.738432552269195,29479763.9103952,9832253.05351133,69591348.4151339,989300900.492286,1.09859378879121e-05,0.000116326082372429,3.24282153153353e-05,0.000269833949135573,-8,-13,15,-15,99.4641884352578,107.607016781371,106.335101219458,71.7761933231344,132.232788727108,5356389.55558604,83.0692482209873,0.000179574934604485,338.750000000001,100.151200617531,5293077,0.000110616280028339,7.39680486028978e-05,60.74377,3.04948225303745e-07,4.50822646790305e-07,2.48270104210579e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
6,1,4,8,20,10,2,7,10,2.5,10,19,7,14.292,10,17,41,1.0684376560386,0.168583874130462,0.789852217042438,0.742040928937055,58753420.3712932,6251505.00804068,34320386.7803905,994278431.201738,1.75722087783718e-05,0.00010229251418295,3.18376085290773e-05,0.000271334051266335,-1,14,-10,11,97.7357107489799,109.380856347304,93.8347685629148,63.3384687799675,132.87910020646,5498625.98749289,93.9039935253022,0.000233585020453971,338.700000000001,100.026365155921,4717117,0.000111712133815238,7.93591744630286e-05,59.36841,3.02072551531201e-07,5.52069884300899e-07,3.71171575690443e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
10,1,5,10,18,10,2,5,10,2.5,10,20,7,14.292,14,28,58,1.52067795074707,0.247267886060749,0.902562359636528,0.848843469250488,27506141.6378823,5423862.5216901,39824098.6634394,1136743125.03051,1.70428053722451e-05,0.000106314563287891,3.73441234427979e-05,0.000314054745732419,2,15,13,5,97.1861945957147,106.274088024693,76.589331247948,51.6977985923649,131.90103480722,7408874.14142232,96.664160887063,0.000200741879916734,315.800000000001,100.458130766791,5339408,0.000154921722357107,8.06639084109163e-05,64.6688,2.3833213047338e-07,1.00759601006417e-06,4.27109716500951e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
10,9,4,10,18,10,2,1,10,2.5,10,20,8,14.292,14,30,57,0.552689864397161,0.248631094693613,0.857860976040459,0.85279726125128,11424167.5146051,5453917.77773618,37648955.0982745,1141833038.6148,4.96304902740138e-05,0.000106966240372185,4.01866183395989e-05,0.000315575738930996,2,12,12,15,96.5551242133751,105.173546752071,75.9571711437935,51.2710905220606,134.335015976031,7382690.86016756,99.8697151292623,0.000193585464883289,312.500000000001,100.694333512542,5331838,0.000155989601909458,8.20235643070686e-05,64.68891,2.48782500619942e-07,5.70615059600765e-07,7.7216825510984e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
7,3,3,8,20,4,3,2,10,2.5,8,8,4,13.4,13,25,58,0.876935744037199,0.313858830595893,1.00374009162628,1.02507869965262,36199705.5953356,11111228.5544248,70685599.0776875,569050869.694411,2.8149857117602e-05,8.01247145343337e-05,3.06614298540037e-05,0.00023509181473025,9,-15,-3,-15,93.83216969987,101.242352094112,58.0045240715492,39.1530537482957,132.221075527574,6608239.67341378,68.5893577750951,0.000253470106579727,310.95,99.8429905664094,3786042,0.000145047766555047,8.0379773954726e-05,63.71636,3.05203095891272e-07,1.01877003911066e-06,6.55796676758413e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
9,9,3,10,15,7,2,8,10,2.5,10,20,10,7.48,16,10,55,0.64151639373173,0.350078057413247,0.826868696156093,0.902839988817573,16295066.4748461,7712967.71631394,36127707.8772049,1205093700.39565,4.81943656602777e-05,9.16264791008398e-05,4.80432886304951e-05,0.000334467721255968,-1,7,5,-15,86.8222271206843,105.616557359885,53.2581790736345,35.9492708747033,123.577200148435,8473670.52171232,96.2439608494995,0.000386294237005409,304.45,99.8726920034674,4272931,0.00017829002769873,8.50088426463367e-05,52.97556,3.32584071259524e-07,1.04445606934567e-06,0.000202668348011859,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
9,7,4,6,18,9,2,6,10,2.5,10,18,7,11.1,8,10,56,0.447987722950046,0.135367661746313,0.724191056775145,0.680351858078724,11448678.8801105,9833780.71404818,31069588.7439294,907835410.892343,3.46654400735107e-05,9.42413985516466e-05,2.85633078346009e-05,0.000245165405893142,-11,-6,3,-11,96.5905411516762,106.658507377918,99.2655647629848,67.0042562150148,136.751400456367,4294820.80674125,87.2582374334939,0.000382755544646159,302.500000000001,99.7583013984542,3997129,8.9482278271398e-05,7.69396720047514e-05,50.69183,4.3345554238583e-07,5.86310872049412e-07,3.80523280489875e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
8,1,3,4,20,10,2,14,10,2.5,7,20,5,13.6,11,25,5,1.54319494185385,0.103451162722612,0.80004021438293,0.768548853010197,43719754.2988373,19505047.7560953,72777755.4074773,1030526385.8672,1.30703410615722e-05,0.000148765648190339,3.40383839193e-05,0.000282238867366156,-9,-13,10,-15,95.6421654737185,106.617201849621,121.947903127352,82.3148346109629,133.472381459661,5852305.28596889,78.0672786767926,0.000183646985578239,398.450000000002,98.7147792791365,6693820,0.000121979592711989,7.12835563454264e-05,61.31384,2.64120326954881e-07,5.049098261245e-07,2.98238177980359e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
8,1,3,4,20,10,2,14,10,2.5,7,20,5,13.6,11,32,12,1.54319494185385,0.103451162722612,0.80004021438293,0.768548853010197,43719754.2988373,19505047.7560953,72777755.4074773,1030526385.8672,1.30703410615722e-05,0.000148765648190339,3.40383839193e-05,0.000282238867366156,-9,-13,10,15,95.6421654737185,106.617201849589,121.947903127352,82.3148346109629,133.472381459661,5852305.28596716,78.0672786767926,0.000183646985578667,375.150000000001,98.7147792791365,6693820,0.000121979592711989,7.12835563454264e-05,61.31384,2.64120326954797e-07,5.049098261245e-07,2.98238177980359e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
8,1,2,4,20,10,2,14,10,2.5,7,20,5,13.6,11,35,17,1.91579555561071,0.103313666522581,0.799445123083776,0.767976530989601,51485446.135999,19488147.5444498,72717023.7277923,1029749822.40404,1.03478587447744e-05,0.000148593505356472,3.40077324562006e-05,0.000282005567471789,-9,-13,12,-15,95.5917707011159,106.761422123079,121.983452747467,82.3388306045404,121.067329784786,5852600.8764977,78.0160239950742,0.00018400796004199,364.100000000001,98.6448977971183,6687064,0.000121820967414212,7.113963864354e-05,61.26993,2.64106543488546e-07,5.08227716045084e-07,2.98003979930517e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
9,1,3,4,20,10,2,20,10,2.5,7,20,5,13.6,11,42,19,1.65199239441314,0.103312219003262,0.799438858513138,0.767953910633532,36250197.5755295,19487969.5853016,72716384.3645937,1029719123.51186,1.21791793228051e-05,0.000148591693055434,3.4007409760536e-05,0.000281996344535344,-9,-6,12,5,95.8364956842257,106.618383359993,121.989317471239,82.3427892930866,133.717470903241,5843189.43466015,78.8511255468177,0.000179243857185577,362.100000000001,98.9643165534395,6685589,0.000121788241400294,7.10363494907832e-05,61.2845,2.64487261757493e-07,5.09928786205371e-07,2.98342599429624e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
8,1,3,4,20,10,2,14,10,2.5,7,1,5,13.6,10,50,49,1.46654548194532,0.0964535101140964,0.769950905774085,0.739442360509245,42026530.0548442,18641408.5785137,69698739.8760877,990694891.717061,1.25510392491948e-05,0.000140027656312759,3.24825544174523e-05,0.000270254133965417,-8,-1,11,-8,96.4743538679932,106.781838539474,123.85363297606,83.6012022588408,133.318930939938,5330238.69294129,69.0253576593414,0.000198396218504458,328.700000000001,98.9751134218952,6182413,0.000110926867669769,7.10487525458088e-05,60.24125,2.91008078251975e-07,4.94877320490472e-07,2.82517213658906e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
