MOSFET_0_2_L_LOAD0_NMOS,MOSFET_0_2_M_LOAD0_NMOS,MOSFET_0_2_W_LOAD0_NMOS,MOSFET_13_2_L_gm1_PMOS,MOSFET_13_2_M_gm1_PMOS,MOSFET_13_2_W_gm1_PMOS,MOSFET_1_2_L_gm2_NMOS,MOSFET_1_2_M_gm2_NMOS,MOSFET_1_2_W_gm2_NMOS,MOSFET_25_30_L_BIASCM_PMOS,MOSFET_25_30_M_BIASCM_PMOS,MOSFET_25_30_W_BIASCM_PMOS,MOSFET_28_25_L_BIASCM_NMOS,MOSFET_28_25_M_BIASCM_NMOS,MOSFET_28_25_W_BIASCM_NMOS,MOSFET_6_2_L_LOAD1_PMOS,MOSFET_6_2_M_LOAD1_PMOS,MOSFET_6_2_W_LOAD1_PMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS13,VDS25,VDS28,VDS6,ft0,ft1,ft13,ft25,ft28,ft6,gm0,gm1,gm13,gm25,gm28,gm6,gmid_offset0,gmid_offset1,gmid_offset13,gmid_offset25,gmid_offset28,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.13,26,0.795,0.121,28,1,0.15,3,0.637,0.784,25,0.1,0.107,27,0.129,0.85,18,0.386,5,64,84,12,0.325280866018014,0.156228005258593,0.282215437017702,0.731448812956836,0.0915488183347468,0.361029081960422,19859625526.2134,11742487892.3864,18937824291.5282,1531527110.83417,10019827263.4489,495845350.102749,0.00375163090475207,0.000246399776355637,0.00397125137623559,0.0002685903119263,0.00114780511710003,0.000177727633383846,6,15,14,15,15,11,79.0477279640843,35.7456949070758,97.9912871941318,1190.5941394087,70.1713652863406,238863063.687706,10.8467564276147,0.0110210410735661,374.100000000001,63.3563267779113,654806100,0.000824973949970731,0.00108018943938037,46.87954,5.090567429218e-09,6.03438017851565e-07,5.14279780912119e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.1,26,0.867,0.154,30,1,0.0992,2,1,0.817,30,0.1,0.101,30,0.1,0.85,7,0.524,5,70,86,16,0.296034504796265,0.157289226397149,0.339839211641567,0.726126652737918,0.0747057073208576,0.373292391079119,26474383804.7594,21647266234.9556,14094191907.114,1387912312.77381,9984911214.80433,711690527.659845,0.00428416167051803,0.000322868165815248,0.00397487011399879,0.000303544694925412,0.00116985805281998,0.000151365420552379,15,15,15,15,-15,9,77.6380799368989,29.0149882213423,94.1678484937396,1144.13935919894,68.8582812694783,212879269.785882,11.2465905944868,0.0108892646309473,363.050000000001,63.5138884435821,690897500,0.000905786731019893,0.001272622403378,48.1111,5.75615237393306e-09,3.60220622491469e-07,3.59409681480183e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.109,30,0.765,0.148,30,0.977,0.0992,2,0.819,0.769,26,0.109,0.0988,28,0.1,0.85,15,0.264,5,70,82,14,0.299519089396634,0.161300433839757,0.333394993131816,0.731324369180499,0.0744387084194976,0.377740497280922,23824061249.5513,23282917883.8531,15047392879.7621,1571193190.06202,10670383933.8551,668499150.092668,0.0042567954872819,0.000290810976771568,0.0040050780810198,0.000300140884386163,0.00115203811883517,0.000154322508715161,14,15,15,15,-12,8,77.9634781627807,27.5654518530713,92.0093825011353,1117.91399738879,68.8920161083259,202012227.615289,10.8642633988688,0.0116618423946012,359.500000000001,62.9384289794773,674286800,0.000904747773408762,0.00118290148425293,47.01627,5.46609543922208e-09,4.35139633199744e-07,4.27898377658997e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,30,0.798,0.11,30,0.96,0.163,5,0.623,0.663,28,0.1,0.104,12,0.1,0.85,5,0.517,5,70,82,24,0.294907847824822,0.200946456582685,0.30717078854991,0.67431746515495,0.108143894427408,0.355093416910924,24736350915.4695,8368119852.73822,22238294231.8636,2018562213.98717,17901344475.8816,711107362.318031,0.00439379779260697,0.000261710660245526,0.00444788592471294,0.000331111778513476,0.000949418643301078,0.000107622111864352,15,15,15,15,15,-1,80.572135553938,25.9570113655387,90.0398361712914,1093.98400948119,76.0697336684648,189144335.06507,10.02683948211,0.013329225195307,352.400000000001,65.593840677325,656105000,0.000899608670209654,0.00126281164394978,47.34417,2.82152454982596e-09,4.51834017367592e-07,1.43799976686232e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.134,26,0.795,0.119,28,1,0.15,2,0.637,0.464,25,0.11,0.106,11,0.129,0.85,18,0.477,5,64,82,33,0.333486204690501,0.19263554081765,0.275433476912963,0.578616470164354,0.120499688474889,0.289439740391483,19667040268.8687,13739977532.0443,19721611718.7207,3652930287.20016,18060212186.9721,400616058.377041,0.0038318535459292,0.000188194870377018,0.00410783210342261,0.000391992522125514,0.000946379920512534,0.000163105390878992,6,15,14,15,15,3,80.0929657203623,30.535682723058,78.5251079194605,954.080061221445,73.9633893856723,207975303.541499,9.7068177071582,0.0169492256899941,343.000000000001,62.3308266605349,534826200,0.000840851132527544,0.00139875610205434,49.00086,4.34942806465302e-09,5.02457297457959e-07,3.85929095066961e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,30,0.787,0.0975,30,1,0.143,4,0.623,0.633,30,0.117,0.104,11,0.1,0.85,19,0.599,5,70,76,37,0.295995196009596,0.20044672468275,0.291278905404485,0.62958210999722,0.111153718796064,0.307964388471229,25108214903.4181,11790824369.4156,25000327929.5825,2002553667.64441,18885421246.0183,397568556.670879,0.00441369347208841,0.000278363116812804,0.0046933242520047,0.000372756412404787,0.00092682948349841,0.000211692250476274,15,15,15,15,15,0,84.5562366002771,41.4366959209026,103.861855861868,1261.9215487217,75.7478857747997,305976923.40569,11.1953647551118,0.01319642640824,311.900000000001,63.2858076855399,766936900,0.000911629848278077,0.00142237829434886,47.72418,3.11633154866609e-09,4.63363220203627e-07,3.12015855369885e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,28,0.782,0.104,30,1,0.0992,4,0.411,0.401,18,0.329,0.104,11,0.1,0.85,24,0.181,5,70,46,16,0.304490899602015,0.177533999915572,0.293179046324784,0.488667832125953,0.111364279166981,0.203704224051053,27138463387.1498,28662718487.682,23990303896.8624,3592208247.48096,18937361488.5675,475248586.399433,0.00449701319955976,0.000390166213402543,0.00479650242221568,0.000588371505695369,0.000929632564464425,0.000161741975397364,15,15,15,15,15,0,58.7235038851939,25.7873619011412,122.203485454123,1484.77234826759,62.5423131172515,204443527.681151,10.8446760025369,0.0144739052714509,338.600000000001,58.0151399843775,968835500,0.000978771763695377,0.00106084981843981,45.97783,1.92084373122114e-09,9.79287894067316e-07,0.0001071303462164,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.11,15,0.855,0.152,26,1,0.0992,2,0.739,0.826,27,0.1,0.1,25,0.1,0.85,18,0.524,5,70,64,28,0.344976324357434,0.145078982219645,0.29962448474044,0.752856776078143,0.0792926615085155,0.353870952774416,32968706685.3783,28275119813.5528,15246081143.7442,1410741246.27613,11451290369.6714,574854672.319605,0.00354637915293795,0.000369554242241344,0.0037862515161457,0.000282723636427178,0.00112916680828202,0.000292041827658333,15,15,15,15,-15,10,73.6039342673192,27.9456316725713,122.253743461203,1485.38298305362,63.4473813161821,209771546.78017,11.1896887892381,0.0124410050558718,326.000000000001,57.725199603849,917687500,0.000926718069147497,0.00122383013969838,55.68076,1.21516582209791e-08,9.09727530452042e-07,0.000106752349396888,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,30,0.782,0.104,30,1,0.0992,4,0.396,0.31,22,0.255,0.104,10,0.1,0.85,20,0.277,5,70,74,52,0.302073091905034,0.183730983267818,0.297540068158858,0.450315285384103,0.114890990594344,0.187367649651117,26593601549.3601,29031404341.605,24472892273.9695,5615985351.32865,20117529227.5291,433630498.745671,0.00470180036065489,0.000378678609254531,0.00491775444439086,0.000671817392389763,0.000907425309168251,0.00017576706459638,15,15,15,15,15,0,65.5184167318401,26.40538748007,116.03907128426,1409.87471610375,65.4585978154953,213950954.797028,10.0311986123294,0.016486313147192,313.400000000001,57.4621087225933,940212300,0.00100031473285617,0.00145733659875119,45.76272,1.84600882475996e-09,6.07305608303077e-07,5.66633895477953e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.117,18,0.782,0.152,30,1,0.0992,3,0.471,0.443,16,0.491,0.104,11,0.1,0.85,15,0.389,5,70,36,1,0.348448674756551,0.165567768599036,0.292467862889661,0.474004191700036,0.111319447662007,0.183190122465616,30525986432.5992,32875007846.5726,14770859854.7161,2717497174.17462,18926148304.3388,407522942.175514,0.00382156866878597,0.000421986970883932,0.00419305911853554,0.000624026679151699,0.000929025117248895,0.000185837836649239,15,15,15,15,-15,3,56.8411988807047,22.1760920652713,131.311078444786,1595.42960310415,58.4406570970626,178454517.449387,12.4450738527339,0.0119143377378509,420.750000000002,55.3622052897728,1056681000,0.000993476300625298,0.000981453262612703,47.38362,3.83617540326615e-09,1.68743541097804e-06,0.000124045744646195,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
