MOSFET_6_2_M_LOAD3_PMOS,MOSFET_6_2_W_LOAD3_PMOS,MOSFET_6_2_L_LOAD3_PMOS,MOSFET_0_2_M_LOAD2_NMOS,MOSFET_0_2_L_LOAD2_NMOS,MOSFET_0_2_W_LOAD2_NMOS,MOSFET_10_2_L_gm1_PMOS,MOSFET_10_2_M_gm1_PMOS,MOSFET_10_2_W_gm1_PMOS,MOSFET_13_2_L_gm2_PMOS,MOSFET_13_2_M_gm2_PMOS,MOSFET_13_2_W_gm2_PMOS,MOSFET_1_2_L_gm3_NMOS,MOSFET_1_2_M_gm3_NMOS,MOSFET_1_2_W_gm3_NMOS,MOSFET_28_10_L_BIASCM_NMOS,MOSFET_28_10_M_BIASCM_NMOS,MOSFET_28_10_W_BIASCM_NMOS,MOSFET_33_10_L_BIASCM_PMOS,MOSFET_33_10_M_BIASCM_PMOS,MOSFET_33_10_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS10,VDS13,VDS28,VDS33,VDS6,ft0,ft1,ft10,ft13,ft28,ft33,ft6,gm0,gm1,gm10,gm13,gm28,gm33,gm6,gmid_offset0,gmid_offset1,gmid_offset10,gmid_offset13,gmid_offset28,gmid_offset33,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,0.3,0.15,46,0.15,0.3,0.716,1,1.08,0.15,1,2,0.15,18,0.3,0.704,1,2,1,21,1.73,46,81,56,0.159957273,0.175982776,1.29645364,0.629167877,0.351045265,0.098923716,0.09171351,70218483691,73059199084,2065423167,2.44E+11,2508710041,191390196.1,45007807130,0.003487168,0.00141703,5.48E-05,0.001732908,0.000443562,0.000639749,6.78E-05,13,15,4,-15,-15,13,-14,68.35223213,1.193874003,94.50537181,850.5483463,52.42481281,5880750.955,20.540851,0.00318878,319.1,53.42010408,465511900,0.000820962,0.001632657,49.30163,1.26E-08,3.72E-05,0.000159227,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,9,0.15,0.408,0.15,1,2,0.15,1,1.74,0.15,15,0.3,0.808,1,0.725,0.9,48,0.523,5,39,25,0.135801798,0.053971232,0.66427785,0.723819781,0.308865939,0.060386634,0.024534431,39799164590,25428725249,17820629399,78751947840,1134655882,88809510.45,13103385884,0.000493812,0.00041096,0.00020371,0.000413372,7.20E-05,0.000107575,1.97E-05,3,6,15,-15,15,-9,-14,86.05147225,1.3040737,314.5732463,2831.159217,53.67040259,1340596.481,15.90025157,0.004607807,348.2,51.28406245,323383400,0.000171334,0.0005574,48.65564,1.39E-07,9.50E-06,0.000222879,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,46,0.15,0.3,0.777,1,1.07,0.15,1,1.27,0.15,16,0.518,0.813,1,2,0.97,32,1.2,50,79,19,0.165115321,0.192317176,1.339896962,0.650819067,0.353324813,0.098773079,0.090969932,74816043575,59297799624,1764618942,2.90E+11,2130466606,201100166.9,32908865330,0.003735303,0.001674771,5.01E-05,0.001385363,0.000442425,0.000691687,4.98E-05,-15,-2,-5,-15,-15,13,5,57.29524734,1.495931234,73.02454235,657.2208811,47.38609429,7961618.188,20.92172985,0.0026863,343.3,51.04036226,388649900,0.00088703,0.001854252,52.95113,1.56E-08,0.000152113,0.000264192,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,12,0.15,0.3,0.15,1,1.64,0.15,1,1.63,0.15,19,0.369,0.808,1,0.725,0.962,33,0.869,5,39,34,0.122439645,0.054349427,0.687982283,0.73843127,0.308880225,0.059435518,0.024176367,39306119415,18971809995,19199672562,83293823410,1134781791,76999068.27,12477273734,0.00048819,0.00045503,0.000184163,0.000409815,7.20E-05,0.000108869,1.88E-05,3,-2,12,-1,3,-9,-10,87.64104756,1.070617318,311.7026384,2805.323746,53.50287335,1083598.096,17.53010953,0.004487897,329.3,51.07375343,315481900,0.000168687,0.000603321,46.02126,1.35E-07,2.61E-05,0.00023819,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,12,0.15,0.3,0.15,1,1.64,0.15,1,1.62,0.15,19,0.369,0.808,1,0.725,0.962,33,0.869,5,39,35,0.122438181,0.05435009,0.68798244,0.738744206,0.308880225,0.059435518,0.024176685,39305237239,18971755509,19199672277,83717413995,1134781791,76999068.27,12478247791,0.000488178,0.000455027,0.000184163,0.000409429,7.20E-05,0.000108869,1.88E-05,3,-4,12,-1,3,-9,-13,87.63715458,1.301162462,311.5940931,2804.346838,53.49909196,1316923.726,17.52953907,0.004489992,327.4,51.06991742,315368500,0.000168686,0.00060309,46.07438,1.35E-07,2.62E-05,0.000238318,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,12,0.15,0.3,0.15,1,1.87,0.15,1,1.74,0.15,19,0.31,0.808,1,0.36,0.908,40,0.316,5,43,46,0.121724136,0.060452285,0.684778852,0.721594036,0.31967721,0.067924261,0.025010464,38577019682,22905826030,18207155773,77141185643,1600231012,120557025.5,11773146572,0.000478522,0.000469621,0.000195194,0.000404855,5.80E-05,9.69E-05,1.78E-05,3,-9,10,-15,12,-8,-15,88.92894131,2.479195419,321.2228686,2891.005817,52.98113009,2532404.267,11.88700972,0.004180081,319.4,50.58896643,328117000,0.000170244,0.000663767,45.21225,6.15E-08,2.44E-05,0.000179431,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,46,0.15,0.3,0.84,1,1.14,0.15,1,2,0.15,17,0.3,0.826,1,2,0.895,21,2,41,89,56,0.155892319,0.178058778,1.350227039,0.581573793,0.348113139,0.086807831,0.08083205,66434781843,70290441410,1512612023,2.34E+11,1902658696,201020866.5,39471243289,0.00328396,0.001280838,4.92E-05,0.001668392,0.000392223,0.000633925,5.95E-05,15,15,15,-15,-15,10,9,67.27000136,1.406036183,83.88806571,754.9925914,51.67631316,6306625.813,20.89821045,0.002661247,316,52.57286602,376271000,0.000747566,0.001592997,47.86278,1.70E-08,4.49E-05,0.000182394,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.615,1,0.923,0.15,1,0.839,0.15,17,0.546,0.672,1,2,1,21,1.31,50,67,47,0.162781216,0.177890445,1.292233578,0.746122409,0.353257886,0.113683869,0.104590311,72953385341,54906729147,2773617648,3.14E+11,2777616362,224082187.5,53928103666,0.003634961,0.001729151,5.49E-05,0.00102199,0.000473732,0.000617675,8.12E-05,-15,-15,-15,-15,-15,-2,8,66.68642936,1.159816394,70.66148433,635.9533589,49.71816062,6113996.5,18.3879659,0.004666228,314.6,50.34727022,372493500,0.000878587,0.001909249,54.55205,1.10E-08,0.000117645,0.000370476,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.66,1,1.03,0.15,1,1.65,0.15,22,0.338,0.727,1,2,0.989,15,1.93,43,84,1,0.156496935,0.159825738,1.276206875,0.658566527,0.349146317,0.104401392,0.08824425,66504768788,61790450101,2416937536,2.59E+11,2323734242,209347819.8,29098780793,0.003286934,0.001618499,5.68E-05,0.001523381,0.000421252,0.000571169,4.41E-05,10,11,15,-15,-15,9,-8,57.65828793,1.232660909,117.1481732,1054.333558,48.24122573,5825794.667,18.67048741,0.002421753,397.7,52.52760814,553665000,0.000787699,0.00183465,45.96788,1.41E-08,0.000100834,0.000226033,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.633,1,0.995,0.15,1,1.74,0.15,20,0.3,0.727,1,2,0.95,14,2,50,87,6,0.164078752,0.177389287,1.270597132,0.667913134,0.353271513,0.110060514,0.097353123,73732436702,75685208572,2620638314,2.65E+11,2492125444,241254902.3,34455242901,0.003676387,0.001636994,5.74E-05,0.001663956,0.000460469,0.000632869,5.22E-05,15,15,14,-15,-15,15,3,58.86998308,1.02008754,105.6503213,950.852892,48.77859277,5495927.221,18.04105512,0.002662497,379.6,52.70390253,569212400,0.00089795,0.001848848,45.15091,1.14E-08,7.36E-05,0.000276593,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.633,1,1.13,0.15,1,1.46,0.15,22,0.3,0.727,1,2,0.995,14,2,43,76,42,0.155952642,0.160106577,1.206135457,0.726499253,0.349133415,0.105927818,0.089931776,66127984447,66418253413,2605022591,2.75E+11,2323475227,210695041.1,32595689271,0.003266968,0.001567277,6.46E-05,0.001428984,0.000421193,0.000564253,4.93E-05,15,15,15,-15,-15,15,3,60.06659749,1.257542767,125.031266,1125.281394,49.78515987,5971938.019,18.40898096,0.00354372,327.2,53.40211411,593760300,0.000791482,0.001736626,46.72826,1.15E-08,7.35E-05,0.000211591,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.582,1,1.1,0.15,1,1.41,0.15,21,0.3,0.722,1,2,1,12,2,49,73,54,0.161536995,0.172799097,1.170423996,0.767587464,0.352663281,0.118419705,0.103433381,71531323021,73331748241,3051764199,2.88E+11,2491651922,237529199.2,43620571366,0.003557688,0.001662158,6.83E-05,0.001462215,0.000455863,0.000583801,6.59E-05,6,7,11,-15,-15,2,15,63.83083788,1.057882161,121.7354206,1095.618785,51.51834963,5593409.962,17.30145659,0.004546226,308.9,54.07033274,643659700,0.000881228,0.001822779,45.92905,8.62E-09,5.24E-05,0.000154259,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.584,1,1.08,0.15,1,1.57,0.15,21,0.371,0.566,1,2,0.914,14,1.95,50,78,62,0.164034672,0.161255243,1.181683871,0.749969646,0.353549871,0.110410424,0.097058073,73552698177,63921192893,3038058265,2.81E+11,3501762512,259830741.7,32383848766,0.003666421,0.001751553,6.70E-05,0.001577146,0.00050466,0.000636447,4.91E-05,15,-9,0,-15,-15,14,-9,57.60887809,1.080491559,127.3597778,1146.238,48.46290345,5826004.364,17.57911943,0.003687236,305.9,52.89676464,686723200,0.000898666,0.001846261,45.01722,9.26E-09,8.87E-05,0.000224163,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
