MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,50,10,2,1,2,4,1,7,10,50,10,2,1,5,2,1,9,4,2,7,2,8,9,12.22424,17.79662,14,27,16.42283,364.2077,251.5306,16.00084,410.464,206.4549,162.561,428.09,26461400,1124240000,2144130000,8185407,361690700,2465925000,1790691000,2387050000,3.410889e-05,0.04295214,2.513274e-06,0.02538284,0.0001551725,0.0119561,0.0004903723,0.0001720128,41.9008661413011,1.65904202756684,6.23044542063695,1958015.75031134,57.9354916538269,285302.60855611,223.222304799498,0.107928386270245,-11.7491917592194,70.185045371557,1071439,0.00191075869765997,6.47134673975247e-05,68.9944,6.06517004191134e-06,0.907727980942442,0.00209666103299488,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,1,2,4,5,9,10,50,10,2,50,10,10,3,9,2,2,8,2,11,10,12.50339,17.79662,11,36,16.39529,895.8323,288,40.80076,397.2432,71.4717,95.7428,510.9991,19703490,1359131000,1830688000,8171152,1026091000,1464338000,3618057000,2342028000,5.86414e-05,0.04869135,2.513274e-06,0.03934997,0.05353357,8.107782e-05,0.0006845433,0.0001905086,48.2198515477847,1.17842511820542,6.22982658582203,5803208.7328944,51.7472616492656,247154.026353797,242.037583259295,0.0966196230790126,-47.238986949366,80.7697804144777,1306597,0.00233036092489063,5.39570121485624e-05,48.08363,8.20516823990705e-06,1.53010915614276,0.00560182842911905,"R2R_Miller_PNin_2",180,5,2,50,0
2,49,10,2,50,10,10,1,2,10,50,10,8,50,10,4,1,5,2,1,9,2,2,8,9.393009,14.05861,31,51,16.35759,317.1988,542.9049,44.80102,1034.89,138.2806,78.90982,257.9438,10829170,1611087000,110806500,8206320,32427230,450274200,4552506000,501996800,5.902966e-06,0.01139848,2.513274e-06,0.0155798,0.008116857,0.02020289,0.0005045895,0.000108894,49.2849301043671,1.60287349948374,6.77729195221473,799918.240161387,53.3676080221421,240380.225024747,274.661585958066,0.117314025411878,514.5,102.984881797052,1016379,0.00166631452202816,4.31060408422288e-05,54.93499,6.0833101354962e-06,0.572210526507248,0.00575855063530195,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,2,50,10,2,50,10,2,50,10,2,50,10,2,2,7,2,2,5,7.720549,11.98474,0,27,717.6749,754.4341,479.4647,542.4004,648.6658,200.2808,672.0873,614.6378,14873800,7882245000,1835878000,15618580,6438167000,5554566000,4608649000,503709500,0.08155643,0.07772004,0.1036386,0.09624983,0.05849706,0.2202126,0.000537656,8.624077e-05,24.7739400619827,2.62265413986683,1.0348891935787,18471165570.0607,58.0137090174974,1649088.62040496,182.908933136208,0.0507285354881386,1.35143325082003,54.2422141495483,650724,0.00698651286681624,9.24949451212553e-05,64.62567,1.60900198443883e-06,7.8534414510878,0.0713740728675578,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,2,50,10,10,50,10,2,50,10,2,50,10,2,2,7,2,1,8,9.773351,8.428996,1,44,683.2552,768.845,568.2638,16.00098,821.7282,502.9347,255.2809,204.1088,8843828,1456152000,5234090000,8221491,1540970000,3560317000,2965636000,969646100,0.06236487,0.06865431,0.0211207,0.1017916,0.07479176,0.2235403,0.000479517,9.086196e-05,23.2686316647474,2.74191880573087,1.73318994662851,19177036957.7119,41.565927222267,1010996.82618827,252.363189152063,0.0471852158490959,-196.520441081712,62.534314074,639059.6,0.00409687480361561,7.77568963993361e-05,58.8267,2.27848339845977e-06,5.23779425029321,0.134439085587811,"R2R_Miller_PNin_2",180,5,2,50,0
2,34,10,4,16,10,4,50,10,8,50,10,2,24,10,2,50,10,2,2,8,2,3,8,8.039767,12.81766,1,10,250.5725,411.9725,80.8,56.00056,341.4125,198.5709,482.4948,540.6928,12835660,1384028000,5444817000,11707940,2160204000,1745744000,4899014000,2932197000,0.2116272,0.01154298,0.0007640682,0.2040872,0.008135131,0.09737874,0.000638384,0.0001135309,33.5610341367086,1.96843637606243,1.64337884484486,433769542.733342,57.3084261517172,832404.653811687,241.899372183972,0.0267356363357443,-98.3367092540551,64.1110158984877,694945.6,0.00469862308499336,7.09355644448163e-05,52.29813,2.60949236787934e-06,2.56612333256293,0.025713147329224,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,50,10,4,50,10,10,50,10,2,50,10,2,50,10,8,45,10,2,7,9,11.72173,11.18834,4,61,96.95797,1139.964,378.4,20.00064,449.2852,406.8295,180.8846,473.8874,11568080,8000044,3155326000,8145686,2690764000,3920482000,33458520,5000494000,0.1183674,0.0888104,0.02589039,0.07365078,0.1366732,0.1211424,0.0005440228,0.0001119628,32.0814216207393,3.07195735228841,2.52145599966809,311808002.716693,71.5538836770459,703470.041737424,285.466222117434,0.044523830477545,-108.657719530039,39.6668595762815,577406.7,0.0025444148146327,5.90757005736685e-05,55.92989,2.68278620865314e-06,2.46123116755511,0.0212406706250521,"R2R_Miller_PNin_2",180,5,2,50,0
2,1,2,2,50,10,4,50,10,8,1,10,2,50,10,2,50,10,6,41,10,2,5,8,11.46829,18.70195,5,53,345.009,628.4255,177.6,16.00074,424.5107,481.164,182.4855,575.1287,10473870,3033047000,1973522000,9835046,3065161000,6427836000,58529670,242198200,0.1244022,2.514877e-06,0.05023449,2.884254e-06,0.05697164,0.06358688,0.0005557736,0.0001828686,32.8371896653625,2.16418568303512,2.52517783810382,361513546.027865,70.0579773313706,630744.305995323,201.476965953927,0.0420485556920805,-94.298351742666,43.1753287863964,735954.2,0.00323829425615001,6.41780146973822e-05,53.53899,5.30037737885719e-06,2.56791166155516,0.02293220163964,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,4,50,10,4,50,10,10,1,10,2,50,10,2,50,10,6,41,10,4,47,10,9.744363,9.403861,10,38,344.9419,638.4476,177.6,16.00057,426.1235,482.4373,182.4855,664.9468,10107910,1058053000,52050070,8131060,3045628000,6424079000,58543370,14464960,0.1243718,0.05143105,0.05023449,2.74457e-06,0.06300367,0.02983136,0.0005891407,0.0001626686,33.6736303862586,2.50767331729342,2.24026940629785,127163559.843256,59.8392443908723,640649.825841966,206.522665359035,0.0340068305244576,-59.4893448952613,47.3052283753511,572334.6,0.00283861990680948,5.84615810692024e-05,55.04807,3.20303990170998e-06,0.95000188417638,0.0221776626001291,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,2,50,10,8,50,10,2,50,10,2,50,10,2,2,8,2,3,7,9.469671,13.30313,0,9,653.6796,702.2137,203.2,712.8009,694.8071,761.4556,627.2833,371.2249,14909150,2547943000,7966470000,13558890,7072185000,238457500,4204880000,1706608000,0.1307854,0.1241655,0.1418854,0.2209885,0.1628718,0.1884312,0.0008082969,0.0001647889,24.4889123419234,2.81287971280886,2.01236305126505,6238926413.3097,44.3396038859261,1215455.84311114,237.458358777449,0.246150947882999,0.587941180664593,63.8746770691324,869549.6,0.00480115266285997,7.61869607946497e-05,59.1087,5.56681639566179e-06,2.61618974371266,0.116977322642981,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,6,50,10,10,50,10,2,9,9,2,1,2,2,2,8,2,1,5,7.896313,8.502479,2,50,439.3863,449.7646,196.8,247.2005,401.4159,159.9245,454.5578,101.0016,8321956,774854300,2003986000,9018758,2061044000,2651557000,1966373000,3473845000,0.02131834,0.1134258,0.1297827,0.07844638,0.002777845,1.787484e-05,0.0006466083,8.060619e-05,37.4254251559621,3.2953400602453,3.2820447319268,328504211.961016,48.8891636064957,503994.006466106,266.043389049606,0.0336095628551097,-168.825329177562,86.4405799305256,501960.6,0.00169934917271091,8.79062833034587e-05,30.45155,8.63330601312624e-06,6.89465369967703,0.0226107408348648,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,6,50,10,10,50,10,2,50,10,4,50,10,2,3,7,2,5,10,9.709193,24.33823,6,61,285.8797,808.6512,391.2,272.801,423.5153,795.1491,328.9032,412.2357,9647593,2815449000,4176206000,8235379,2437967000,5761343000,6873713000,4764089000,0.007995549,0.07135934,0.05671712,0.07461338,0.1244389,0.2011081,0.0007581613,0.0001763497,38.671021460397,2.34728022982348,3.05920651547543,68198338.9807603,64.6809394765431,852337.437864727,284.104401896556,0.0427326602347117,-91.5071631818521,73.529939797251,1110850,0.00403463372457533,7.10137170634275e-05,29.39861,4.03689135735191e-06,1.89401662560208,0.0179218854998018,"R2R_Miller_PNin_2",180,5,2,50,0
2,43,10,2,50,10,8,1,2,7,50,10,10,50,10,2,1,10,2,1,8,2,1,9,5.223133,14.94385,17,41,157.9731,380.133,167.7981,168.8007,1035.445,71.82383,25.03394,224.7862,23185420,1086744000,3048907000,8310302,25244500,2109879000,2799755000,1244864000,1.044262e-05,0.004733965,0.02594104,2.898762e-06,0.007608352,0.01401803,0.0006525158,0.0001268572,31.5887398849543,2.25832677900372,5.3635325579457,221405141.05017,36.9651891335366,563066.26942336,259.287469494767,0.102368744818666,-2.59058924388517,43.0915223383625,1337284,0.00277032178896704,4.86757041580348e-05,66.81865,1.92167598668356e-06,0.821496567387502,0.0234069833221948,"R2R_Miller_PNin_2",180,5,2,50,0
