MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,20,4.99,1.5,20,5,2.5,3,4.76,10,20,5,10,20,5,1,20,5,0.5,7,4.94,0.5,1,3.422368,9.790505,11.92529,10,40,358.2123,376.2022,121.5622,188.9023,916.3566,153.8508,316.2184,499.3827,28885890,903217200,299626300,8335636,8987293,5271663000,1184503000,1475209000,4.391565e-05,0.07204635,0.2010805,0.04862719,0.2286442,0.06740483,0.0007355673,9.394211e-05,65.2876228453628,195.243114288531,167.174610443391,3649.61916716495,65.6705006969064,1612868.9644757,159.110845416018,0.0838925882876906,-65.4990708833031,108.482313444752,1381000,0.000242965405758056,9.28445356740228e-05,41.05525,1.15556471134981e-06,1.87769478021189,8.7619109216952e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,0.5,20,4.98,8.5,20,5,10,2,3.93,0.5,1,0.438051,0.5,20,5,0.5,6,4.47,3.5,20,4.97,7.60743,12.85501,11,52,61.36903,350.4348,438.0389,120.4176,229.7354,610.8851,270.6237,551.5353,11355850,7041938000,1655149000,11269420,3213849000,462001100,2225470000,11440780,0.03994091,2.468382e-05,0.03270144,5.543115e-05,2.828683e-05,0.04249356,0.001476383,0.000103239,78.8188848916294,136.34481213208,185.324351036907,234.894592380857,104.064205972602,1326406.26390168,126.875704721196,0.103783296962974,-62.0560294248538,101.721286382565,1802895,0.00028612712378446,9.27211381822888e-05,35.73734,9.11547630513126e-07,1.38167274594545,2.39586455499374e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,5,0.5,1,0.4626775,7,20,5,10,20,5,8.5,20,4.99,0.5,20,5,0.5,2,4.04,0.5,1,1.631234,8.982039,15.12018,7,41,175.7555,154.007,532.4779,16.8997,775.2449,383.615,128.8049,159.5812,9095806,3184841000,463892100,8387931,9421421,1971943000,4027161000,2238140000,0.1034076,0.16085,2.523405e-06,0.0287227,0.003986095,0.07632348,0.000695964,7.566677e-05,64.7333721922842,303.478052841,86.6928602316086,36299.0908789339,66.21847785416,2945736.85721086,168.596048075719,0.510149668623154,-107.499479827279,86.856938044856,841492,0.000285487924146936,8.29132303875072e-05,28.69456,1.209998999999,1.75865435839817,0.000443519321564723,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.93,0.5,20,5,3,20,5,8,20,5,4.5,20,5,0.5,20,4.99,0.5,4,4.23,3,7,4.56,8.557804,16.07951,3,5,404.1973,619.5812,416.9552,391.2993,188.3162,333.5449,522.5039,448.3122,15026350,6400147000,1113498000,13043890,178440400,2650085000,1885336000,4875228000,0.06727271,0.02129883,0.1406655,0.06242203,0.1746461,0.04795651,0.0009562343,0.0001106633,92.0669481730434,303.726437093695,156.99266803557,3721.92868181817,87.0170613843366,3132498.31490033,143.954397487538,0.0296127879251777,-96.4759204082984,91.1746753790345,1619152,0.000303339756199755,0.000105140958310925,25.74184,3.65619339301586e-07,1.76423292045086,0.000179630233529626,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
1.779704,20,2.422823,1,20,5,1.407673,3,3.78,10,20,5,10,20,5,0.3091516,20,4.973266,1,9,3.627864,3.5,20,4.5546,8.690469,16.94549,24,8,111.6276,422.8307,247.4535,167.2994,857.0902,76.81256,434.4099,419.7538,101890500,578305700,978774700,8416152,238165200,1015441000,262914900,482177300,0.0001349631,0.007163391,0.01024638,5.457878e-05,0.002233533,0.08038054,0.002180709,0.0001771903,79.2734915615005,253.579442029769,185.696746412825,2232.72818095371,85.8491410783524,2695327.68274253,155.435149274771,0.0639960587238272,648.5,93.4821150727987,1973794,0.000312621334661537,0.000111297412922583,46.54353,7.02925768613673e-07,0.772228185865778,0.000189008949636915,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.86,0.5,20,5,3.5,20,5,10,20,5,3,20,5,0.5,20,4.97,0.5,7,4.65,0.5,1,1.843554,8.557804,13.64667,6,58,324.2137,675.027,304.9444,313.6998,258.8368,290.8233,454.4488,174.3956,13199070,5120186000,890824200,10800130,148597500,2194735000,1566390000,3170539000,0.05386163,0.01703913,0.1125324,0.04998138,0.09831044,0.03705438,0.0009967988,0.0001025748,75.6908971784156,293.263151769015,171.688476942443,2610.15262570236,76.3290231549971,2740973.20193751,146.23592353796,0.164751992967149,-134.065117140709,102.538725974875,1604680,0.000274895971056098,8.67720464731931e-05,21.66634,0.0270007139632801,4.86817365027245,3.99713104731747e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.86,4.5,20,5,2.5,20,5,10,20,5,3,20,5,0.5,20,4.99,0.5,8,4.47,0.5,2,4.3,8.551507,17.85337,10,12,324.2143,274.5563,488.7054,313.9476,254.8115,303.7569,462.2139,392.1348,21483980,5120500000,8021403,10984040,151018100,2228307000,1572450000,828332600,0.05389918,0.0170394,0.2131725,0.05000899,0.1397932,0.03841388,0.0009305817,0.0001377976,102.069640950916,303.091940123403,188.722623317982,58.4288790667514,101.450212222225,3402615.84500931,144.856035852843,0.0297766260832472,-36.426786,101.822431398189,2118666,0.000330186730063409,8.73582919608594e-05,28.44237,3.93012556766832e-07,0.659450215200291,1.98819533836492e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
3.313557,20,3.809051,1.65673,1,4.985794,1.483266,2,3.632648,10,20,5,3.598815,20,5,0.3112179,20,4.955009,0.8243892,13,4.599885,3.157338,20,4.683617,5.785537,13.59586,45,62,17.3253,489.647,182.73,16.89988,836.0305,178.6941,284.6313,274.5612,54159570,409732900,282459800,8364062,55880050,2818400000,623820700,852676900,6.348695e-05,2.54095e-06,0.07431693,0.003100701,0.03676414,0.01622278,0.004758375,0.0001409054,105.440590801566,364.726462830096,340.698184684835,81.6476421618497,103.33243352208,3195761.64247162,128.617322791737,0.0633404119571311,544,99.7010261798007,2985224,0.000257708170542715,9.14618567836621e-05,45.77556,6.90996742054018e-07,0.506231025517998,5.58037486346752e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
1.305893,20,5,10,20,5,0.621032,1,4.57,10,20,5,10,20,5,1,20,5,0.5,8,4.410137,0.18,1,3.594901,8.018813,12.15981,14,25,175.5941,377.9931,673.0238,80.10073,882.4322,132.2805,248.0993,231.3754,101768300,372738500,8000000,8340813,9000810,2375117000,840979700,4163192000,7.797355e-05,0.02458359,0.07295354,0.0200408,0.06604415,0.008912128,0.000927273,0.0001282811,74.8764249629443,268.470885704591,227.112701611747,382.089642277376,80.0114989745153,2063091.05289344,154.932466633369,0.0680016103089678,-7.77138999999999,105.712587967066,1745270,0.000226017612506708,0.00011558026367809,41.46755,9.47469434527115e-07,0.331134492679102,9.36212870202846e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.93,0.5,20,5,2,8,5,10,20,5,3,20,5,0.5,20,4.99,0.5,7,4.65,2.5,20,4.94,8.557804,18.02653,12,19,260.2841,624.2021,339.4423,252.1001,317.0955,177.4128,398.7668,419.0508,26342780,363218300,712638700,9117278,14888690,1861337000,84831040,13115190,0.04314947,0.01363154,0.136155,0.04134397,0.09891467,0.0307621,0.001148982,0.0001485683,101.376743655482,286.844926179589,230.158418496522,86.8100038857854,100.25406390354,3235315.44481462,139.541834429679,0.0701769106750914,-28.0304453421787,107.679933071965,2595950,0.00033173442486697,0.000100000607439904,32.83476,6.39695475679845e-07,0.810370427762844,2.49259296617454e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
