CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
9,0.5,2,0.79,0.85,16,0.932,0.85,13,0.1,0.338,17,0.952,11,48,0.435754330565409,0.0601265752586982,0.50406296036336,0.483188081627676,1782606708.25764,113590674.067289,774923480.439777,1040573854.06248,8.68441916165677e-05,0.000189179621629916,6.80520414060169e-05,0.000193693006014299,-6,2,-2,-15,44.9877033180887,127.863379736699,355.995790862687,432.534885898165,35.6048525719401,6565054.04557369,10.4017683112056,0.380191613599846,-20.8814962308467,47.3483857969274,18278350,6.33880084448382e-05,0.000236537679459462,80.00902,0.380191613599846,2.88350097547185e-06,0.000527220906980597,Cascode_Null_Pin_1,22,0.9,0.3,1,0
10,0.85,14,0.735,0.8,30,0.112,0.85,9,0.191,0.263,30,1,44,35,0.344341193453791,0.075280308461937,0.511971877389799,0.429521359767272,322899235.23196,225716286.075714,712898394.927175,1015944469.42257,0.000140294967121311,0.00017283358994964,7.39584028268171e-05,0.000238503574520851,-2,-15,-15,15,58.6807911529147,146.333937148299,416.091407273751,505.551059837607,39.4827456773891,8357099.40396385,10.3677528905737,0.352705034221924,391.700000000001,46.8569773970991,23762890,7.05059050048271e-05,0.000529528096739047,80.61032,0.352705034221924,2.74817156920099e-06,0.000454262750210599,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.795,30,0.1,0.8,30,0.112,0.85,9,0.191,0.263,30,1,68,37,0.408075204937692,0.0752348634528883,0.511363435803751,0.429416170039014,615406141.949825,225261690.795004,711529357.033884,1013921158.92555,0.000103989521571675,0.000172329516906044,7.37771087746544e-05,0.000237894808407799,-2,-15,-5,15,49.3153898696001,149.776111506759,416.24330820676,505.735619471213,36.4684520662175,8532312.82215403,7.52318416629555,0.347235976289391,385.600000000001,46.8838749968796,23712180,7.03297703989872e-05,0.000528783344652696,81.34361,0.347235976289391,2.94322975059824e-06,0.000482896644593167,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.85,30,0.101,0.831,30,0.1,0.803,24,0.1,0.174,30,1,58,33,0.415631912484877,0.0770680800605598,0.43341264667712,0.396794076942296,549798614.258224,216565650.370195,675390178.503616,1466082690.22443,0.000101005316439592,0.000168600625572993,9.58209858814257e-05,0.000243377706558014,6,-15,-2,-14,63.4988683384472,142.636891903779,427.483646317644,519.392630275938,48.6792679735086,8120827.43592548,7.235288522236,0.354770591854393,383.900000000001,46.8459264445794,24338170,7.02883577316159e-05,0.000517370097488435,80.46682,0.354770591854393,3.57468087199914e-06,0.000426601555632622,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.613,14,0.735,0.8,30,0.1,0.833,24,0.1,0.179,30,1,53,32,0.316447888602882,0.0764314821561914,0.440554561351234,0.40031996139877,552882206.683309,230592128.639081,642327048.962945,1447542844.86121,0.000158689900716181,0.000172260120552881,9.53164649584867e-05,0.000245540710019222,0,-4,-9,-5,77.5993196451419,145.949592802507,425.716056710866,517.245008903702,50.4176249683915,8390173.74569283,9.05541605891193,0.352873135905425,383.800000000001,46.8702200076502,24473050,7.09713469788828e-05,0.00052509075980246,80.09904,0.352873135905425,3.47346965592604e-06,0.000412543805107191,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.85,11,0.735,0.8,30,0.112,0.85,9,0.191,0.263,30,1,47,46,0.362133853040611,0.0752631957637967,0.511747550174776,0.429484398737245,361590890.591076,225550430.552271,712393717.978164,1015240785.24958,0.00012987978295825,0.00017265047355309,7.38915657657775e-05,0.000238291798761881,-2,-15,-15,15,56.3597002769853,151.810933879432,416.126942170682,505.594234737378,39.0050213351578,8662596.99359526,9.61749967507148,0.356689939020416,375.500000000001,46.8671476291563,23744930,7.04466003622466e-05,0.000529187723265173,80.70587,0.356689939020416,2.71409038381298e-06,0.000456718649263887,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.85,26,0.388,0.8,30,0.112,0.85,9,0.191,0.263,30,1,48,46,0.344065265935893,0.0752875716045757,0.512095480424533,0.429538970088091,320239987.750726,225795862.854307,713176431.2505,1016181773.12046,0.000139474190797024,0.000172922942814557,7.39952274047404e-05,0.000238574882198518,-2,-15,-15,15,57.9662267968196,173.145497111351,416.086701560216,505.545342395663,39.3440802452347,9890981.12037095,10.3012960349657,0.356882686309396,371.500000000001,46.8501906206771,23769060,7.05250093513786e-05,0.000529770345464715,80.6388,0.356882686309396,2.69890501553238e-06,0.0004547691684198,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.85,11,0.597,0.8,30,0.1,0.85,9,0.191,0.263,30,1,53,50,0.378102720631002,0.0762890541359062,0.511720548899807,0.428401022286682,395000567.497542,228977677.376746,712332966.281967,1014659620.77598,0.000120424747133815,0.000170559723914477,7.38835205279469e-05,0.00023814242071841,-2,-15,-15,15,54.0360863715002,153.959862967977,417.518801102118,507.285343339074,38.0204838370704,8781895.50568044,8.95309443712061,0.356712371569405,364.600000000001,46.748146850504,23815340,7.04199529299675e-05,0.000523683454230812,80.7216,0.356712371569405,2.71970165324348e-06,0.000472435650266001,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.613,12,0.637,0.8,30,0.1,0.833,19,0.1,0.179,30,1,66,44,0.335428952533253,0.0764008813581207,0.466885812879819,0.400284749917889,635542199.892825,230313807.016149,712387756.481152,1444402087.62084,0.000145291292012166,0.000171974994527981,8.64184291868657e-05,0.000244923903075294,0,8,-9,-5,71.8647694190691,146.055135946852,425.645683515418,517.159505471233,46.1449469918644,8384113.05738028,8.25781908254232,0.354546887499711,364.300000000001,46.908846990962,24433660,7.08688317864414e-05,0.00052350907777784,80.25305,0.354546887499711,3.18454535455759e-06,0.000361602854771825,Cascode_Null_Pin_1,22,0.9,0.3,1,1
10,0.85,11,0.735,0.8,30,0.112,0.834,9,0.191,0.29,30,1,68,50,0.362133850391361,0.0752631991225228,0.508420157175754,0.435511111806602,361590884.753514,225550432.457799,735607020.455978,912550236.989124,0.000129879779949329,0.000172650470727289,7.46929256902588e-05,0.000235876171632923,-2,-15,-15,15,55.6339649394173,159.726766881401,411.713850719408,500.232328624081,39.337317414409,9114155.84059551,9.69852009329258,0.347458834928641,360.300000000001,46.7219868017018,23492770,7.04455769520683e-05,0.000531606633777303,80.97741,0.347458834928641,2.78985722949765e-06,0.000437052536709615,Cascode_Null_Pin_1,22,0.9,0.3,1,1
