RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.641,0.837,13,0.951,0.619,30,1,0.554,30,1,0.85,3,0.934,0.717,1,0.935,0.85,1,1,8,2,5,17,0,0.156272292259778,0.527862256912462,0.0944512153549499,0.4619874010757,0.299964927770257,0.0944667544121538,591060879.729299,221272384.460556,425482056.84573,946657374.427334,845897183.021028,425537630.81812,0.0001680202809239,9.09553536750932e-05,6.91625114700689e-05,5.09429042494028e-05,0.000770260879960626,6.91687141228991e-05,5,11,13,-2,4,-11,64.0074967932998,45.4119403831798,421.643220629238,51.2296513064524,63.9106005878306,379318.09493359,104.789356310648,0.00851252578807508,364.300000000001,150.317001843879,3521913,0.000103121324570379,0.000165711213980488,63.29032,5.14244544836057e-07,1.08314275487909e-07,9.91166403979671e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.22,0.85,17,0.95,0.72,30,1,0.85,30,1,0.85,13,0.99,0.85,1,0.97,0.85,9,0.94,8,2,7,10,21,0.181091823753698,0.667447508036199,0.109344852173576,0.322516472196735,0.299888885642685,0.109360515107408,542083848.933833,223418023.161357,385838052.775527,373555573.137467,811650393.77809,385883193.562588,0.000206750534037249,0.000124355204828931,8.52048103473242e-05,0.000117657426364295,0.00095043977708629,8.52115941837913e-05,3,-4,15,1,-1,-2,73.7123735396573,41.195573070214,368.001751880353,44.7122128534628,74.1774645826053,482037.292683397,105.309529483328,0.0106429953275915,343.050000000001,148.640048366674,4306059,0.000144459155290941,0.000163864933401728,77.49985,3.87221617041038e-07,2.38166694143949e-07,2.2482152699177e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.967,0.85,30,0.982,0.659,30,1,0.432,30,1,0.85,11,0.982,0.688,1,0.92,0.85,30,0.993,8,2,11.9,13,13,0.205190131084386,0.706887938446176,0.123029388553419,0.283091078893483,0.299876468593758,0.123041032667534,1002630417.70545,215122568.158624,707077198.919696,254264513.481322,1207388426.29264,707132904.870501,0.000315186834436478,0.000213632635010458,0.000129692999007128,0.000229519037522945,0.00141693136362297,0.000129699979402034,-4,-3,4,-9,-13,-1,64.9975494643318,39.1205935284347,467.185180998219,56.7629994912836,64.82781714514,775069.692019255,105.328501935611,0.00838084589042326,342.900000000001,148.869883266107,9256022,0.000244596535144906,0.000193078291765562,79.63217,2.43065715295216e-07,1.49461957116015e-07,7.74550262128137e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.568,0.85,28,0.99,0.505,30,1,0.44,30,0.994,0.786,5,0.958,0.85,1,0.951,0.85,12,1,8,2,7.42,13,14,0.186561722342479,0.682845518137961,0.112025823959186,0.307130590763988,0.299943346643443,0.112042049951026,565177565.760382,175813986.6435,400762595.818805,321146468.716522,1386543747.1211,400810180.898264,0.000214000129046557,0.000146383771799324,8.81279515231058e-05,0.000132507275480262,0.00109252418088833,8.81350676523966e-05,-14,-6,11,13,-1,0,64.8904914821698,41.2580771132007,444.010750750741,53.9473062162151,64.7648401053698,510555.319834797,104.947470526926,0.0105856185216964,340.900000000001,149.957957966664,5494489,0.000152773772743499,0.000183430898303487,67.04668,3.79400711384217e-07,9.01866669611451e-08,8.69712380502374e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1,0.848,30,0.966,0.749,30,1,0.415,30,0.999,0.85,8,0.964,0.85,1,0.92,0.71,23,0.986,8,2,10.2,17,9,0.211208337270709,0.710487177557791,0.126026965514598,0.279491017068554,0.2999030944214,0.126043618343272,681718216.657906,201533582.267803,479615711.645468,347753367.192692,925572081.085046,479668560.582775,0.000264446360498361,0.000188715600374963,0.000109056296869815,0.000198662802488962,0.00122157600462258,0.000109064437876442,-1,-6,-6,-1,-13,2,64.8655286639193,37.9297072863658,483.553383712099,58.7517361210201,64.5198707776879,643308.591640627,105.152453609034,0.00851942044937944,339.200000000001,149.393487635199,8201330,0.000209389471907003,0.000195662436995698,76.37013,2.90392948752976e-07,1.12977826891292e-07,3.29089102601987e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.419,0.835,30,0.97,0.453,30,1,0.523,30,1,0.849,7,0.988,0.85,1,0.92,0.786,10,0.984,8,2,9.2,16,9,0.20331344461749,0.663886571243748,0.12163273623717,0.32607918578788,0.29991743157393,0.121649479721035,644781180.08151,196551262.945046,454740640.765636,445264215.865138,1806198316.81232,454792578.906931,0.000246230879491116,0.000176142416275404,0.000101496052139455,0.0001529347404944,0.00132147655451948,0.000101503915567465,-7,-3,-6,15,13,-6,61.3331196419114,39.0326518597125,414.366294315021,50.345504759275,61.0027871213146,597688.057936182,105.020376365732,0.0100937513214336,331.400000000001,150.515480134746,6344990,0.000189043392165944,0.0001986457640816,65.36807,3.17415065126045e-07,1.57895263105112e-07,8.25322137648632e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.574,0.847,30,0.998,0.505,30,1,0.44,30,1,0.85,3,0.973,0.85,1,1,0.85,1,1,8,2,5,11,26,0.16214069145208,0.527743094656908,0.0976187651964746,0.462113162516664,0.2999948217375,0.0976389895176846,447380922.730934,138400317.167406,320617630.459952,947271330.364324,1126258541.05081,320670762.677422,0.00016314864789545,0.000107979012187491,6.71870189847682e-05,5.09858212636517e-05,0.000810567984977209,6.71946142874124e-05,-2,-5,-10,-3,6,14,65.4327944780846,44.0034878147273,449.046379025075,54.5591350515466,65.3616201234123,367326.890399817,104.820219328143,0.0119817620445155,329.800000000001,149.248738235148,3748494,0.000103057737163313,0.000170494242154195,66.6554,5.26087927148026e-07,2.85642689850096e-07,1.74801815956971e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.663,0.849,9,0.952,0.742,30,1,0.581,30,1,0.798,2,0.931,0.81,1,1,0.85,8,1,8,2,5,16,10,0.159072638786409,0.682385250229494,0.096131816313541,0.307581646652713,0.299962971403299,0.0961504200367502,478822166.875995,257943915.698584,344100019.718064,322492004.0328,651747749.02194,344153130.061174,0.000165183592683439,8.20973955048526e-05,6.80474203444798e-05,8.89042061250856e-05,0.000733805765700499,6.80545999318471e-05,-1,0,15,-14,0,-11,61.0759672359773,44.8166672287351,434.445387367917,52.785114565202,60.8482085931007,373884.424126527,104.827793261139,0.0099488294752056,329.600000000001,150.081843813334,3624374,0.000102994206695991,0.000185288459711737,58.01197,5.1989182148313e-07,1.62712144984589e-07,1.41342927618138e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.22,0.85,28,0.99,0.505,30,1,0.44,30,1,0.786,5,0.958,0.85,1,0.915,0.85,22,1,8,2,7.42,14,14,0.189002493281114,0.715117970695255,0.11342064053646,0.274865962949935,0.2999431370279,0.113436514541322,576739932.879861,175681077.238727,408574849.208272,232776592.861622,1386543735.79848,408621805.210616,0.000211652488683218,0.000146090831793256,8.71655383175744e-05,0.000147735083593153,0.00109252419367074,8.71723494833683e-05,5,6,-13,2,-7,8,64.95747848352,40.5850778828614,423.092331519458,51.4057182796141,64.8166792131111,502090.254500246,105.043685055314,0.00971614824887038,329.500000000001,149.603752299969,5234203,0.000152732123249284,0.000163885363145725,81.32041,3.75632863552954e-07,8.96220821744453e-08,8.54512706760513e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.739,0.85,20,0.968,0.618,30,1,0.156,30,1,0.85,5,1,0.85,1,1,0.639,1,0.968,8,2,6,13,28,0.172036652009954,0.536381819349581,0.10315678312011,0.453422019357369,0.299945812314846,0.103175271947292,493063538.538119,189420992.152304,351254179.334599,1609001770.95615,932607878.462643,351305076.806133,0.000186548140495444,0.000115480234176814,7.67586123186417e-05,6.29763318980061e-05,0.000883915820356082,7.67661891713699e-05,14,-14,-12,-5,-7,1,88.9257125763564,41.1550469128931,470.599460093169,57.17783440132,89.5346972433114,412326.643978249,104.781859613198,0.0148322326854,326.4,150.385876705076,4714870,0.000123689626829181,0.000178006322974314,62.07865,4.70220323411019e-07,2.45203202750566e-08,1.07856996300892e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
