MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_25_1_L_gm1_NMOS,MOSFET_25_1_M_gm1_NMOS,MOSFET_25_1_W_gm1_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS21,VDS25,VDS6,ft21,ft25,ft6,gm21,gm25,gm6,gmid_offset21,gmid_offset25,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,11,0.703,0.176,21,0.694,0.635,7,0.3,17,82,13,0.685396173733268,0.123703246719712,0.131971460587893,1802192403.47301,3989593919.69183,3885453716.96867,8.45764025040473e-05,0.000339535660689208,0.000325418564884741,15,-15,-11,36.7284246962245,16.1981335599626,11.4778848549244,3099.02891082958,36.1594732219069,402839824.938721,3.41050201583286,0.0038872544993114,294.8,45.327974018299,285449500,0.000138164006312991,0.00115674963573371,48.11831,1.2609569513612e-08,2.18765002344867e-05,0.902427494693536,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.992,8,0.921,0.155,21,0.464,0.64,7,0.3,12,82,16,0.620681401662617,0.145121690866775,0.152885436090174,1552769190.61345,4563003615.3347,4398020426.11765,7.11231177806508e-05,0.000242529797141776,0.000230522383536532,-15,15,3,40.6483104423029,19.7094436496654,13.9024805331644,3753.66974395438,39.7749365974501,346743365.237752,3.18800501881663,0.00440158123310736,291,45.6518532101218,244582900,9.77375142261473e-05,0.00116264851810774,48.08536,2.78226426964201e-08,2.07672350708282e-05,0.902573333156997,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.973,14,0.55,0.15,19,0.571,0.595,8,0.3,12,67,23,0.587447900610146,0.153690446879849,0.161773374364321,1647857617.16718,4469542093.2346,4274880766.09729,7.91535701310719e-05,0.00025160565562062,0.000237284592579977,-15,-15,-15,42.4865073417262,18.3815103796799,13.5742005092531,3665.03413749833,41.2985550055166,324467188.337653,3.24768379002636,0.00492918038065102,287.6,45.287288191083,239609400,9.80656895723564e-05,0.0011920750781115,47.97093,3.19966917230102e-08,2.07962483222568e-05,0.902845988421008,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.988,10,0.789,0.165,21,0.61,0.655,7,0.3,17,86,7,0.691900555833435,0.126737542384541,0.134978683750732,1718824028.79344,4522772271.45191,4404379973.58631,8.31979255004609e-05,0.000331963015763518,0.000318387383396673,-15,10,-15,36.7938113850772,16.6503504788976,11.6066463838608,3133.79452364243,36.2476681309837,413891090.052019,3.35923652040162,0.00393491638944337,286.8,45.2720586628033,288515700,0.000138098891530701,0.00115776826327124,48.36766,1.23094240200151e-08,2.22168280431295e-05,0.902450429993914,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.13,0.161,21,0.622,0.591,5,0.3,9,87,14,0.615988949001538,0.123120793690703,0.131364156556916,1789009726.51467,2948307262.0627,2828056881.30915,5.43213943573555e-05,0.000197283417852216,0.000186386571709352,1,-6,0,38.1520442865587,21.0088423940591,15.2647458655336,4121.48138369408,37.488488068426,277621920.025908,3.12561705907809,0.00443478044072106,286.2,45.5708194638129,201716400,7.34140402033801e-05,0.00112898262794073,47.22842,2.96487356559906e-08,2.25464404375358e-05,0.902545784305835,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.996,4,1.74,0.15,14,0.823,0.545,9,0.3,10,93,38,0.529456637798016,0.164380581010254,0.171616380820714,1652591823.39647,3916750706.5142,3727937455.94554,7.89915825513831e-05,0.000220269820285949,0.000207012574901571,-15,6,-7,46.6587898070565,20.1991439382835,14.9798664478033,4044.5639409069,44.8536436325169,297854000.170639,3.18307398594503,0.00458525372738124,280.6,45.5761234052196,220891200,8.19215136269313e-05,0.0011117812400579,46.64508,3.16822507496799e-08,1.82169723946884e-05,0.902716403282792,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.13,0.161,21,0.617,0.591,5,0.3,9,83,38,0.615988949001538,0.123465945036961,0.131709312895002,1789009726.51467,2963914347.83955,2843146687.57865,5.43213943573555e-05,0.000197026704253471,0.000186149960846251,1,-6,0,38.1831339342045,21.0516631619641,15.2674834267267,4122.22052521621,37.5163736323772,278187672.019943,3.1229116221885,0.00443866541665194,274,45.5656953419085,201752500,7.34140127023231e-05,0.0011299417055494,47.29562,2.96907769683809e-08,2.25445059784835e-05,0.90254805809041,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.992,7,1.25,0.155,20,0.8,0.649,9,0.3,22,100,44,0.690069582422769,0.129294556415766,0.137063250909939,1743529469.81818,4969903468.98521,4844878785.58891,0.00010751907448683,0.000430116525317626,0.000413756933851911,-15,15,-12,38.2590734511735,14.3378002229343,10.0686192820933,2718.5272061652,37.6390064882701,460874110.52322,3.5933688928358,0.00369374354941472,273.6,45.639292465198,323645600,0.000178577723592037,0.00106879357519681,46.6753,1.1271329415421e-08,1.98630444416892e-05,0.902297243476069,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.992,6,1.31,0.15,23,0.764,0.569,6,0.3,10,87,58,0.596734252273937,0.12121148399453,0.129400341890392,1836755199.46,2736012406.74132,2610199169.79491,6.3946885373599e-05,0.000227505925544188,0.000214137371573717,-15,4,-10,38.8772310850738,17.6660679824031,13.786278267565,3722.29513224255,38.1471307779895,259723631.49976,3.38483677597606,0.00447570396969068,268.4,45.6063761738787,202683600,8.16768658042533e-05,0.00105577570805582,46.63093,3.10291356827006e-08,2.19440995598752e-05,0.90257252289598,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.36,0.15,25,0.616,0.617,9,0.3,13,93,49,0.585434650950639,0.143437441705943,0.150785831804679,1529552708.92315,3630442769.35334,3478905941.46599,8.52901263077649e-05,0.000279054935955432,0.000264019999620228,-15,15,-15,42.4681040594913,16.7152478959154,12.6826867440279,3424.32542088753,41.4290720952162,318996039.515163,3.48366186648475,0.00421662223862948,267.6,45.9824721557873,242038100,0.000106022969600214,0.00106159118400164,45.87179,1.53295664907601e-08,1.9391715081748e-05,0.902471389953406,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
