MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.2,2,0.886,0.257,13,1.6,0.5,1,1.16,0.2,1,0.408,2.75,5,1.09,3.8,20,1.88,4,5,2.26,4.01,6.12,27,36,154.969583300603,43.6869294757025,58.3144675159813,6.13943255173567,147.491216805619,20.6702629988616,42.6860524892843,55895414.1972449,4339724305.73961,2817699417.29785,5753249.31631478,32990540.7261365,6939752340.40718,8433520847.4143,4.99604320261888e-05,9.1218057081803e-05,0.000855862219420701,0.000151629020256264,8.36963668433178e-05,0.000267897553514372,4.58546455569718e-05,29.3501357128684,905.917642880929,1021.47545313279,209.367325185992,28.8043563751556,1148610.56088568,74.7247830374903,0.0839987167572504,1102,77.7225243368164,1295126,0.000115263393664166,0.00032128915327802,53.70441,2.56542770874814e-07,2.9143166773597e-05,0.00381268628955128,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,2,0.708,0.2,13,1.6,0.5,1,1.16,0.2,1,0.355,2.5,5,1.95,3.8,20,1.88,4,5,2.26,4.01,6.12,23,9,169.90209846239,40.0589511756234,50.3405982525925,6.13548432963884,147.324187252639,14.0903098898747,42.399745660809,48670488.2838044,4836972512.38357,4322052638.49673,5767674.68623536,32394289.6146424,7407520505.95023,9058428690.93313,6.73949872659193e-05,8.33910178524414e-05,0.00107163088068066,0.000152116478478504,8.20171860142342e-05,0.000288342096479179,4.34167286175982e-05,35.1471343647138,771.29076891756,833.628600526157,34.4804130667049,34.4042436394978,1131775.78263527,75.2171203915704,0.0716652548721841,1239,71.4075893030498,1223249,0.000133398079762698,0.000316370058881184,53.02014,2.65407771249219e-07,1.61330142038393e-05,0.00167040596490936,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.1,1,1.66,0.2,1,0.332,0.3,1,0.816,0.2,1,0.12,0.6,2,1.4,3.8,20,1.96,4,20,1.96,4.92,3.57,10,34,77.0559999301653,29.1345161533875,45.2126331461753,5.65248394392542,136.110638406196,41.0188852469443,47.2084685062257,605938368.603479,6791647797.65859,4512889132.30309,3962053.77287609,10591904.6907407,1528780374.76629,12025485545.6031,5.48715296113045e-05,7.4127549543962e-05,1.75558739838338e-05,9.85223399581262e-05,7.87435000930276e-05,1.97368457028443e-05,2.08358074080531e-05,31.1127013795539,902.813289899316,1049.60543857155,142.091997698674,32.0622103265066,404092.610338202,82.0253936290464,0.120190685037341,-118.759521375,84.3280694422737,469795.7,4.06902426669243e-05,0.000448819633896605,33.44694,1.02260961385684e-06,4.3050894137065e-05,0.00350627925258989,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.507,1,1.23,0.14,2,1.54,0.439,1,0.983,0.2,1,0.35,2.33,19,1.66,3.8,20,2,2.29,2,1.37,4.58,5.52,23,53,183.648702978341,50.1842196006927,33.4572164844961,5.98497504583172,112.380062289515,29.745876450238,41.5344591511332,29067360.7941106,1396003716.01913,11169499888.6367,5216286.58582734,163741685.842123,6929873772.67879,9509326399.17819,0.000105198184650706,5.24432895081891e-05,0.000342525817659536,0.000142544170460287,6.13028381281793e-05,0.000197695078409701,4.53308976520339e-05,31.4913699284782,940.936014247179,1135.82020526661,45.8385647055021,30.919606420631,986136.088544641,81.5702221830982,0.0991100772177018,-0.345529799999996,83.8643292472321,1190382,9.52761228870233e-05,0.000306513171521323,49.82549,2.98821956135161e-07,1.12952641862171e-05,0.00404399065801792,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
1,2,1.06,0.7,9,1.98,1.1,1,0.402,1.5,2,1.99,1.3,2,1.95,3.8,20,1.95,3.8,1,0.492,4.62,1.48,10,28,116.983666332574,72.4398237347436,92.1163014409015,5.04994546157415,145.643018135494,7.32655357285332,147.585545417804,103515377.425911,190942408.10173,378188724.596457,2198228.07477596,88434840.5178607,1646074403.24837,107688809.528339,2.638802592495e-05,2.06834339980017e-05,0.000241655371373632,4.56395703377736e-05,1.01934388332604e-05,4.87610670304269e-05,3.47624100684362e-05,75.3672445896072,566.22901014563,2079.84247102334,0.00158001726083491,77.8059974971368,198183.702317552,78.3572294048226,0.0557610753774995,-82.02191085,81.2949235676415,727957.9,3.181875157907e-05,0.000115763926468607,27.82796,1.2899993256793e-06,1.11238674026654e-06,0.0002990756436278,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.4,1,0.703,0.2,1,1.04,0.5,1,1.14,0.2,1,0.405,1.7,5,1.91,3.8,19,1.97,3.17,2,1.37,4.27,5.52,15,10,136.413168893879,36.0542333309306,35.9308096815527,6.02825238006551,131.732963524237,42.6638923454155,41.7365863414126,84757133.1822392,2630578766.33755,8675664322.3187,5428302.70153505,104974432.787091,3654952026.22485,8883000898.55929,7.51060583104351e-05,4.66240676034925e-05,0.000122173268272418,0.000140280613367502,5.50741368490103e-05,0.000131902195543237,4.8420138426301e-05,36.3285109014562,836.014027778807,1682.56226162769,10.1054182905134,35.4314794905809,668283.144596609,76.1192538061166,0.310405898794231,-8.39565292499999,90.4176849605805,1344987,7.26698489815536e-05,0.000291841831005845,45.80214,0.0418007974642251,1.01838224232245e-05,0.00293995881651343,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.3,1,0.338,0.2,3,1.71,0.8,2,1.75,0.2,1,0.915,2.1,20,1.99,3.8,16,1.89,1.9,2,1.59,4.18,1.79,10,16,99.2769792774558,60.0731808266126,49.2265703003066,4.56302711249408,74.8839639672234,41.0078690108457,49.2028588622258,12865613.606025,3029018510.44909,4703796585.96129,2741967.90992847,81989513.5651599,1136063393.56574,4382964224.80381,3.8045759150406e-05,1.88909993535474e-05,0.000282804311099147,4.32489197563837e-05,2.58654528218727e-05,0.000197115579342876,4.63515215846038e-05,49.3058755619845,892.292930403634,2546.1547172742,0.13085520031857,49.3976203764947,447101.658734414,77.7265810389213,0.0778621698221203,-49.1463918,105.7456934529,1275803,4.55518630200353e-05,0.000309446719680309,38.47619,6.06418943497656e-07,3.45893183305163e-06,0.000804347179537535,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.9,2,1.78,0.8,10,1.87,1.1,1,0.592,1.75,4,2.26,2.01,4,1.73,3.8,20,2.02,2.7,1,0.12,4.62,1.48,13,33,105.079626518721,83.4418704553527,95.0199893100929,4.44098260416995,66.0930474711632,16.9301769630872,145.889353053956,35040560.7566161,166968710.901383,219310290.584503,1912362.8416178,228458351.118863,999246514.977494,54495921.1327631,2.29632139111546e-05,2.45042187055423e-05,0.000149955074489279,3.60446361098087e-05,5.80166308309023e-06,4.36620848150128e-05,4.21698701850019e-05,83.5762692366058,963.071191504269,3714.64051146603,0.000162970843227349,79.2372953262903,268719.754708661,79.171944525823,0.260026775701191,-29.031849,110.593746673103,1036473,2.53657972799718e-05,0.000153200970038446,37.8051,0.00435305675019514,6.64196502764558e-07,0.000137920452559837,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.4,1,0.703,0.196,10,1.02,0.5,2,1.83,0.2,1,0.541,1.62,2,0.398,3.8,19,1.97,4.3,1,2.02,3.54,5.61,29,29,94.6117458064427,33.2629898321317,36.4057860770191,6.04120041021574,154.613181631986,30.5683709222737,44.3008198985278,319758791.625894,2505106549.36881,8585242032.79932,5416552.57607077,77125307.7396394,6172337677.72052,6852364252.55035,2.59777232621016e-05,4.41989471412959e-05,0.00115957832859493,0.000139876465479555,4.0938732266835e-05,0.000738468205373646,4.73849477317817e-05,24.5343666348616,1036.82265792033,683.912860068996,5258.72329039978,23.3724728883031,2187421.20508726,69.8764120429777,0.0596798784214088,1198,73.3408549617499,1442875,0.000191794104489016,0.000315278752940252,53.52812,1.64336148644294e-07,9.92604265303393e-05,0.00744559721478255,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.34,1,1.43,0.14,1,1.73,0.5,1,1.14,0.2,1,0.35,0.253,12,1.89,3.8,20,1.98,4.7,1,1.37,4.5,5.52,24,63,63.6283105092511,33.8260767200518,36.7931289267849,5.76810716210028,154.176973109775,43.7807927043966,40.6978374463904,691364721.670941,2275011742.65454,8881122577.44713,5453564.37580786,83855474.77704,3202073738.54701,9845995263.58979,0.000154753290596901,6.6423898214943e-05,0.000146258578810044,0.000149694195435043,3.36431744024337e-05,0.000114324391258943,4.72280629863738e-05,21.0338048065982,1207.39111469515,1328.18389576953,2368.47304510621,21.167724342238,1100319.17257985,77.5505043181539,0.124570502480141,531,73.3123701947648,1210400,8.28472352261207e-05,0.000283380257417502,50.08332,3.31018093673528e-07,3.20990279155176e-05,0.014736418511929,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.546,0.2,1,0.789,0.4,1,0.803,0.2,1,0.12,2.91,15,2.17,3.8,20,1.95,2.1,1,1.87,4.04,3.14,12,34,225.251122044027,33.4749210906718,41.6872460763017,5.63767743173764,110.753707621516,42.0289218537265,46.1573891215906,15233850.8797306,5998318545.61094,6115803451.42888,3636966.46444645,171603770.917653,3170077926.82905,12485843221.3738,6.73948641869233e-05,4.20932818997041e-05,6.12916926206318e-05,8.77420456727313e-05,3.96005975805818e-05,6.2834295214702e-05,2.17725487290355e-05,31.7057795658396,1393.74231506839,1516.67817800931,44.7051825272472,30.8531428878345,586057.364502736,78.7604862859543,0.0765215651517921,-41.3617743,91.7862792927821,637750.9,3.82265370373772e-05,0.000437487905511086,47.22267,3.27079251069504e-06,1.58765613724754e-05,0.0043359790242718,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.4,1,1.77,0.14,1,1.26,0.5,2,1.14,0.2,1,0.434,2.33,1,1.69,3.8,20,2.04,2.7,2,1.07,4.48,5.52,24,57,123.869980123762,51.9037324179949,36.866738867694,5.97650372927566,118.6904270526,49.354581532689,44.2368890599171,117393228.5434,1651348521.70661,8667472249.07574,5078705.5225412,149960315.657744,1606100703.29792,7467604058.94142,2.83121336895149e-05,6.86596066773608e-05,0.000103128332846006,0.000140507527247585,5.28261152233504e-05,0.000106769466606418,4.21538727454812e-05,23.609674045182,1463.31439314188,1432.58884262935,844.020451586127,22.9650393974565,1065940.80545121,77.5193885424801,0.133461826647093,578,93.5574483884399,1043559,6.62220709648128e-05,0.000245640843266528,55.60026,1.62849548266363e-05,6.63709482715391e-05,0.00821979931459166,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.244,0.1,1,0.743,0.3,1,1.02,0.2,1,0.562,1,1,0.12,3.8,20,1.96,2.1,9,1.56,4.18,3.03,12,21,58.929898199986,33.6242077035712,24.6880803803194,5.55491070133156,100.055628996429,39.5192361761884,47.3853149848076,1403720778.96212,8813224328.8725,18680721037.5126,3449502.6377882,40478342.3316823,6023213979.64672,5179309562.62749,1.14253875138711e-05,2.96007873991341e-05,0.000110641928539732,8.24019642605276e-05,5.77439741262004e-05,0.000117609392372786,3.4796441421692e-05,17.4579040327038,1592.53582995558,1759.19152576031,110587.352714725,13.733371986936,715931.316745788,75.2018743117484,0.463241073482978,-32.4539028,80.5170907157295,790852.1,4.08685719557867e-05,0.000234763970602447,44.91326,0.00363001627097373,0.000579012792248269,0.0263887452914075,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.712,0.1,1,0.743,0.3,1,1.02,0.2,1,0.562,1,1,0.12,3.8,20,1.96,2.1,1,1.56,4.18,3.03,14,50,58.929898173693,37.123054730607,27.9800967810146,5.55491105941157,109.107551016658,41.8424689405269,47.5257709946032,1403720780.24674,5005434909.90404,11620865113.7062,3449502.65853992,181456471.837656,3305908862.13975,5125570070.78965,1.14253875246551e-05,4.40140065056808e-05,6.26914613476462e-05,8.24019645715002e-05,3.52101636918999e-05,6.01949818754567e-05,3.4337922875142e-05,15.9358598943637,1763.23697981577,1905.95137505252,158995.455624162,12.3947256841737,707755.939426505,74.8531863049263,0.435402237771159,-28.6565947645453,85.577403416412,765040.9,3.64905283721397e-05,0.000190106786397919,50.01479,0.00669000001583999,0.00072209098521692,0.0317292925523906,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,1.24,0.2,1,1.03,0.5,1,1.61,0.2,1,0.27,3.6,20,1.94,3.8,20,1.97,4,5,1.7,4.78,3.14,11,21,256.345857512285,47.6558695676779,49.6874857186721,5.63185451665136,143.836755681562,51.7617991901733,43.4531489570483,10160313.1976515,3849371827.0356,4220614362.8294,3607739.80532773,27381114.5342065,1148938681.50905,9399171580.73347,6.66957646361014e-05,5.53915246432082e-05,5.06326214084398e-05,8.77193972027581e-05,5.13994522753097e-05,5.10711398437412e-05,3.45619124986606e-05,41.6190870021916,1353.11872733895,2520.15038973261,0.239660933146965,40.7822735657031,547178.760632824,86.2569823260703,0.157276119813344,-46.1049633,104.033144346271,1019107,3.67621278819478e-05,0.000289453290340515,39.07079,3.80345074223052e-06,2.43525049506171e-06,0.00116443639733443,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.439,0.2,2,1.75,1.2,2,1.27,0.2,1,0.96,2.5,1,0.12,3.8,20,1.96,3.2,4,1.86,4.18,1.4,11,38,103.320518215921,42.3128774830483,53.3744847088421,5.0066085170984,124.866021291601,67.3415628168384,57.6400301897415,242989451.431176,4362071290.44969,3486141675.3725,2054773.4225106,22069692.2630639,508579130.385332,2994716933.1136,4.98088086510478e-06,2.25015685947136e-05,0.000138149817879036,4.19791000546487e-05,2.63483540164863e-05,9.24370686493781e-05,2.9840607392356e-05,26.1771142439348,1541.86165354405,3090.25612385431,1191.81268701484,24.0491650899721,375564.073728343,75.1596687060288,0.407244249885673,-77.086986075,96.0977096496711,752719.4,2.21434837829197e-05,0.000285602632596229,42.49714,0.00132000005716084,0.000248354131253589,0.00963772710310579,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.527,0.2,1,1.95,0.7,2,1.99,0.2,1,0.39,3.7,1,0.913,3.8,20,1.99,4,2,1.99,4.18,1.4,10,21,171.386316080985,41.352787093493,54.3277341351748,5.017368430896,144.616317094584,60.3896690834922,48.068690589039,41341640.0991309,4058443005.83254,3293634062.00223,2050372.49855481,26536877.7352346,486000556.585156,5552811374.97183,8.54091854332346e-06,2.48235742611068e-05,7.18505198564716e-05,4.25015470563968e-05,2.31644186736396e-05,7.05379127948652e-05,2.62987229487188e-05,37.2965197842691,2034.78200727609,3637.4336943438,0.447349085186553,37.0097059616134,412907.001887222,75.3193348350873,0.105749931122046,-60.058367325,113.088822327137,738124.2,1.84476764770568e-05,0.000278761774006136,42.54345,1.05366767046358e-06,6.34879974607899e-06,0.00114739246847317,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
