MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,av0,av2,av3,av5,av7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.2,2,7,0.8,50,10,0.8,2,10,3.6,1,3,1.6,50,10,8.15,2,0,362.870298998783,192.85489336796,464.437335999094,204.720006791021,264.642722536673,238608510.884952,1179002818.08028,387843823.244516,147897801.868183,808901431.015364,7.80526478091123e-05,0.0112475439050154,0.000109520509411484,3.73988217571235e-05,0.0149343108268537,96.5034585683102,0.31626425828003,0.443140230988827,6.23352994329382,53.4400369207894,62440747.7849968,40.8705272782234,0.0223314205969051,528.5,51.5467793126088,87490150,0.00616975619974557,0.000524776514144176,54.75018,1.2362935169742e-08,2.57837468237043e-06,0.00197427445635689,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
0.539,1,7,1.3,9,10,0.8,2,4,1.77,1,4,1.6,50,10,5.75,22,0,170.780506748533,205.098964151029,471.908457401031,192.963828707607,378.392989448047,1028827909.33083,667762811.81995,565252116.54023,370998423.640951,474147752.944812,7.64486941762023e-05,0.0018504269345257,6.61088574785817e-05,5.42737318858696e-05,0.00758624234250499,81.7505210262235,1.00271442154587,1.05776275395524,1.86324656662825,50.8767499037148,53146892.1573198,32.6302467045531,0.0191928468262656,517.5,49.8979176151213,56064620,0.00165634436308969,0.000518211324009027,59.75456,1.6248885762203e-08,2.00672608371533e-06,0.0013954483146088,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.6,1,10,1.37,21,10,0.689,6,2,3.2,1,7,1.2,50,10,5.84,21,0,560.605591179834,306.745663084384,427.661761517268,294.200829232132,294.390378896162,158982560.956164,480983475.582584,603199541.945541,115731705.547702,844534865.753479,4.96158890026271e-05,0.00320853961289751,8.50512704863796e-05,5.29396227475064e-05,0.0100999097542173,108.758165328082,0.867918528911693,1.06604921200229,0.551875903495083,52.3092401921456,58804318.3507632,35.3940107927881,0.0195109938169081,489,51.0681688043317,72228320,0.0021172896847422,0.000464430066518429,57.59525,1.3561522772271e-08,9.54137745420303e-07,0.00168781418923492,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.6,2,10,1.6,5,9,1.2,1,8,0.8,1,10,1.2,50,10,10.5,6,0,582.023928421995,217.056344114877,572.556538281319,133.819223689509,298.824069854946,152993114.877153,488363267.580264,352918311.785122,922160833.962851,501893145.275622,9.39301641929682e-05,0.000831265771295691,7.02261746813692e-05,0.000143072305160012,0.0053572036386188,83.1222942576113,2.72946650730041,1.83209821342928,13.1991338011778,41.9216260343041,79765187.0051997,28.4815729902686,0.0210323816108813,498,41.4372720921536,53540740,0.000913241502412818,0.000515372645229045,60.75728,1.0035713729913e-08,6.05525712348509e-06,0.002826191665662,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
0.908,1,10,1.58,7,9,0.413,6,2,2.89,1,7,1.43,50,10,4.92,34,0,307.35156315353,174.854917252224,131.026831969348,243.808724013427,344.479973988996,339429976.881147,492451841.768634,941925516.869008,109893571.08785,476626023.872172,5.81861432141775e-05,0.00119774467791295,8.60883188191583e-05,4.5032499877567e-05,0.00672971916403118,90.5434965876788,1.07783841779702,1.59523693771092,0.530034556501345,54.1823978946558,47849485.3343552,31.2014743241405,0.0204941174854433,556,53.5123960883477,70818840,0.00138731037232354,0.000483226648318315,51.0104,2.1891703185795e-08,3.28262508096477e-06,0.000558769315947893,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
3.4,1,10,1.28,6,10,0.4,7,2,2.88,1,10,1.2,50,10,4.92,39,0,758.44632150278,190.522012979049,121.640259847365,258.786127597833,305.603619581802,40579036.4958095,640225087.954399,849331959.190861,91097225.9003591,555776095.242714,2.88140126851247e-05,0.00119567171512372,8.71643333460702e-05,5.05728071830578e-05,0.00626598649208562,110.336872912284,1.34252248116954,2.10537828564511,0.410573634382182,52.8047317994659,47072311.7365074,29.2643127375307,0.0163568692320026,576,51.8840044948665,73820010,0.00109570585401623,0.000464060368852189,52.00519,1.9895845937356e-08,2.21244507062512e-06,0.00114617554968888,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
4.5,1,5,1.89,13,10,0.413,8,2,3.59,1,9,1.2,50,10,4.74,43,0,694.894893071129,310.03087846146,132.591486576646,288.056417639509,299.316273241615,33169215.0672814,281628941.965747,715419948.093584,67734700.60066,648010024.243378,1.69302959720752e-05,0.00165516040489395,8.52725391240899e-05,4.36363239847948e-05,0.00757139545769594,109.811594255012,1.04778618285392,1.53613500502516,0.310676964625638,54.6543590267246,48647601.8300503,34.5215295142032,0.0133872380226451,574.5,53.4666859495374,71321120,0.00145090437540253,0.000447555010367834,50.58681,2.10902087854161e-08,1.72036466641989e-06,0.000967352881865002,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.2,1,9,1.2,13,10,1.2,1,10,1.2,2,7,1.2,50,10,7.97,10,0,420.14966843606,428.657994582271,683.603038119193,186.057945984523,287.961742906755,329060551.390798,489490989.193743,323622189.883329,402562501.566356,441586333.974498,7.03520221109841e-05,0.00165308836272871,7.33226411765447e-05,0.00011927494189503,0.00450956855668655,89.6746088026255,3.44460080975469,2.68085923602595,5.14255711824633,43.899258173586,69922515.0903775,31.3113397988652,0.0217092802702707,496,42.8884326585849,54419200,0.00063434885992781,0.000503742774697392,53.1925,1.0565423179124e-08,2.2746431085896e-06,0.00595111890872491,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
2.15,1,10,0.8,1,10,0.8,2,3,3.2,1,8,1.2,1,2,13.2,14,0,512.120419855285,441.991245217957,328.534268326378,263.818049732792,256.603231939244,133466707.639764,615622118.852846,859465829.491271,163215341.731186,1236749973.22112,6.31084921756503e-05,9.38549225161033e-05,8.7470768814468e-05,9.07677757380552e-05,6.51621568039468e-05,78.7724585161222,58.7935016868576,38.389555330669,3.87393988664303,43.3337549456963,109620183.853327,10.0349389634417,0.0198947989493695,495,42.5175593562063,71577130,5.82654655213746e-05,0.000588464224588302,53.29881,7.4132052631749e-09,1.02102201038201e-05,0.00788808748224201,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
2.53,2,5,1.36,1,2,1.19,5,2,2.25,1,2,1.8,1,2,5.84,32,0,785.03751432019,370.455101251746,699.575246830621,190.412460302268,351.10452377957,76032367.8254914,450051551.182798,276818433.454223,365982169.196819,596276374.497658,3.90777550278216e-05,2.77693342364038e-05,5.98177947994536e-05,3.69250018321345e-05,4.75129706088583e-05,98.6860907724939,85.3026520315914,75.6386983167199,0.0200182369841859,52.9903489686447,88790570.6841218,8.1939001702486,0.0316137783955852,522.5,51.1802877700926,78731470,3.25277733786191e-05,0.000439296215351581,50.14486,6.91974731225895e-09,1.84046546740979e-06,0.00193522481717201,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
